Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,141.525496,[ 27 145] ; [204  74],[88.29333333 83.70666667] ; [142.70666667 135.29333333],1
d3,1,0.0,121.130506,[ 72 100] ; [251  28],[123.18403548  48.81596452] ; [199.81596452  79.18403548],1
d4,1,0.0,120.240112,[100  72] ; [273   5],[142.56888889  29.43111111] ; [230.43111111  47.56888889],1
d5,1,0.0,114.657264,[101  71] ; [272   6],[142.56888889  29.43111111] ; [230.43111111  47.56888889],1
u1,1,0.0,47.058689,[  5 167] ; [ 81 198],[ 32.79822616 139.20177384] ; [ 53.20177384 225.79822616],1
a2,1,0.0,45.331537,[ 13 159] ; [100 179],[ 43.09534368 128.90465632] ; [ 69.90465632 209.09534368],1
a4,1,0.0,38.177889,[ 49 122] ; [163 115],[80.73942094 90.26057906] ; [131.26057906 146.73942094],1
a5,1,0.0,31.188714,[109  63] ; [240  39],[133.09977827  38.90022173] ; [215.90022173  63.09977827],1
a3,1,0.0,25.564176,[100  72] ; [223  55],[123.45777778  48.54222222] ; [199.54222222  78.45777778],1
r1,1,0.000276,13.225425,[123  48] ; [238  39],[137.79241071  33.20758929] ; [223.20758929  53.79241071],1
a7,1,0.000359,12.732094,[110  61] ; [222  57],[126.16  44.84] ; [205.84  73.16],1
r2,1,0.000857,11.114476,[150  20] ; [266  10],[158.56502242  11.43497758] ; [257.43497758  18.56502242],1
s2,1,0.001547,10.021832,[73 99] ; [159 116],[89.27069351 82.72930649] ; [142.72930649 132.27069351],0
n4,1,0.002008,9.542634,[128  43] ; [241  38],[140.22  30.78] ; [228.78  50.22],0
v2,1,0.007925,7.050279,[88 78] ; [177  92],[101.12643678  64.87356322] ; [163.87356322 105.12643678],0
r3,1,0.011699,6.355869,[159  13] ; [271   7],[164.35555556   7.64444444] ; [265.64444444  12.35555556],0
v1,1,0.012405,6.252039,[89 80] ; [174  95],[101.47716895  67.52283105] ; [161.52283105 107.47716895],0
s8,1,0.013599,6.089412,[ 71 101] ; [147 129],[83.69642857 88.30357143] ; [134.30357143 141.69642857],0
a6,1,0.019014,5.500253,[105  67] ; [200  79],[116.31929047  55.68070953] ; [188.68070953  90.31929047],0
r4,1,0.019848,5.425211,[149  23] ; [260  19],[155.98226164  16.01773836] ; [253.01773836  25.98226164],0
s5,1,0.021849,5.257738,[ 45 123] ; [101 169],[ 56. 112.] ; [ 90. 180.],0
p9,1,0.027592,4.853387,[143  29] ; [249  27],[150.5  21.5] ; [241.5  34.5],0
u3,1,0.02832,4.808494,[36 33] ; [40 16],[41.952 27.048] ; [34.048 21.952],0
v3,1,0.030502,4.680754,[ 64 105] ; [127 135],[74.89327146 94.10672854] ; [116.10672854 145.89327146],0
p11,1,0.03119,4.642487,[133  39] ; [238  41],[141.49002217  30.50997783] ; [229.50997783  49.49002217],0
n6,1,0.042915,4.098751,[141  31] ; [245  31],[148.19642857  23.80357143] ; [237.80357143  38.19642857],0
n5,1,0.051215,3.801219,[127  43] ; [229  49],[135.08928571  34.91071429] ; [220.91071429  57.08928571],0
u4,1,0.061963,3.48405,[  2 170] ; [ 12 267],[  5.33924612 166.66075388] ; [  8.66075388 270.33924612],0
s3,1,0.064932,3.406707,[85 86] ; [159 112],[94.39819005 76.60180995] ; [149.60180995 121.39819005],0
v4,1,0.066769,3.360713,[159  12] ; [268   9],[162.984375   8.015625] ; [264.015625  12.984375],0
s6,1,0.070891,3.262265,[109  61] ; [198  76],[117.54504505  52.45495495] ; [189.45495495  84.54504505],0
p2,1,0.108285,2.579069,[148  23] ; [253  24],[153.06026786  17.93973214] ; [247.93973214  29.06026786],0
p3,1,0.144442,2.129992,[106  66] ; [190  88],[113.13777778  58.86222222] ; [182.86222222  95.13777778],0
s7,1,0.15729,2.000086,[79 81] ; [149 115],[86.03773585 73.96226415] ; [141.96226415 122.03773585],0
p12,1,0.18441,1.761722,[ 13 158] ; [ 32 247],[ 17.1 153.9] ; [ 27.9 251.1],0
p10,1,0.207679,1.587534,[139  30] ; [240  37],[143.61210762  25.38789238] ; [235.38789238  41.61210762],0
n1,1,0.219088,1.510336,[18 19] ; [17 31],[15.23529412 21.76470588] ; [19.76470588 28.23529412],0
b4,1,0.239014,1.3864,[92 80] ; [165 114],[98.01330377 73.98669623] ; [158.98669623 120.01330377],0
a1,1,0.282946,1.152887,[  7 165] ; [ 18 261],[  9.53436807 162.46563193] ; [ 15.46563193 263.53436807],0
b1,1,0.325515,0.966658,[74 98] ; [107 172],[ 69.02882483 102.97117517] ; [111.97117517 167.02882483],0
u2,1,0.378733,0.774811,[41 30] ; [36 19],[43.38888889 27.61111111] ; [33.61111111 21.38888889],0
p6,1,0.384131,0.75744,[73 98] ; [129 146],[77.44843049 93.55156951] ; [124.55156951 150.44843049],0
n3,1,0.401953,0.702475,[29  9] ; [32 15],[27.27058824 10.72941176] ; [33.72941176 13.27058824],0
p8,1,0.43624,0.606154,[102  67] ; [178 100],[105.86129754  63.13870246] ; [174.13870246 103.86129754],0
s1,1,0.480567,0.497577,[  7 162] ; [  8 268],[  5.69662921 163.30337079] ; [  9.30337079 266.69662921],0
