Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.005376,7.748457,[ 8 23] ; [22 15],[13.67647059 17.32352941] ; [16.32352941 20.67647059],0
u3,1,0.006417,7.429254,[11  3] ; [ 5 12],[7.22580645 6.77419355] ; [8.77419355 8.22580645],0
s7,1,0.110941,2.540761,[ 6 23] ; [13 20],[ 8.88709677 20.11290323] ; [10.11290323 22.88709677],0
p7,1,0.117164,2.454823,[18 13] ; [14 22],[14.80597015 16.19402985] ; [17.19402985 18.80597015],0
s3,1,0.127135,2.327144,[21 11] ; [17 19],[17.88235294 14.11764706] ; [20.11764706 15.88235294],0
v3,1,0.137214,2.208925,[ 4 25] ; [10 24],[ 6.44444444 22.55555556] ; [ 7.55555556 26.44444444],0
d2,1,0.156023,2.012351,[11 21] ; [19 18],[13.91304348 18.08695652] ; [16.08695652 20.91304348],0
d1,1,0.172064,1.864865,[ 8 24] ; [15 22],[10.66666667 21.33333333] ; [12.33333333 24.66666667],0
n2,1,0.23314,1.421602,[13  2] ; [11  5],[11.61290323  3.38709677] ; [12.38709677  3.61290323],0
u2,1,0.24179,1.370128,[11  3] ; [10  7],[9.48387097 4.51612903] ; [11.51612903  5.48387097],0
n3,1,0.255704,1.291866,[11  4] ; [8 7],[9.5 5.5] ; [9.5 5.5],0
v4,1,0.262947,1.253175,[25  6] ; [24 11],[23.01515152  7.98484848] ; [25.98484848  9.01515152],0
d3,1,0.280219,1.166026,[ 9 23] ; [15 22],[11.13043478 20.86956522] ; [12.86956522 24.13043478],0
p2,1,0.281815,1.158317,[15 17] ; [21 14],[17.19402985 14.80597015] ; [18.80597015 16.19402985],0
d5,1,0.295864,1.092743,[15 17] ; [22 15],[17.15942029 14.84057971] ; [19.84057971 17.15942029],0
a1,1,0.296951,1.087838,[ 4 28] ; [ 2 35],[ 2.7826087 29.2173913] ; [ 3.2173913 33.7826087],0
p4,1,0.309718,1.03188,[15 16] ; [13 23],[12.95522388 18.04477612] ; [15.04477612 20.95522388],0
p8,1,0.397068,0.717188,[11 21] ; [ 9 27],[ 9.41176471 22.58823529] ; [10.58823529 25.41176471],0
s6,1,0.411019,0.67585,[12 19] ; [18 19],[13.67647059 17.32352941] ; [16.32352941 20.67647059],0
r3,1,0.458702,0.549061,[25  7] ; [26 11],[23.65217391  8.34782609] ; [27.34782609  9.65217391],0
s2,1,0.480169,0.49848,[13 19] ; [12 25],[11.5942029 20.4057971] ; [13.4057971 23.5942029],0
d4,1,0.514845,0.424207,[20 11] ; [21 16],[18.69117647 12.30882353] ; [22.30882353 14.69117647],0
b5,1,0.528464,0.397343,[14 18] ; [19 18],[15.30434783 16.69565217] ; [17.69565217 19.30434783],0
p9,1,0.558067,0.343062,[15 16] ; [20 16],[16.19402985 14.80597015] ; [18.80597015 17.19402985],0
r1,1,0.596585,0.280178,[17 15] ; [22 15],[18.08695652 13.91304348] ; [20.91304348 16.08695652],0
r4,1,0.628037,0.234733,[20 12] ; [21 16],[19.01449275 12.98550725] ; [21.98550725 15.01449275],0
p5,1,0.662903,0.190016,[ 1 30] ; [ 2 35],[ 1.36764706 29.63235294] ; [ 1.63235294 35.36764706],0
a8,1,0.666062,0.186243,[ 1 29] ; [ 2 34],[ 1.36363636 28.63636364] ; [ 1.63636364 34.36363636],0
a4,1,0.679676,0.170491,[11 21] ; [11 26],[10.20289855 21.79710145] ; [11.79710145 25.20289855],0
a5,1,0.736729,0.113022,[16 16] ; [17 20],[15.30434783 16.69565217] ; [17.69565217 19.30434783],0
p10,1,0.828099,0.04715,[15 16] ; [16 19],[14.56060606 16.43939394] ; [16.43939394 18.56060606],0
b2,1,0.833596,0.044139,[ 6 11] ; [10 16],[ 6.3255814 10.6744186] ; [ 9.6744186 16.3255814],0
b3,1,0.833596,0.044139,[ 6 11] ; [10 16],[ 6.3255814 10.6744186] ; [ 9.6744186 16.3255814],0
a6,1,0.838508,0.041536,[12 20] ; [13 24],[11.5942029 20.4057971] ; [13.4057971 23.5942029],0
r2,1,0.850439,0.035554,[25  7] ; [28  7],[25.31343284  6.68656716] ; [27.68656716  7.31343284],0
p1,1,0.852249,0.034689,[ 3 29] ; [ 3 34],[ 2.7826087 29.2173913] ; [ 3.2173913 33.7826087],0
p3,1,0.854567,0.033597,[10 22] ; [12 24],[10.35294118 21.64705882] ; [11.64705882 24.35294118],0
p11,1,0.854898,0.033443,[18 14] ; [20 17],[17.62318841 14.37681159] ; [20.37681159 16.62318841],0
a3,1,0.854898,0.033443,[18 14] ; [20 17],[17.62318841 14.37681159] ; [20.37681159 16.62318841],0
b4,1,0.854898,0.033443,[18 14] ; [20 17],[17.62318841 14.37681159] ; [20.37681159 16.62318841],0
v2,1,0.865892,0.02852,[11 18] ; [14 21],[11.328125 17.671875] ; [13.671875 21.328125],0
s1,1,0.903312,0.014757,[ 2 30] ; [ 2 34],[ 1.88235294 30.11764706] ; [ 2.11764706 33.88235294],0
p12,1,0.914433,0.011545,[ 1 30] ; [ 1 35],[ 0.92537313 30.07462687] ; [ 1.07462687 34.92537313],0
s5,1,0.914588,0.011503,[ 7 23] ; [ 8 28],[ 6.81818182 23.18181818] ; [ 8.18181818 27.81818182],0
v1,1,0.938486,0.005956,[15 17] ; [17 20],[14.84057971 17.15942029] ; [17.15942029 19.84057971],0
b1,1,0.947289,0.004371,[21 11] ; [24 13],[20.86956522 11.13043478] ; [24.13043478 12.86956522],0
s8,1,0.94821,0.004219,[ 8 24] ; [ 9 28],[ 7.88405797 24.11594203] ; [ 9.11594203 27.88405797],0
s4,1,0.979699,0.000648,[ 7 25] ; [ 8 29],[ 6.95652174 25.04347826] ; [ 8.04347826 28.95652174],0
p6,1,0.985257,0.000341,[ 7 23] ; [ 8 26],[ 7.03125 22.96875] ; [ 7.96875 26.03125],0
n1,1,1.0,0.0,[7 7] ; [8 8],[7. 7.] ; [8. 8.],0
