Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,9.7e-05,15.190151,[ 85 148] ; [37 20],[ 98.02068966 134.97931034] ; [23.97931034 33.02068966],1
p5,1,0.001178,10.524543,[ 21 213] ; [14 43],[ 28.1443299 205.8556701] ; [ 6.8556701 50.1443299],0
b1,1,0.002051,9.503063,[ 97 138] ; [37 21],[107.47440273 127.52559727] ; [26.52559727 31.47440273],0
n4,1,0.011228,6.428827,[174  61] ; [52  6],[181.26279863  53.73720137] ; [44.73720137 13.26279863],0
p3,1,0.015542,5.853959,[ 94 140] ; [33 24],[102.12371134 131.87628866] ; [24.87628866 32.12371134],0
u1,1,0.017526,5.642891,[ 31 204] ; [15 43],[ 36.89419795 198.10580205] ; [ 9.10580205 48.89419795],0
s7,1,0.103445,2.651612,[ 99 125] ; [30 23],[104.31768953 119.68231047] ; [24.68231047 28.31768953],0
s6,1,0.120407,2.412017,[151  76] ; [44 13],[155.86267606  71.13732394] ; [39.13732394 17.86267606],0
p2,1,0.127069,2.327946,[194  41] ; [42 15],[189.93150685  45.06849315] ; [46.06849315 10.93150685],0
n5,1,0.136348,2.218699,[167  67] ; [47 11],[171.49315068  62.50684932] ; [42.50684932 15.49315068],0
a7,1,0.148193,2.090756,[165  70] ; [35 23],[160.40955631  74.59044369] ; [39.59044369 18.40955631],0
n6,1,0.159217,1.981646,[187  47] ; [51  7],[190.7260274  43.2739726] ; [47.2739726 10.7260274],0
b3,1,0.166202,1.916872,[53 88] ; [10 29],[49.35 91.65] ; [13.65 25.35],0
b2,1,0.166202,1.916872,[53 88] ; [10 29],[49.35 91.65] ; [13.65 25.35],0
r4,1,0.190127,1.716635,[215  20] ; [56  2],[217.35494881  17.64505119] ; [53.64505119  4.35494881],0
d2,1,0.230511,1.437702,[105 130] ; [31 27],[109.07849829 125.92150171] ; [26.92150171 31.07849829],0
p4,1,0.248303,1.332824,[128 106] ; [36 21],[131.87628866 102.12371134] ; [32.12371134 24.87628866],0
a5,1,0.301198,1.068881,[162  73] ; [44 14],[165.221843  69.778157] ; [40.778157 17.221843],0
s2,1,0.36317,0.826901,[109 124] ; [31 27],[112.09621993 120.90378007] ; [27.90378007 30.09621993],0
s1,1,0.37056,0.801784,[ 13 220] ; [ 5 52],[ 14.46206897 218.53793103] ; [ 3.53793103 53.46206897],0
d5,1,0.373571,0.79175,[181  54] ; [47 10],[183.49315068  51.50684932] ; [44.50684932 12.49315068],0
b5,1,0.37934,0.772841,[135 100] ; [37 21],[137.95221843  97.04778157] ; [34.04778157 23.95221843],0
v4,1,0.388472,0.74372,[219  15] ; [56  2],[220.37671233  13.62328767] ; [54.62328767  3.37671233],0
p1,1,0.412993,0.670167,[ 20 213] ; [ 7 51],[ 21.6185567 211.3814433] ; [ 5.3814433 52.6185567],0
u3,1,0.46696,0.529161,[48 26] ; [14  5],[49.33333333 24.66666667] ; [12.66666667  6.33333333],0
