Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000636,11.666667,[ 4 14] ; [20  7],[9.6 8.4] ; [14.4 12.6],1
b3,1,0.015144,5.899666,[ 3 10] ; [15  8],[6.5 6.5] ; [11.5 11.5],0
b2,1,0.015144,5.899666,[ 3 10] ; [15  8],[6.5 6.5] ; [11.5 11.5],0
u2,1,0.0187,5.529337,[2 6] ; [6 1],[4.26666667 3.73333333] ; [3.73333333 3.26666667],0
v3,1,0.036071,4.393762,[ 6 13] ; [17 10],[9.5 9.5] ; [13.5 13.5],0
s5,1,0.039343,4.246009,[ 5 12] ; [16 10],[8.30232558 8.69767442] ; [12.69767442 13.30232558],0
b1,1,0.055234,3.675015,[11  8] ; [ 8 19],[ 7.84782609 11.15217391] ; [11.15217391 15.84782609],0
u3,1,0.057224,3.616071,[3 5] ; [6 1],[4.8 3.2] ; [4.2 2.8],0
v4,1,0.062692,3.464708,[15  4] ; [26  1],[16.93478261  2.06521739] ; [24.06521739  2.93478261],0
p7,1,0.065631,3.389037,[11  7] ; [23  4],[13.6  4.4] ; [20.4  6.6],0
p4,1,0.065631,3.389037,[11  7] ; [23  4],[13.6  4.4] ; [20.4  6.6],0
p2,1,0.067889,3.333333,[12  6] ; [24  3],[14.4  3.6] ; [21.6  5.4],0
p11,1,0.078753,3.090447,[14  5] ; [25  2],[16.10869565  2.89130435] ; [22.89130435  4.10869565],0
r3,1,0.078753,3.090447,[14  5] ; [25  2],[16.10869565  2.89130435] ; [22.89130435  4.10869565],0
p12,1,0.079952,3.065878,[ 1 17] ; [ 7 20],[ 3.2 14.8] ; [ 4.8 22.2],0
s3,1,0.084614,2.97397,[ 7 12] ; [ 4 23],[ 4.54347826 14.45652174] ; [ 6.45652174 20.54347826],0
r4,1,0.084887,2.968758,[13  6] ; [24  3],[15.2826087  3.7173913] ; [21.7173913  5.2826087],0
n4,1,0.114857,2.486087,[18  1] ; [21  6],[16.10869565  2.89130435] ; [22.89130435  4.10869565],0
a5,1,0.121945,2.392159,[17  2] ; [19  8],[14.86956522  4.13043478] ; [21.13043478  5.86956522],0
a7,1,0.13272,2.260396,[10  9] ; [20  7],[12.39130435  6.60869565] ; [17.60869565  9.39130435],0
n1,1,0.134802,2.23631,[4 3] ; [1 5],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
p3,1,0.163458,1.941941,[12  7] ; [22  5],[14.04347826  4.95652174] ; [19.95652174  7.04347826],0
a3,1,0.249082,1.328445,[11  8] ; [20  7],[12.80434783  6.19565217] ; [18.19565217  8.80434783],0
d2,1,0.251466,1.31514,[11  8] ; [11 16],[9.08695652 9.91304348] ; [12.91304348 14.08695652],0
d5,1,0.306543,1.045513,[13  6] ; [22  5],[14.45652174  4.54347826] ; [20.54347826  6.45652174],0
p1,1,0.332961,0.937347,[ 5 14] ; [ 4 23],[ 3.7173913 15.2826087] ; [ 5.2826087 21.7173913],0
s1,1,0.356127,0.851504,[ 2 17] ; [ 1 26],[ 1.23913043 17.76086957] ; [ 1.76086957 25.23913043],0
s6,1,0.361714,0.831934,[11  4] ; [16 11],[9.64285714 5.35714286] ; [17.35714286  9.64285714],0
b5,1,0.369003,0.807018,[11  8] ; [12 15],[9.5 9.5] ; [13.5 13.5],0
a4,1,0.381715,0.765172,[ 8 11] ; [ 8 19],[ 6.60869565 12.39130435] ; [ 9.39130435 17.60869565],0
r2,1,0.384431,0.756484,[15  4] ; [23  3],[16.04444444  2.95555556] ; [21.95555556  4.04444444],0
a8,1,0.409215,0.681081,[ 3 15] ; [ 2 22],[ 2.14285714 15.85714286] ; [ 2.85714286 21.14285714],0
s8,1,0.456057,0.555556,[ 6 12] ; [12 15],[ 7.2 10.8] ; [10.8 16.2],0
n5,1,0.457447,0.552135,[17  2] ; [22  5],[16.10869565  2.89130435] ; [22.89130435  4.10869565],0
p6,1,0.466763,0.52963,[ 7 11] ; [13 13],[8.18181818 9.81818182] ; [11.81818182 14.18181818],0
n6,1,0.5018,0.451128,[16  2] ; [22  5],[15.2  2.8] ; [22.8  4.2],0
a2,1,0.642718,0.215205,[ 3 16] ; [ 3 24],[ 2.47826087 16.52173913] ; [ 3.52173913 23.47826087],0
d3,1,0.655254,0.19934,[10  9] ; [16 11],[10.73913043  8.26086957] ; [15.26086957 11.73913043],0
b4,1,0.701943,0.146459,[13  6] ; [17 10],[12.39130435  6.60869565] ; [17.60869565  9.39130435],0
d4,1,0.7486,0.102711,[14  5] ; [21  6],[14.45652174  4.54347826] ; [20.54347826  6.45652174],0
s4,1,0.782186,0.076437,[ 1 17] ; [ 2 24],[ 1.22727273 16.77272727] ; [ 1.77272727 24.22727273],0
p8,1,0.792616,0.069124,[12  6] ; [19  8],[12.4  5.6] ; [18.6  8.4],0
n3,1,0.872081,0.025926,[5 3] ; [4 2],[5.14285714 2.85714286] ; [3.85714286 2.14285714],0
s7,1,0.890082,0.019099,[9 9] ; [11 12],[8.7804878 9.2195122] ; [11.2195122 11.7804878],0
a6,1,0.90054,0.01562,[13  6] ; [18  9],[12.80434783  6.19565217] ; [18.19565217  8.80434783],0
u1,1,0.927797,0.008211,[ 3 16] ; [ 4 23],[ 2.89130435 16.10869565] ; [ 4.10869565 22.89130435],0
d1,1,0.958427,0.002717,[ 9 10] ; [13 14],[9.08695652 9.91304348] ; [12.91304348 14.08695652],0
r1,1,0.976346,0.000879,[14  5] ; [20  7],[14.04347826  4.95652174] ; [19.95652174  7.04347826],0
