Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,7.4e-05,15.71748,[ 8 31] ; [17  7],[15.47619048 23.52380952] ; [ 9.52380952 14.47619048],1
a3,1,0.74579,0.105102,[28 11] ; [17  8],[27.421875 11.578125] ; [17.578125  7.421875],0
s2,1,0.748753,0.102582,[25 14] ; [17  8],[25.59375 13.40625] ; [16.40625  8.59375],0
b4,1,0.748753,0.102582,[25 14] ; [17  8],[25.59375 13.40625] ; [16.40625  8.59375],0
s6,1,0.771427,0.084396,[30  9] ; [20  5],[30.46875  8.53125] ; [19.53125  5.46875],0
b2,1,0.772429,0.083636,[11 18] ; [ 8 11],[11.47916667 17.52083333] ; [ 7.52083333 11.47916667],0
b3,1,0.772429,0.083636,[11 18] ; [ 8 11],[11.47916667 17.52083333] ; [ 7.52083333 11.47916667],0
a4,1,0.797793,0.065641,[20 19] ; [12 13],[19.5 19.5] ; [12.5 12.5],0
v3,1,0.80003,0.064165,[12 23] ; [ 9 15],[12.45762712 22.54237288] ; [ 8.54237288 15.45762712],0
v2,1,0.876547,0.024133,[19 19] ; [13 12],[19.3015873 18.6984127] ; [12.6984127 12.3015873],0
s4,1,0.882406,0.02188,[10 29] ; [ 6 19],[ 9.75 29.25] ; [ 6.25 18.75],0
b1,1,0.885186,0.020851,[18 21] ; [12 13],[18.28125 20.71875] ; [11.71875 13.28125],0
n4,1,0.919545,0.010202,[30  8] ; [20  5],[30.15873016  7.84126984] ; [19.84126984  5.15873016],0
n2,1,0.967162,0.001695,[12  5] ; [5 2],[12.04166667  4.95833333] ; [4.95833333 2.04166667],0
