Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.4e-05,18.913287,[70 20] ; [ 7 16],[61.32743363 28.67256637] ; [15.67256637  7.32743363],1
s2,1,6.9e-05,15.838916,[70 20] ; [ 8 15],[62.12389381 27.87610619] ; [15.87610619  7.12389381],1
r3,1,0.001712,9.835554,[82  6] ; [16  7],[77.69369369 10.30630631] ; [20.30630631  2.69369369],0
r1,1,0.004447,8.091535,[67 23] ; [10 13],[61.32743363 28.67256637] ; [15.67256637  7.32743363],0
d2,1,0.004859,7.931213,[45 45] ; [ 4 19],[39.02654867 50.97345133] ; [ 9.97345133 13.02654867],0
b4,1,0.006159,7.503249,[56 34] ; [ 7 16],[50.17699115 39.82300885] ; [12.82300885 10.17699115],0
d1,1,0.006654,7.364192,[52 38] ; [ 6 17],[46.19469027 43.80530973] ; [11.80530973 11.19469027],0
s5,1,0.006886,7.302379,[46 40] ; [ 4 16],[40.56603774 45.43396226] ; [ 9.43396226 10.56603774],0
r4,1,0.018736,5.526024,[75 15] ; [14  9],[70.88495575 19.11504425] ; [18.11504425  4.88495575],0
r2,1,0.033137,4.538684,[83  7] ; [16  5],[80.27027027  9.72972973] ; [18.72972973  2.27027027],0
s8,1,0.049426,3.860838,[44 46] ; [ 6 17],[39.82300885 50.17699115] ; [10.17699115 12.82300885],0
v4,1,0.050833,3.813758,[85  5] ; [18  4],[82.76785714  7.23214286] ; [20.23214286  1.76785714],0
n6,1,0.054135,3.708517,[75 15] ; [15  8],[71.68141593 18.31858407] ; [18.31858407  4.68141593],0
s7,1,0.060946,3.511443,[53 34] ; [ 9 14],[49.03636364 37.96363636] ; [12.96363636 10.03636364],0
a2,1,0.073252,3.208608,[18 72] ; [ 1 22],[15.13274336 74.86725664] ; [ 3.86725664 19.13274336],0
d5,1,0.077647,3.113478,[73 17] ; [14  8],[69.91071429 20.08928571] ; [17.08928571  4.91071429],0
a3,1,0.118071,2.44272,[59 31] ; [11 12],[55.75221239 34.24778761] ; [14.24778761  8.75221239],0
n1,1,0.131063,2.279865,[ 7 20] ; [3 2],[ 8.4375 18.5625] ; [1.5625 3.4375],0
p4,1,0.15361,2.03603,[54 36] ; [10 13],[50.97345133 39.02654867] ; [13.02654867  9.97345133],0
p7,1,0.157339,1.999615,[54 33] ; [10 12],[51.08256881 35.91743119] ; [12.91743119  9.08256881],0
d4,1,0.170009,1.882863,[71 19] ; [15  8],[68.49557522 21.50442478] ; [17.50442478  5.49557522],0
u3,1,0.195667,1.674424,[22  9] ; [6 6],[20.18604651 10.81395349] ; [7.81395349 4.18604651],0
a4,1,0.223774,1.480002,[40 50] ; [ 7 16],[37.43362832 52.56637168] ; [ 9.56637168 13.43362832],0
p3,1,0.225761,1.467373,[44 46] ; [ 8 15],[41.4159292 48.5840708] ; [10.5840708 12.4159292],0
a5,1,0.262545,1.255287,[62 28] ; [13 10],[59.73451327 30.26548673] ; [15.26548673  7.73451327],0
u1,1,0.288137,1.128308,[16 74] ; [ 2 21],[14.33628319 75.66371681] ; [ 3.66371681 19.33628319],0
p10,1,0.294521,1.098838,[71 18] ; [16  7],[69.13392857 19.86607143] ; [17.86607143  5.13392857],0
p11,1,0.343129,0.898705,[64 26] ; [14  9],[62.12389381 27.87610619] ; [15.87610619  7.12389381],0
p9,1,0.38287,0.761467,[73 16] ; [17  6],[71.51785714 17.48214286] ; [18.48214286  4.51785714],0
n2,1,0.399075,0.711111,[21  6] ; [3 2],[20.25  6.75] ; [3.75 1.25],0
p8,1,0.404899,0.693729,[43 45] ; [ 9 14],[41.22522523 46.77477477] ; [10.77477477 12.22522523],0
d3,1,0.498475,0.458182,[63 27] ; [17  5],[64.28571429 25.71428571] ; [15.71428571  6.28571429],0
n3,1,0.520257,0.413383,[20  7] ; [3 2],[19.40625  7.59375] ; [3.59375 1.40625],0
p2,1,0.540075,0.375401,[69 21] ; [19  4],[70.08849558 19.91150442] ; [17.91150442  5.08849558],0
v2,1,0.615913,0.251654,[31 55] ; [ 7 16],[29.98165138 56.01834862] ; [ 8.01834862 14.98165138],0
u2,1,0.632906,0.228141,[13 18] ; [6 6],[13.69767442 17.30232558] ; [5.30232558 6.69767442],0
s1,1,0.672464,0.178733,[ 6 83] ; [ 1 22],[ 5.5625 83.4375] ; [ 1.4375 21.5625],0
b1,1,0.688235,0.161003,[35 55] ; [10 13],[35.84070796 54.15929204] ; [ 9.15929204 13.84070796],0
n4,1,0.717364,0.131033,[55 35] ; [15  8],[55.75221239 34.24778761] ; [14.24778761  8.75221239],0
a6,1,0.761875,0.091821,[54 36] ; [13 10],[53.36283186 36.63716814] ; [13.63716814  9.36283186],0
p6,1,0.792394,0.069276,[36 53] ; [10 13],[36.55357143 52.44642857] ; [ 9.44642857 13.55357143],0
v1,1,0.837138,0.042253,[37 53] ; [10 13],[37.43362832 52.56637168] ; [ 9.56637168 13.43362832],0
b5,1,0.866811,0.028127,[57 33] ; [15  8],[57.34513274 32.65486726] ; [14.65486726  8.34513274],0
b2,1,0.886422,0.020401,[10 36] ; [ 3 12],[ 9.80327869 36.19672131] ; [ 3.19672131 11.80327869],0
b3,1,0.886422,0.020401,[10 36] ; [ 3 12],[ 9.80327869 36.19672131] ; [ 3.19672131 11.80327869],0
a7,1,0.948859,0.004114,[62 28] ; [15  7],[61.875 28.125] ; [15.125  6.875],0
n5,1,0.967636,0.001646,[63 27] ; [16  7],[62.92035398 27.07964602] ; [16.07964602  6.92035398],0
