Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000803,11.234778,[ 1 34] ; [23 50],[ 7.77777778 27.22222222] ; [16.22222222 56.77777778],1
r3,1,0.007051,7.259824,[32  3] ; [50 24],[26.33027523  8.66972477] ; [55.66972477 18.33027523],0
s8,1,0.019432,5.462249,[15 20] ; [16 59],[ 9.86363636 25.13636364] ; [21.13636364 53.86363636],0
v3,1,0.027833,4.838375,[13 22] ; [13 60],[ 8.42592593 26.57407407] ; [17.57407407 55.42592593],0
s7,1,0.027909,4.833696,[16 16] ; [20 52],[11.07692308 20.92307692] ; [24.92307692 47.07692308],0
p2,1,0.029443,4.741504,[29  6] ; [46 28],[24.08256881 10.91743119] ; [50.91743119 23.08256881],0
p4,1,0.032551,4.569215,[16 19] ; [19 56],[11.13636364 23.86363636] ; [23.86363636 51.13636364],0
p7,1,0.034469,4.471312,[21 14] ; [28 45],[15.87962963 19.12037037] ; [33.12037037 39.87962963],0
s2,1,0.040607,4.192327,[18 17] ; [23 51],[13.16513761 21.83486239] ; [27.83486239 46.16513761],0
d3,1,0.049578,3.85568,[14 21] ; [16 57],[ 9.72222222 25.27777778] ; [20.27777778 52.72222222],0
r1,1,0.050906,3.81135,[24 11] ; [36 38],[19.26605505 15.73394495] ; [40.73394495 33.26605505],0
n2,1,0.051825,3.781407,[12  1] ; [21 12],[9.32608696 3.67391304] ; [23.67391304  9.32608696],0
v4,1,0.053338,3.733304,[32  2] ; [58 15],[28.59813084  5.40186916] ; [61.40186916 11.59813084],0
d2,1,0.053396,3.731496,[ 4 31] ; [21 54],[ 7.95454545 27.04545455] ; [17.04545455 57.95454545],0
s6,1,0.054897,3.685206,[21 13] ; [31 43],[16.37037037 17.62962963] ; [35.62962963 38.37037037],0
n3,1,0.08599,2.947891,[12  1] ; [21 10],[9.75 3.25] ; [23.25  7.75],0
p11,1,0.094638,2.793651,[25 10] ; [41 34],[21. 14.] ; [45. 30.],0
p9,1,0.119331,2.426075,[26  9] ; [43 30],[22.36111111 12.63888889] ; [46.63888889 26.36111111],0
v1,1,0.129154,2.302647,[17 17] ; [26 49],[13.41284404 20.58715596] ; [29.58715596 45.41284404],0
p6,1,0.133479,2.251566,[10 25] ; [12 62],[ 7.06422018 27.93577982] ; [14.93577982 59.06422018],0
p10,1,0.133542,2.250841,[25 10] ; [40 31],[21.46226415 13.53773585] ; [43.53773585 27.46226415],0
r4,1,0.144615,2.128154,[26  9] ; [45 30],[22.59090909 12.40909091] ; [48.40909091 26.59090909],0
s4,1,0.153618,2.03595,[ 4 31] ; [17 57],[ 6.74311927 28.25688073] ; [14.25688073 59.74311927],0
s3,1,0.154111,2.031076,[19 16] ; [29 44],[15.55555556 19.44444444] ; [32.44444444 40.55555556],0
d5,1,0.179792,1.799342,[18 17] ; [28 46],[14.7706422 20.2293578] ; [31.2293578 42.7706422],0
p8,1,0.192344,1.699572,[15 20] ; [22 51],[11.99074074 23.00925926] ; [25.00925926 47.99074074],0
a3,1,0.234363,1.414183,[13 22] ; [36 37],[15.87962963 19.12037037] ; [33.12037037 39.87962963],0
s5,1,0.240417,1.378145,[ 9 26] ; [12 62],[ 6.74311927 28.25688073] ; [14.25688073 59.74311927],0
a6,1,0.248504,1.331696,[20 15] ; [34 41],[17.18181818 17.81818182] ; [36.81818182 38.18181818],0
u2,1,0.251398,1.315517,[10 12] ; [12 27],[ 7.93442623 14.06557377] ; [14.06557377 24.93442623],0
b2,1,0.290347,1.118012,[ 2 13] ; [12 33],[ 3.5 11.5] ; [10.5 34.5],0
b3,1,0.290347,1.118012,[ 2 13] ; [12 33],[ 3.5 11.5] ; [10.5 34.5],0
p1,1,0.296741,1.088782,[ 2 33] ; [ 9 65],[ 3.53211009 31.46788991] ; [ 7.46788991 66.53211009],0
n5,1,0.3338,0.9341,[22 13] ; [54 21],[24.18181818 10.81818182] ; [51.81818182 23.18181818],0
r2,1,0.368609,0.808347,[30  4] ; [61 14],[28.3853211  5.6146789] ; [62.6146789 12.3853211],0
b1,1,0.483784,0.490322,[16 19] ; [29 46],[14.31818182 20.68181818] ; [30.68181818 44.31818182],0
a7,1,0.495657,0.464224,[19 16] ; [35 39],[17.33944954 17.66055046] ; [36.66055046 37.33944954],0
n6,1,0.50282,0.44898,[26  9] ; [51 24],[24.5 10.5] ; [52.5 22.5],0
b4,1,0.539136,0.377143,[16 19] ; [39 36],[17.5 17.5] ; [37.5 37.5],0
a5,1,0.55091,0.35569,[18 17] ; [34 41],[16.54545455 18.45454545] ; [35.45454545 39.54545455],0
u1,1,0.577431,0.310406,[ 1 34] ; [ 1 74],[ 0.63636364 34.36363636] ; [ 1.36363636 73.63636364],0
n1,1,0.581989,0.30303,[4 8] ; [14 19],[4.8 7.2] ; [13.2 19.8],0
u3,1,0.698147,0.150407,[ 9 13] ; [14 25],[ 8.29508197 13.70491803] ; [14.70491803 24.29508197],0
p5,1,0.710305,0.137973,[ 2 33] ; [ 3 70],[ 1.62037037 33.37962963] ; [ 3.37962963 69.62037037],0
n4,1,0.723672,0.125002,[21 14] ; [47 27],[21.83486239 13.16513761] ; [46.16513761 27.83486239],0
a8,1,0.79206,0.069505,[ 4 30] ; [ 9 57],[ 4.42 29.58] ; [ 8.58 57.42],0
b5,1,0.925669,0.008704,[19 16] ; [40 35],[18.77272727 16.22727273] ; [40.22727273 34.77272727],0
d1,1,0.954443,0.003264,[ 1 34] ; [ 2 73],[ 0.95454545 34.04545455] ; [ 2.04545455 72.95454545],0
