Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,37.000272,[12 98] ; [13  5],[21.484375 88.515625] ; [ 3.515625 14.484375],1
s5,1,0.000336,12.855596,[ 13 102] ; [ 8 10],[18.15789474 96.84210526] ; [ 2.84210526 15.15789474],1
p5,1,0.000567,11.880662,[  3 111] ; [ 4 14],[  6.04545455 107.95454545] ; [ 0.95454545 17.04545455],1
s6,1,0.001725,9.821502,[34 83] ; [12  6],[39.86666667 77.13333333] ; [ 6.13333333 11.86666667],0
p10,1,0.00239,9.223179,[39 74] ; [13  5],[44.85496183 68.14503817] ; [ 7.14503817 10.85496183],0
n6,1,0.004562,8.045538,[62 54] ; [16  2],[67.52238806 48.47761194] ; [10.47761194  7.52238806],0
u1,1,0.005053,7.860486,[  8 109] ; [ 5 13],[ 11.26666667 105.73333333] ; [ 1.73333333 16.26666667],0
r1,1,0.008876,6.847666,[65 50] ; [16  2],[70.03759398 44.96240602] ; [10.96240602  7.03759398],0
r4,1,0.029961,4.711538,[66 51] ; [15  3],[70.2 46.8] ; [10.8  7.2],0
p9,1,0.045972,3.982621,[46 65] ; [12  6],[49.90697674 61.09302326] ; [8.09302326 9.90697674],0
p6,1,0.058198,3.588018,[17 96] ; [ 6 12],[19.83969466 93.16030534] ; [ 3.16030534 14.83969466],0
p4,1,0.061689,3.491374,[32 82] ; [9 9],[35.40909091 78.59090909] ; [ 5.59090909 12.40909091],0
b4,1,0.084438,2.977335,[59 58] ; [13  5],[62.4 54.6] ; [9.6 8.4],0
u2,1,0.089483,2.883656,[16 33] ; [3 1],[17.56603774 31.43396226] ; [1.43396226 2.56603774],0
p8,1,0.095236,2.783559,[29 85] ; [ 8 10],[31.95454545 82.04545455] ; [ 5.04545455 12.95454545],0
n5,1,0.120708,2.408114,[68 48] ; [14  4],[70.98507463 45.01492537] ; [11.01492537  6.98507463],0
p12,1,0.126523,2.334654,[  1 115] ; [ 1 17],[  1.73134328 114.26865672] ; [ 0.26865672 17.73134328],0
a3,1,0.133767,2.248231,[67 46] ; [14  4],[69.87022901 43.12977099] ; [11.12977099  6.87022901],0
u3,1,0.147283,2.10017,[19 31] ; [3 1],[20.37037037 29.62962963] ; [1.62962963 2.37037037],0
p3,1,0.152819,2.043879,[32 83] ; [ 8 10],[34.58646617 80.41353383] ; [ 5.41353383 12.58646617],0
d4,1,0.168062,1.900142,[78 38] ; [15  3],[80.50746269 35.49253731] ; [12.49253731  5.50746269],0
v3,1,0.201502,1.631453,[27 83] ; [ 7 11],[29.21875 80.78125] ; [ 4.78125 13.21875],0
a5,1,0.204949,1.606752,[66 51] ; [13  5],[68.46666667 48.53333333] ; [10.53333333  7.46666667],0
b5,1,0.282272,1.156119,[74 43] ; [9 9],[71.93333333 45.06666667] ; [11.06666667  6.93333333],0
n4,1,0.302094,1.064928,[69 47] ; [13  5],[70.98507463 45.01492537] ; [11.01492537  6.98507463],0
a4,1,0.308022,1.03914,[43 72] ; [9 9],[44.96240602 70.03759398] ; [ 7.03759398 10.96240602],0
a6,1,0.30818,1.038462,[63 54] ; [12  6],[65. 52.] ; [10.  8.],0
a2,1,0.324878,0.969206,[21 96] ; [ 5 13],[22.53333333 94.46666667] ; [ 3.46666667 14.53333333],0
n3,1,0.350715,0.87087,[26 21] ; [3 5],[24.78181818 22.21818182] ; [4.21818182 3.78181818],0
r3,1,0.369941,0.803864,[78 38] ; [14  4],[79.64179104 36.35820896] ; [12.35820896  5.64179104],0
d1,1,0.378515,0.775519,[52 65] ; [10  8],[53.73333333 63.26666667] ; [8.26666667 9.73333333],0
p2,1,0.380164,0.770172,[58 58] ; [11  7],[59.73134328 56.26865672] ; [9.26865672 8.73134328],0
n1,1,0.400752,0.706068,[19 28] ; [5 4],[20.14285714 26.85714286] ; [3.85714286 5.14285714],0
a7,1,0.405309,0.692518,[72 44] ; [13  5],[73.58208955 42.41791045] ; [11.41791045  6.58208955],0
b2,1,0.419434,0.651899,[24 43] ; [2 7],[22.92105263 44.07894737] ; [3.07894737 5.92105263],0
b3,1,0.419434,0.651899,[24 43] ; [2 7],[22.92105263 44.07894737] ; [3.07894737 5.92105263],0
r2,1,0.438944,0.59904,[92 21] ; [16  2],[93.16030534 19.83969466] ; [14.83969466  3.16030534],0
n2,1,0.450627,0.569074,[26 23] ; [6 3],[27.03448276 21.96551724] ; [4.96551724 4.03448276],0
d5,1,0.459727,0.546559,[81 36] ; [14  4],[82.33333333 34.66666667] ; [12.66666667  5.33333333],0
v1,1,0.506585,0.441115,[36 80] ; [ 7 11],[37.2238806 78.7761194] ; [ 5.7761194 12.2238806],0
a8,1,0.568847,0.324616,[11 96] ; [ 1 16],[10.35483871 96.64516129] ; [ 1.64516129 15.35483871],0
d3,1,0.685877,0.163585,[65 51] ; [11  7],[65.79104478 50.20895522] ; [10.20895522  7.79104478],0
p7,1,0.710619,0.137659,[45 68] ; [ 8 10],[45.71755725 67.28244275] ; [ 7.28244275 10.71755725],0
a1,1,0.747262,0.103846,[  9 108] ; [ 1 17],[  8.66666667 108.33333333] ; [ 1.33333333 16.66666667],0
s4,1,0.765763,0.088757,[ 16 101] ; [ 2 16],[ 15.6 101.4] ; [ 2.4 15.6],0
s3,1,0.769625,0.08577,[28 86] ; [ 5 13],[28.5 85.5] ; [ 4.5 13.5],0
b1,1,0.919313,0.010261,[60 57] ; [9 9],[59.8 57.2] ; [9.2 8.8],0
p1,1,0.943009,0.005111,[  7 110] ; [ 1 17],[  6.93333333 110.06666667] ; [ 1.06666667 16.93333333],0
s1,1,0.945808,0.00462,[  6 110] ; [ 1 17],[  6.05970149 109.94029851] ; [ 0.94029851 17.05970149],0
d2,1,0.975736,0.000925,[52 64] ; [ 8 10],[51.94029851 64.05970149] ; [8.05970149 9.94029851],0
v2,1,0.980365,0.000606,[38 75] ; [ 6 12],[37.95419847 75.04580153] ; [ 6.04580153 11.95419847],0
