Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.4e-05,18.816396,[17 27] ; [58 16],[27.96610169 16.03389831] ; [47.03389831 26.96610169],1
d3,1,0.000113,14.902017,[14 30] ; [50 23],[24.06837607 19.93162393] ; [39.93162393 33.06837607],1
d5,1,0.000391,12.573097,[22 22] ; [60 14],[30.57627119 13.42372881] ; [51.42372881 22.57627119],1
a5,1,0.00592,7.574367,[19 25] ; [51 23],[26.10169492 17.89830508] ; [43.89830508 30.10169492],0
s4,1,0.010695,6.515336,[ 8 36] ; [ 3 71],[ 4.10169492 39.89830508] ; [ 6.89830508 67.10169492],0
a2,1,0.034371,4.476132,[ 3 41] ; [16 58],[ 7.08474576 36.91525424] ; [11.91525424 62.08474576],0
b1,1,0.035541,4.41897,[29 15] ; [34 40],[23.49152542 20.50847458] ; [39.50847458 34.49152542],0
a3,1,0.038365,4.288786,[23 21] ; [52 21],[28.20512821 15.79487179] ; [46.79487179 26.20512821],0
n2,1,0.048868,3.879892,[15  5] ; [12 14],[11.73913043  8.26086957] ; [15.26086957 10.73913043],0
d4,1,0.057662,3.603394,[24 19] ; [54 20],[28.66666667 14.33333333] ; [49.33333333 24.66666667],0
r1,1,0.059591,3.548727,[24 20] ; [53 21],[28.71186441 15.28813559] ; [48.28813559 25.71186441],0
p10,1,0.066904,3.35739,[15 27] ; [39 34],[19.72173913 22.27826087] ; [34.27826087 38.72173913],0
r3,1,0.081531,3.034112,[28 16] ; [58 16],[32.06779661 11.93220339] ; [53.93220339 20.06779661],0
p9,1,0.083019,3.004777,[20 23] ; [46 27],[24.46551724 18.53448276] ; [41.53448276 31.46551724],0
d1,1,0.105044,2.627238,[13 31] ; [33 41],[17.15254237 26.84745763] ; [28.84745763 45.15254237],0
p8,1,0.10937,2.563294,[11 32] ; [29 43],[14.95652174 28.04347826] ; [25.04347826 46.95652174],0
s8,1,0.110101,2.552769,[ 4 40] ; [15 59],[ 7.08474576 36.91525424] ; [11.91525424 62.08474576],0
s3,1,0.127463,2.323137,[15 28] ; [16 57],[11.49137931 31.50862069] ; [19.50862069 53.49137931],0
u1,1,0.133183,2.255001,[ 1 43] ; [ 7 67],[ 2.98305085 41.01694915] ; [ 5.01694915 68.98305085],0
v4,1,0.166218,1.916726,[28 14] ; [58 16],[31.13793103 10.86206897] ; [54.86206897 19.13793103],0
p2,1,0.169944,1.88344,[23 19] ; [50 24],[26.43103448 15.56896552] ; [46.56896552 27.43103448],0
a4,1,0.170398,1.879438,[14 30] ; [33 41],[17.52542373 26.47457627] ; [29.47457627 44.52542373],0
v2,1,0.19102,1.709732,[13 28] ; [31 39],[16.25225225 24.74774775] ; [27.74774775 42.25225225],0
s6,1,0.196593,1.667505,[11 33] ; [27 47],[14.16949153 29.83050847] ; [23.83050847 50.16949153],0
b3,1,0.205609,1.602077,[11 16] ; [11 31],[ 8.60869565 18.39130435] ; [13.39130435 28.60869565],0
b2,1,0.205609,1.602077,[11 16] ; [11 31],[ 8.60869565 18.39130435] ; [13.39130435 28.60869565],0
p6,1,0.244649,1.353606,[ 9 31] ; [10 62],[ 6.78571429 33.21428571] ; [12.21428571 59.78571429],0
v3,1,0.268719,1.223274,[ 7 33] ; [19 52],[ 9.36936937 30.63063063] ; [16.63063063 54.36936937],0
r4,1,0.307308,1.042212,[25 19] ; [49 25],[27.59322034 16.40677966] ; [46.40677966 27.59322034],0
a8,1,0.313616,1.015386,[ 2 40] ; [ 7 62],[ 3.40540541 38.59459459] ; [ 5.59459459 63.40540541],0
d2,1,0.364079,0.823774,[21 23] ; [29 45],[18.6440678 25.3559322] ; [31.3559322 42.6440678],0
n1,1,0.371439,0.798845,[ 9 11] ; [ 8 17],[ 7.55555556 12.44444444] ; [ 9.44444444 15.55555556],0
n3,1,0.401943,0.702507,[13  6] ; [14 11],[11.65909091  7.34090909] ; [15.34090909  9.65909091],0
v1,1,0.475155,0.509963,[14 30] ; [28 45],[15.79487179 28.20512821] ; [26.20512821 46.79487179],0
p3,1,0.498296,0.458564,[11 32] ; [23 50],[12.60344828 30.39655172] ; [21.39655172 51.60344828],0
p5,1,0.59855,0.277189,[ 2 42] ; [ 5 67],[ 2.65517241 41.34482759] ; [ 4.34482759 67.65517241],0
b5,1,0.601412,0.272872,[24 20] ; [44 30],[25.3559322 18.6440678] ; [42.6440678 31.3559322],0
