Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.00149,10.091116,[31 37] ; [59 24],[40.52980132 27.47019868] ; [49.47019868 33.52980132],0
a8,1,0.004244,8.176328,[ 4 61] ; [18 58],[10.14184397 54.85815603] ; [11.85815603 64.14184397],0
s2,1,0.008929,6.837028,[45 27] ; [69 16],[52.28025478 19.71974522] ; [61.71974522 23.28025478],0
b5,1,0.011763,6.346274,[44 28] ; [69 18],[51.16981132 20.83018868] ; [61.83018868 25.16981132],0
p9,1,0.040675,4.189488,[57 15] ; [78  8],[61.51898734 10.48101266] ; [73.48101266 12.51898734],0
s5,1,0.05262,3.755956,[22 47] ; [38 42],[27.7852349 41.2147651] ; [32.2147651 47.7852349],0
p6,1,0.052889,3.747432,[17 55] ; [33 54],[22.64150943 49.35849057] ; [27.35849057 59.64150943],0
p3,1,0.078234,3.101213,[24 48] ; [41 46],[29.43396226 42.56603774] ; [35.56603774 51.43396226],0
p1,1,0.142097,2.155106,[ 3 69] ; [ 9 78],[ 5.43396226 66.56603774] ; [ 6.56603774 80.43396226],0
r3,1,0.155221,2.020178,[67  5] ; [85  2],[68.83018868  3.16981132] ; [83.16981132  3.83018868],0
n1,1,0.182314,1.778656,[10 15] ; [12  8],[12.22222222 12.77777778] ; [ 9.77777778 10.22222222],0
s6,1,0.184986,1.757106,[57 15] ; [74 11],[60.07643312 11.92356688] ; [70.92356688 14.07643312],0
n2,1,0.206677,1.594549,[17 10] ; [16  4],[18.95744681  8.04255319] ; [14.04255319  5.95744681],0
s7,1,0.244427,1.354876,[50 19] ; [66 16],[53.00662252 15.99337748] ; [62.99337748 19.00662252],0
d1,1,0.250436,1.320868,[47 25] ; [49 38],[43.47169811 28.52830189] ; [52.52830189 34.47169811],0
a7,1,0.251685,1.313925,[54 18] ; [58 29],[50.71698113 21.28301887] ; [61.28301887 25.71698113],0
a4,1,0.252869,1.307385,[34 38] ; [49 38],[37.58490566 34.41509434] ; [45.41509434 41.58490566],0
r2,1,0.305387,1.05052,[66  5] ; [84  3],[67.40506329  3.59493671] ; [82.59493671  4.40506329],0
d2,1,0.339421,0.912616,[41 31] ; [56 31],[43.9245283 28.0754717] ; [53.0754717 33.9245283],0
p2,1,0.342807,0.899906,[48 24] ; [64 23],[50.71698113 21.28301887] ; [61.28301887 25.71698113],0
d5,1,0.350457,0.871801,[61 11] ; [78  9],[62.94339623  9.05660377] ; [76.05660377 10.94339623],0
b1,1,0.405637,0.691551,[32 40] ; [33 54],[29.43396226 42.56603774] ; [35.56603774 51.43396226],0
u4,1,0.409142,0.681292,[ 1 71] ; [ 3 84],[ 1.81132075 70.18867925] ; [ 2.18867925 84.81132075],0
n6,1,0.425916,0.633935,[62 10] ; [70 16],[60.15189873 11.84810127] ; [71.84810127 14.15189873],0
p7,1,0.442526,0.589724,[32 40] ; [43 42],[34.39490446 37.60509554] ; [40.60509554 44.39490446],0
v3,1,0.482543,0.493111,[28 40] ; [38 43],[30.12080537 37.87919463] ; [35.87919463 45.12080537],0
p11,1,0.515397,0.423094,[47 25] ; [61 26],[48.90566038 23.09433962] ; [59.09433962 27.90566038],0
r4,1,0.517445,0.418982,[65  7] ; [81  6],[66.11320755  5.88679245] ; [79.88679245  7.11320755],0
a5,1,0.51799,0.417893,[54 18] ; [69 18],[55.69811321 16.30188679] ; [67.30188679 19.69811321],0
s3,1,0.533188,0.388312,[49 23] ; [61 23],[50.76923077 21.23076923] ; [59.23076923 24.76923077],0
s1,1,0.541231,0.373263,[ 2 69] ; [ 4 81],[ 2.73076923 68.26923077] ; [ 3.26923077 81.73076923],0
d3,1,0.584021,0.299779,[45 27] ; [58 29],[46.64150943 25.35849057] ; [56.35849057 30.64150943],0
p4,1,0.613203,0.255538,[36 36] ; [47 40],[37.58490566 34.41509434] ; [45.41509434 41.58490566],0
p5,1,0.614201,0.254102,[ 3 69] ; [ 5 79],[ 3.69230769 68.30769231] ; [ 4.30769231 79.69230769],0
a2,1,0.621736,0.243435,[25 47] ; [27 60],[23.54716981 48.45283019] ; [28.45283019 58.54716981],0
u2,1,0.655667,0.19883,[10  5] ; [14  5],[10.58823529  4.41176471] ; [13.41176471  5.58823529],0
b2,1,0.70214,0.146255,[20 29] ; [25 42],[19.00862069 29.99137931] ; [25.99137931 41.00862069],0
b3,1,0.70214,0.146255,[20 29] ; [25 42],[19.00862069 29.99137931] ; [25.99137931 41.00862069],0
u3,1,0.727383,0.121528,[12  3] ; [15  5],[11.57142857  3.42857143] ; [15.42857143  4.57142857],0
n4,1,0.733463,0.115955,[56 16] ; [68 17],[56.86624204 15.13375796] ; [67.13375796 17.86624204],0
b4,1,0.74064,0.109565,[42 30] ; [53 34],[43.01886792 28.98113208] ; [51.98113208 35.01886792],0
a3,1,0.744058,0.106592,[57 15] ; [67 20],[56.1509434 15.8490566] ; [67.8490566 19.1509434],0
p12,1,0.77763,0.079755,[ 5 67] ; [ 7 79],[ 5.46835443 66.53164557] ; [ 6.53164557 79.46835443],0
s4,1,0.805036,0.060927,[15 56] ; [17 70],[14.37974684 56.62025316] ; [17.62025316 69.37974684],0
v4,1,0.812946,0.055992,[69  3] ; [84  3],[69.28301887  2.71698113] ; [83.71698113  3.28301887],0
n3,1,0.818281,0.052788,[19  7] ; [14  6],[18.65217391  7.34782609] ; [14.34782609  5.65217391],0
d4,1,0.865774,0.028571,[58 14] ; [71 16],[58.41509434 13.58490566] ; [70.58490566 16.41509434],0
p10,1,0.871142,0.026311,[60 12] ; [70 15],[59.61783439 12.38216561] ; [70.38216561 14.61783439],0
a1,1,0.895082,0.017391,[ 3 69] ; [ 4 83],[ 3.16981132 68.83018868] ; [ 3.83018868 83.16981132],0
r1,1,0.919859,0.010123,[59 13] ; [71 15],[59.24050633 12.75949367] ; [70.75949367 15.24050633],0
a6,1,0.926958,0.008404,[50 22] ; [61 26],[50.26415094 21.73584906] ; [60.73584906 26.26415094],0
u1,1,0.952423,0.00356,[21 51] ; [25 62],[20.83018868 51.16981132] ; [25.16981132 61.83018868],0
n5,1,0.970975,0.001324,[51 20] ; [62 24],[51.10191083 19.89808917] ; [61.89808917 24.10191083],0
