Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.001683,9.866667,[21 16] ; [33  4],[27. 10.] ; [27. 10.],0
p7,1,0.004227,8.183772,[12 25] ; [22 11],[17.97142857 19.02857143] ; [16.02857143 16.97142857],0
p8,1,0.005145,7.82777,[ 7 30] ; [18 18],[12.67123288 24.32876712] ; [12.32876712 23.67123288],0
v4,1,0.00565,7.658791,[24 13] ; [33  3],[28.89041096  8.10958904] ; [28.10958904  7.89041096],0
p6,1,0.012928,6.178904,[ 6 31] ; [15 20],[10.79166667 26.20833333] ; [10.20833333 24.79166667],0
p4,1,0.013591,6.090557,[ 6 32] ; [15 21],[10.78378378 27.21621622] ; [10.21621622 25.78378378],0
n2,1,0.017706,5.625,[9 9] ; [11  1],[12.  6.] ; [8. 4.],0
p9,1,0.033769,4.506363,[17 18] ; [27 10],[21.38888889 13.61111111] ; [22.61111111 14.38888889],0
s6,1,0.033962,4.496624,[11 26] ; [20 17],[15.5 21.5] ; [15.5 21.5],0
r4,1,0.046435,3.965727,[17 21] ; [25 12],[21.28 16.72] ; [20.72 16.28],0
b5,1,0.073214,3.209459,[19 19] ; [26 11],[22.8 15.2] ; [22.2 14.8],0
n1,1,0.09421,2.800926,[ 5 13] ; [7 5],[ 7.2 10.8] ; [4.8 7.2],0
v2,1,0.102579,2.664984,[ 8 27] ; [14 20],[11.15942029 23.84057971] ; [10.84057971 23.15942029],0
p10,1,0.161519,1.959943,[16 19] ; [23 14],[18.95833333 16.04166667] ; [20.04166667 16.95833333],0
p2,1,0.170127,1.881821,[22 16] ; [27 10],[24.82666667 13.17333333] ; [24.17333333 12.82666667],0
n4,1,0.201477,1.631634,[12 26] ; [17 20],[14.69333333 23.30666667] ; [14.30666667 22.69333333],0
b1,1,0.204492,1.609997,[22 16] ; [16 21],[19.25333333 18.74666667] ; [18.74666667 18.25333333],0
u3,1,0.250581,1.320062,[13 13] ; [14  7],[14.93617021 11.06382979] ; [12.06382979  8.93617021],0
n5,1,0.251042,1.317497,[15 23] ; [19 17],[17.45945946 20.54054054] ; [16.54054054 19.45945946],0
d2,1,0.285777,1.139412,[10 28] ; [ 6 31],[ 8.10666667 29.89333333] ; [ 7.89333333 29.10666667],0
b3,1,0.292407,1.108504,[ 7 14] ; [ 4 17],[ 5.5 15.5] ; [ 5.5 15.5],0
b2,1,0.292407,1.108504,[ 7 14] ; [ 4 17],[ 5.5 15.5] ; [ 5.5 15.5],0
a3,1,0.296426,1.090204,[12 26] ; [16 21],[14.18666667 23.81333333] ; [13.81333333 23.18666667],0
r2,1,0.313552,1.015653,[28 10] ; [30  6],[29.78378378  8.21621622] ; [28.21621622  7.78378378],0
a8,1,0.317073,1.000982,[ 1 35] ; [ 3 34],[ 1.97260274 34.02739726] ; [ 2.02739726 34.97260274],0
a1,1,0.317086,1.000929,[ 3 35] ; [ 1 36],[ 2.02666667 35.97333333] ; [ 1.97333333 35.02666667],0
s4,1,0.387683,0.746198,[ 8 30] ; [11 26],[ 9.62666667 28.37333333] ; [ 9.37333333 27.62666667],0
r1,1,0.4041,0.696093,[20 18] ; [23 14],[21.78666667 16.21333333] ; [21.21333333 15.78666667],0
p1,1,0.413769,0.667945,[ 4 34] ; [ 2 35],[ 3.04 34.96] ; [ 2.96 34.04],0
u2,1,0.41757,0.657143,[15 10] ; [15  6],[16.30434783  8.69565217] ; [13.69565217  7.30434783],0
v1,1,0.436763,0.604773,[16 22] ; [12 24],[14.37837838 23.62162162] ; [13.62162162 22.37837838],0
v3,1,0.437445,0.602974,[ 6 29] ; [ 4 33],[ 4.86111111 30.13888889] ; [ 5.13888889 31.86111111],0
s3,1,0.485499,0.486486,[17 20] ; [20 17],[18.5 18.5] ; [18.5 18.5],0
a6,1,0.566481,0.328605,[21 17] ; [18 19],[19.76 18.24] ; [19.24 17.76],0
u1,1,0.571573,0.320057,[ 2 36] ; [ 1 36],[ 1.52 36.48] ; [ 1.48 35.52],0
d3,1,0.641817,0.216374,[18 19] ; [20 17],[19. 18.] ; [19. 18.],0
d1,1,0.665101,0.187386,[12 26] ; [10 27],[11.14666667 26.85333333] ; [10.85333333 26.14666667],0
a4,1,0.690623,0.158412,[ 4 34] ; [ 5 32],[ 4.56 33.44] ; [ 4.44 32.56],0
a7,1,0.725332,0.123441,[19 19] ; [20 17],[19.76 18.24] ; [19.24 17.76],0
b4,1,0.737622,0.112228,[22 16] ; [20 17],[21.28 16.72] ; [20.72 16.28],0
s2,1,0.743521,0.107056,[13 25] ; [14 23],[13.68 24.32] ; [13.32 23.68],0
n3,1,0.75706,0.095694,[11  7] ; [8 4],[11.4  6.6] ; [7.6 4.4],0
d4,1,0.805852,0.060408,[25 12] ; [24 13],[24.5 12.5] ; [24.5 12.5],0
s7,1,0.820307,0.051597,[ 9 24] ; [11 26],[ 9.42857143 23.57142857] ; [10.57142857 26.42857143],0
s8,1,0.83109,0.045498,[ 9 29] ; [ 8 29],[ 8.61333333 29.38666667] ; [ 8.38666667 28.61333333],0
d5,1,0.896345,0.016973,[21 17] ; [21 16],[21.28 16.72] ; [20.72 16.28],0
p3,1,0.952046,0.003616,[ 8 30] ; [ 8 29],[ 8.10666667 29.89333333] ; [ 7.89333333 29.10666667],0
p5,1,0.98475,0.000365,[ 1 37] ; [ 1 36],[ 1.01333333 36.98666667] ; [ 0.98666667 36.01333333],0
s5,1,1.0,0.0,[ 7 29] ; [ 7 29],[ 7. 29.] ; [ 7. 29.],0
