Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,7e-06,20.268829,[34  9] ; [42 67],[21.5 21.5] ; [54.5 54.5],1
p12,1,0.007466,7.157295,[ 6 38] ; [  3 111],[ 2.50632911 41.49367089] ; [  6.49367089 107.50632911],0
p5,1,0.019099,5.492439,[ 6 38] ; [  4 110],[ 2.78481013 41.21518987] ; [  7.21518987 106.78481013],0
b1,1,0.060241,3.530734,[ 9 35] ; [41 73],[13.92405063 30.07594937] ; [36.07594937 77.92405063],0
n1,1,0.06954,3.293853,[ 1 13] ; [10 21],[ 3.42222222 10.57777778] ; [ 7.57777778 23.42222222],0
v1,1,0.07499,3.17027,[21 23] ; [36 75],[16.18064516 27.81935484] ; [40.81935484 70.18064516],0
a5,1,0.134283,2.242277,[34 10] ; [74 40],[30.07594937 13.92405063] ; [77.92405063 36.07594937],0
s8,1,0.143519,2.139816,[21 23] ; [40 74],[16.98734177 27.01265823] ; [44.01265823 69.98734177],0
u2,1,0.151537,2.056709,[11  2] ; [26 15],[8.90740741 4.09259259] ; [28.09259259 12.90740741],0
d1,1,0.211943,1.558106,[28 16] ; [60 54],[24.50632911 19.49367089] ; [63.49367089 50.50632911],0
s1,1,0.217143,1.523152,[ 3 41] ; [  3 111],[ 1.67088608 42.32911392] ; [  4.32911392 109.67088608],0
r4,1,0.226154,1.46489,[40  4] ; [95 19],[37.59493671  6.40506329] ; [97.40506329 16.59493671],0
s3,1,0.265016,1.242361,[20 24] ; [62 50],[23.12820513 20.87179487] ; [58.87179487 53.12820513],0
p4,1,0.27698,1.181851,[17 27] ; [55 59],[20.05063291 23.94936709] ; [51.94936709 62.05063291],0
a6,1,0.288255,1.127756,[31 13] ; [70 44],[28.12658228 15.87341772] ; [72.87341772 41.12658228],0
v4,1,0.31084,1.027104,[43  1] ; [105   7],[41.74358974  2.25641026] ; [106.25641026   5.74358974],0
p8,1,0.314288,1.012569,[23 21] ; [49 64],[20.17834395 23.82165605] ; [51.82165605 61.17834395],0
b5,1,0.321874,0.981318,[30 14] ; [68 46],[27.29113924 16.70886076] ; [70.70886076 43.29113924],0
a4,1,0.321874,0.981318,[14 30] ; [46 68],[16.70886076 27.29113924] ; [43.29113924 70.70886076],0
a7,1,0.385293,0.753747,[37  7] ; [88 25],[35.03184713  8.96815287] ; [89.96815287 23.03184713],0
a3,1,0.388115,0.744838,[31 13] ; [72 42],[28.6835443 15.3164557] ; [74.3164557 39.6835443],0
n3,1,0.390399,0.737698,[9 5] ; [23  7],[10.18181818  3.81818182] ; [21.81818182  8.18181818],0
d3,1,0.427373,0.629952,[35  9] ; [83 30],[33.07006369 10.92993631] ; [84.92993631 28.07006369],0
r1,1,0.427373,0.629952,[35  9] ; [83 30],[33.07006369 10.92993631] ; [84.92993631 28.07006369],0
b4,1,0.428159,0.627812,[30 14] ; [70 44],[27.84810127 16.15189873] ; [72.15189873 41.84810127],0
a2,1,0.473859,0.512964,[ 6 38] ; [21 93],[ 7.51898734 36.48101266] ; [19.48101266 94.51898734],0
n4,1,0.509893,0.434287,[16 28] ; [48 66],[17.82278481 26.17721519] ; [46.17721519 67.82278481],0
u3,1,0.521692,0.410547,[7 5] ; [28 13],[7.9245283 4.0754717] ; [27.0754717 13.9245283],0
a1,1,0.531934,0.390695,[ 3 41] ; [  5 109],[ 2.2278481 41.7721519] ; [  5.7721519 108.2278481],0
r3,1,0.567282,0.327251,[42  2] ; [106   8],[41.21518987  2.78481013] ; [106.78481013   7.21518987],0
s6,1,0.591721,0.287664,[29 14] ; [71 42],[27.56410256 15.43589744] ; [72.43589744 40.56410256],0
n2,1,0.63672,0.223057,[8 6] ; [20 11],[8.71111111 5.28888889] ; [19.28888889 11.71111111],0
s4,1,0.639113,0.219904,[12 32] ; [27 87],[10.86075949 33.13924051] ; [28.13924051 85.86075949],0
d2,1,0.670394,0.181141,[19 25] ; [45 69],[17.82278481 26.17721519] ; [46.17721519 67.82278481],0
p6,1,0.709146,0.139132,[12 31] ; [35 78],[12.95512821 30.04487179] ; [34.04487179 78.95512821],0
s2,1,0.716942,0.131442,[20 24] ; [55 58],[21.01910828 22.98089172] ; [53.98089172 59.01910828],0
s7,1,0.734768,0.114778,[16 27] ; [45 67],[16.92258065 26.07741935] ; [44.07741935 67.92258065],0
d5,1,0.758788,0.094294,[36  8] ; [90 23],[35.31210191  8.68789809] ; [90.68789809 22.31210191],0
n6,1,0.773184,0.083067,[28 15] ; [77 37],[28.75796178 14.24203822] ; [76.24203822 37.75796178],0
p1,1,0.775335,0.081455,[ 4 39] ; [  9 105],[ 3.56050955 39.43949045] ; [  9.43949045 104.56050955],0
r2,1,0.797328,0.06595,[41  3] ; [103   9],[40.61538462  3.38461538] ; [103.38461538   8.61538462],0
p11,1,0.813626,0.055578,[32 12] ; [85 29],[32.58227848 11.41772152] ; [84.41772152 29.58227848],0
s5,1,0.841893,0.03979,[14 29] ; [37 71],[14.52317881 28.47682119] ; [36.47682119 71.52317881],0
a8,1,0.860588,0.030844,[ 2 39] ; [  6 101],[ 2.21621622 38.78378378] ; [  5.78378378 101.21621622],0
p3,1,0.868804,0.027284,[18 26] ; [45 69],[17.5443038 26.4556962] ; [45.4556962 68.5443038],0
d4,1,0.908348,0.013253,[37  7] ; [95 19],[36.75949367  7.24050633] ; [95.24050633 18.75949367],0
p9,1,0.914552,0.011513,[40  4] ; [103  11],[39.82278481  4.17721519] ; [103.17721519  10.82278481],0
b2,1,0.938347,0.005983,[ 8 17] ; [19 42],[ 7.84883721 17.15116279] ; [19.15116279 41.84883721],0
b3,1,0.938347,0.005983,[ 8 17] ; [19 42],[ 7.84883721 17.15116279] ; [19.15116279 41.84883721],0
p7,1,0.941615,0.005364,[26 17] ; [67 45],[25.8 17.2] ; [67.2 44.8],0
p2,1,0.972223,0.001212,[36  8] ; [93 21],[35.92405063  8.07594937] ; [93.07594937 20.92405063],0
u1,1,0.994358,5e-05,[ 5 39] ; [ 13 101],[ 5.01265823 38.98734177] ; [ 12.98734177 101.01265823],0
