Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,9.1e-05,15.312785,[ 4 37] ; [8 5],[ 9.11111111 31.88888889] ; [ 2.88888889 10.11111111],1
u3,1,0.004974,7.888696,[ 4 19] ; [4 1],[ 6.57142857 16.42857143] ; [1.42857143 3.57142857],0
s6,1,0.025807,4.9689,[14 27] ; [9 4],[17.46296296 23.53703704] ; [5.53703704 7.46296296],0
v3,1,0.033637,4.513048,[ 5 36] ; [5 8],[ 7.59259259 33.40740741] ; [ 2.40740741 10.59259259],0
r1,1,0.046312,3.970226,[10 31] ; [7 6],[12.90740741 28.09259259] ; [4.09259259 8.90740741],0
p10,1,0.064098,3.428042,[19 21] ; [10  3],[21.88679245 18.11320755] ; [7.11320755 5.88679245],0
b2,1,0.07355,3.201963,[ 5 22] ; [4 4],[ 6.94285714 20.05714286] ; [2.05714286 5.94285714],0
b3,1,0.07355,3.201963,[ 5 22] ; [4 4],[ 6.94285714 20.05714286] ; [2.05714286 5.94285714],0
p2,1,0.136872,2.212775,[22 19] ; [10  3],[24.2962963 16.7037037] ; [7.7037037 5.2962963],0
a4,1,0.148131,2.091396,[11 30] ; [ 1 12],[ 9.11111111 31.88888889] ; [ 2.88888889 10.11111111],0
p9,1,0.160329,1.97112,[22 18] ; [10  3],[24.1509434 15.8490566] ; [7.8490566 5.1509434],0
s2,1,0.163775,1.939019,[ 8 33] ; [5 8],[ 9.87037037 31.12962963] ; [3.12962963 9.87037037],0
d2,1,0.19675,1.666338,[14 27] ; [ 2 11],[12.14814815 28.85185185] ; [3.85185185 9.14814815],0
n2,1,0.202134,1.626891,[12  5] ; [3 4],[10.625  6.375] ; [4.375 2.625],0
n3,1,0.202134,1.626891,[12  5] ; [3 4],[10.625  6.375] ; [4.375 2.625],0
a5,1,0.205916,1.599912,[17 24] ; [8 5],[18.98148148 22.01851852] ; [6.01851852 6.98148148],0
v2,1,0.234001,1.416373,[13 27] ; [ 2 11],[11.32075472 28.67924528] ; [3.67924528 9.32075472],0
s3,1,0.256789,1.285985,[ 9 31] ; [5 8],[10.56603774 29.43396226] ; [3.43396226 9.56603774],0
d4,1,0.294105,1.100735,[25 16] ; [10  3],[26.57407407 14.42592593] ; [8.42592593 4.57407407],0
a3,1,0.300084,1.073822,[18 22] ; [8 5],[19.62264151 20.37735849] ; [6.37735849 6.62264151],0
b1,1,0.322473,0.978888,[22 19] ; [9 4],[23.53703704 17.46296296] ; [7.46296296 5.53703704],0
b4,1,0.346343,0.886811,[25 16] ; [6 7],[23.53703704 17.46296296] ; [7.46296296 5.53703704],0
p8,1,0.34925,0.876181,[10 30] ; [5 8],[11.32075472 28.67924528] ; [3.67924528 9.32075472],0
n6,1,0.372918,0.793919,[25 16] ; [9 3],[26.30188679 14.69811321] ; [7.69811321 4.30188679],0
p1,1,0.381891,0.764605,[ 3 38] ; [ 2 11],[ 3.7962963 37.2037037] ; [ 1.2037037 11.7962963],0
s1,1,0.381891,0.764605,[ 3 38] ; [ 2 11],[ 3.7962963 37.2037037] ; [ 1.2037037 11.7962963],0
a2,1,0.382159,0.763747,[ 1 40] ; [ 1 12],[ 1.51851852 39.48148148] ; [ 0.48148148 12.51851852],0
