Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.116146,[86 74] ; [68 11],[103.09623431  56.90376569] ; [50.90376569 28.09623431],1
p5,1,4e-06,21.421924,[ 10 153] ; [22 58],[ 21.46502058 141.53497942] ; [10.53497942 69.46502058],1
p4,1,5e-06,20.959399,[71 91] ; [60 20],[87.69421488 74.30578512] ; [43.30578512 36.69421488],1
p8,1,0.000226,13.599392,[69 94] ; [54 26],[82.50617284 80.49382716] ; [40.49382716 39.50617284],1
p3,1,0.003051,8.776983,[ 61 102] ; [46 34],[71.77366255 91.22633745] ; [35.22633745 44.77366255],0
n5,1,0.005765,7.622316,[115  47] ; [68 10],[123.525  38.475] ; [59.475 18.525],0
p11,1,0.00732,7.192743,[115  48] ; [69 11],[123.42386831  39.57613169] ; [60.57613169 19.42386831],0
s7,1,0.011775,6.344403,[75 84] ; [48 26],[83.93562232 75.06437768] ; [39.06437768 34.93562232],0
p12,1,0.015837,5.82084,[  8 155] ; [11 69],[ 12.74485597 150.25514403] ; [ 6.25514403 73.74485597],0
n3,1,0.022333,5.21966,[34 10] ; [8 9],[30.29508197 13.70491803] ; [11.70491803  5.29508197],0
s8,1,0.032815,4.555387,[68 95] ; [45 35],[75.79835391 87.20164609] ; [37.20164609 42.79835391],0
p1,1,0.034947,4.447767,[  8 154] ; [10 70],[ 12.04958678 149.95041322] ; [ 5.95041322 74.04958678],0
b2,1,0.042961,4.096923,[23 66] ; [19 25],[28.10526316 60.89473684] ; [13.89473684 30.10526316],0
b3,1,0.042961,4.096923,[23 66] ; [19 25],[28.10526316 60.89473684] ; [13.89473684 30.10526316],0
s4,1,0.045043,4.017047,[ 39 124] ; [10 68],[ 33.14107884 129.85892116] ; [15.85892116 62.14107884],0
v2,1,0.05238,3.763575,[69 85] ; [46 33],[76.00858369 77.99141631] ; [38.99141631 40.00858369],0
n2,1,0.056413,3.639829,[38  6] ; [11  6],[35.3442623  8.6557377] ; [13.6557377  3.3442623],0
n4,1,0.056441,3.639007,[113  49] ; [65 15],[119.15702479  42.84297521] ; [58.84297521 21.15702479],0
p10,1,0.088063,2.909435,[123  38] ; [67 11],[127.9916318  33.0083682] ; [62.0083682 15.9916318],0
s5,1,0.090265,2.869648,[ 56 105] ; [36 42],[61.9748954 99.0251046] ; [30.0251046 47.9748954],0
p9,1,0.093298,2.816537,[129  32] ; [71  9],[133.60995851  27.39004149] ; [66.39004149 13.60995851],0
n6,1,0.116041,2.469956,[133  29] ; [71  8],[137.12863071  24.87136929] ; [66.87136929 12.12863071],0
r3,1,0.123984,2.366256,[150  12] ; [78  2],[152.62809917   9.37190083] ; [75.37190083  4.62809917],0
a4,1,0.131389,2.276016,[ 33 129] ; [23 56],[ 37.64315353 124.35684647] ; [18.35684647 60.64315353],0
s2,1,0.146859,2.104579,[86 75] ; [50 29],[91.23333333 69.76666667] ; [44.76666667 34.23333333],0
a8,1,0.160464,1.969844,[ 19 133] ; [15 62],[ 22.56768559 129.43231441] ; [11.43231441 65.56768559],0
d4,1,0.169015,1.891657,[93 70] ; [53 27],[97.93415638 65.06584362] ; [48.06584362 31.93415638],0
r1,1,0.173537,1.852123,[118  43] ; [65 15],[122.25311203  38.74688797] ; [60.74688797 19.25311203],0
v1,1,0.270268,1.215385,[76 82] ; [44 35],[80. 78.] ; [40. 39.],0
d2,1,0.273133,1.200943,[ 27 136] ; [ 9 71],[ 24.14814815 138.85185185] ; [11.85185185 68.14814815],0
b1,1,0.297464,1.085527,[ 60 103] ; [35 45],[63.72427984 99.27572016] ; [31.27572016 48.72427984],0
b5,1,0.325501,0.966715,[89 74] ; [49 31],[92.56790123 70.43209877] ; [45.43209877 34.56790123],0
u3,1,0.38479,0.755342,[38 31] ; [23 13],[40.08571429 28.91428571] ; [20.91428571 15.08571429],0
u2,1,0.406091,0.690216,[36 31] ; [23 14],[38.00961538 28.99038462] ; [20.99038462 16.00961538],0
a1,1,0.453489,0.561916,[  5 158] ; [ 4 76],[  6.03703704 156.96296296] ; [ 2.96296296 77.03703704],0
v3,1,0.458832,0.548743,[ 53 107] ; [30 49],[ 55.56485356 104.43514644] ; [27.43514644 51.56485356],0
p2,1,0.468291,0.526006,[128  35] ; [66 14],[130.13168724  32.86831276] ; [63.86831276 16.13168724],0
s1,1,0.476135,0.507704,[  7 152] ; [ 2 77],[  6.01260504 152.98739496] ; [ 2.98739496 76.01260504],0
s3,1,0.479242,0.500588,[106  53] ; [49 30],[103.55042017  55.44957983] ; [51.44957983 27.55042017],0
a2,1,0.547013,0.362695,[  9 154] ; [ 6 74],[ 10.0617284 152.9382716] ; [ 4.9382716 75.0617284],0
a5,1,0.563608,0.333496,[96 67] ; [44 36],[93.90946502 69.09053498] ; [46.09053498 33.90946502],0
d3,1,0.564288,0.332334,[65 98] ; [35 45],[67.0781893 95.9218107] ; [32.9218107 47.0781893],0
v4,1,0.571608,0.32,[151   9] ; [74  6],[150.  10.] ; [75.  5.],0
a7,1,0.60848,0.262394,[106  57] ; [54 25],[107.76859504  55.23140496] ; [52.23140496 26.76859504],0
a3,1,0.65418,0.200671,[92 70] ; [43 37],[90.37190083 71.62809917] ; [44.62809917 35.37190083],0
a6,1,0.658155,0.195773,[95 68] ; [49 31],[96.59259259 66.40740741] ; [47.40740741 32.59259259],0
u1,1,0.77932,0.078515,[  5 158] ; [ 3 77],[  5.36625514 157.63374486] ; [ 2.63374486 77.36625514],0
r4,1,0.829012,0.046643,[141  22] ; [70 10],[141.53497942  21.46502058] ; [69.46502058 10.53497942],0
d5,1,0.837584,0.042019,[98 65] ; [47 33],[97.26337449 65.73662551] ; [47.73662551 32.26337449],0
r2,1,0.897073,0.016734,[145  15] ; [72  7],[145.27196653  14.72803347] ; [71.72803347  7.27196653],0
n1,1,0.906891,0.01368,[17 26] ; [ 7 10],[17.2 25.8] ; [ 6.8 10.2],0
b4,1,0.980047,0.000625,[94 69] ; [46 34],[93.90946502 69.09053498] ; [46.09053498 33.90946502],0
