Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,29.568944,[88 26] ; [105 122],[64.52199413 49.47800587] ; [128.47800587  98.52199413],1
p3,1,0.0,26.367493,[72 42] ; [ 77 150],[49.81231672 64.18768328] ; [ 99.18768328 127.81231672],1
p7,1,1e-06,25.260874,[92 19] ; [123 101],[71.23880597 39.76119403] ; [143.76119403  80.23880597],1
p5,1,5.2e-05,16.357029,[19 95] ; [  9 219],[  9.33333333 104.66666667] ; [ 18.66666667 209.33333333],1
p8,1,0.000234,13.538108,[74 40] ; [ 98 126],[58.01183432 55.98816568] ; [113.98816568 110.01183432],1
b3,1,0.000305,13.036555,[30 34] ; [26 96],[19.2688172 44.7311828] ; [36.7311828 85.2688172],1
b2,1,0.000305,13.036555,[30 34] ; [26 96],[19.2688172 44.7311828] ; [36.7311828 85.2688172],1
p1,1,0.0008,11.24125,[16 98] ; [  9 217],[  8.38235294 105.61764706] ; [ 16.61764706 209.38235294],1
s7,1,0.002175,9.395623,[62 46] ; [ 86 132],[49.03067485 58.96932515] ; [ 98.96932515 119.03067485],0
a1,1,0.004843,7.937105,[  8 106] ; [  3 225],[  3.66666667 110.33333333] ; [  7.33333333 220.66666667],0
p12,1,0.004932,7.904033,[ 10 103] ; [  5 222],[  4.98529412 108.01470588] ; [ 10.01470588 216.98529412],0
a4,1,0.018938,5.507246,[55 59] ; [ 80 148],[45. 69.] ; [ 90. 138.],0
s5,1,0.020723,5.349933,[40 66] ; [ 57 168],[31.06344411 74.93655589] ; [ 65.93655589 159.06344411],0
s2,1,0.02354,5.128221,[64 49] ; [ 99 128],[54.17352941 58.82647059] ; [108.82647059 118.17352941],0
s8,1,0.028868,4.775439,[50 63] ; [ 73 154],[40.87941176 72.12058824] ; [ 82.12058824 144.87941176],0
b4,1,0.030428,4.684932,[56 58] ; [140  88],[65.33333333 48.66666667] ; [130.66666667  97.33333333],0
n5,1,0.031918,4.602882,[84 29] ; [141  84],[75.22189349 37.77810651] ; [149.77810651  75.22189349],0
