Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.00435,8.131708,[ 3 42] ; [ 86 246],[10.62334218 34.37665782] ; [ 78.37665782 253.62334218],0
a5,1,0.006082,7.525875,[29 16] ; [272  60],[35.92838196  9.07161804] ; [265.07161804  66.92838196],0
d3,1,0.016362,5.7635,[25 20] ; [242  90],[31.87002653 13.12997347] ; [235.12997347  96.87002653],0
a3,1,0.026438,4.927149,[30 15] ; [268  63],[35.66489362  9.33510638] ; [262.33510638  68.66489362],0
n4,1,0.028264,4.811873,[32 13] ; [279  52],[37.22074468  7.77925532] ; [273.77925532  57.22074468],0
d4,1,0.039826,4.225283,[34 11] ; [288  43],[38.53723404  6.46276596] ; [283.46276596  47.53723404],0
a2,1,0.049904,3.844688,[ 7 38] ; [ 98 234],[12.5331565 32.4668435] ; [ 92.4668435 239.5331565],0
n5,1,0.053715,3.721536,[31 14] ; [268  62],[35.88  9.12] ; [263.12  66.88],0
a4,1,0.074736,3.175814,[16 29] ; [165 167],[21.60477454 23.39522546] ; [159.39522546 172.60477454],0
p1,1,0.083934,2.98703,[ 8 37] ; [ 31 299],[ 4.68 40.32] ; [ 34.32 295.68],0
d5,1,0.09498,2.787882,[35 10] ; [288  43],[38.65691489  6.34308511] ; [284.34308511  46.65691489],0
s6,1,0.096101,2.769078,[33 10] ; [284  45],[36.64247312  6.35752688] ; [280.35752688  48.64247312],0
u3,1,0.096396,2.764182,[8 7] ; [48 16],[10.63291139  4.36708861] ; [45.36708861 18.63291139],0
d2,1,0.106273,2.608785,[21 24] ; [197 135],[26.02122016 18.97877984] ; [191.97877984 140.02122016],0
v1,1,0.143616,2.138778,[23 21] ; [205 117],[27.40983607 16.59016393] ; [200.59016393 121.40983607],0
a8,1,0.146738,2.105835,[ 4 38] ; [ 56 245],[ 7.34693878 34.65306122] ; [ 52.65306122 248.34693878],0
a6,1,0.147292,2.10007,[26 19] ; [227 104],[30.27925532 14.72074468] ; [222.72074468 108.27925532],0
v4,1,0.170599,1.877673,[43  2] ; [327   5],[44.16445623  0.83554377] ; [325.83554377   6.16445623],0
r2,1,0.173206,1.854972,[43  2] ; [325   5],[44.16  0.84] ; [323.84   6.16],0
p2,1,0.19923,1.648013,[35 10] ; [282  49],[37.93882979  7.06117021] ; [279.06117021  51.93882979],0
p6,1,0.200266,1.640434,[24 19] ; [150 180],[20.05898123 22.94101877] ; [153.94101877 176.05898123],0
s1,1,0.256839,1.285717,[ 3 41] ; [ 11 317],[ 1.65591398 42.34408602] ; [ 12.34408602 315.65591398],0
v2,1,0.273355,1.199835,[22 19] ; [200 120],[25.2132964 15.7867036] ; [196.7867036 123.2132964],0
s7,1,0.281093,1.161798,[30 13] ; [244  72],[32.8189415 10.1810585] ; [241.1810585  74.8189415],0
