Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.000183,13.99773,[10  2] ; [ 6 23],[4.68292683 7.31707317] ; [11.31707317 17.68292683],1
r3,1,0.005741,7.629898,[10  3] ; [ 9 20],[5.88095238 7.11904762] ; [13.11904762 15.88095238],0
v2,1,0.007805,7.077722,[7 6] ; [ 4 24],[3.48780488 9.51219512] ; [ 7.51219512 20.48780488],0
s7,1,0.015577,5.85,[6 7] ; [ 3 23],[ 3. 10.] ; [ 6. 20.],0
n3,1,0.028887,4.774306,[5 1] ; [ 5 11],[2.72727273 3.27272727] ; [7.27272727 8.72727273],0
b4,1,0.042436,4.117731,[11  2] ; [15 14],[8.04761905 4.95238095] ; [17.95238095 11.04761905],0
u3,1,0.042522,4.114286,[2 2] ; [ 1 13],[0.66666667 3.33333333] ; [ 2.33333333 11.66666667],0
s8,1,0.045136,4.013542,[ 3 10] ; [ 1 28],[ 1.23809524 11.76190476] ; [ 2.76190476 26.23809524],0
p10,1,0.081804,3.028694,[5 8] ; [ 4 24],[ 2.85365854 10.14634146] ; [ 6.14634146 21.85365854],0
d4,1,0.098514,2.729443,[11  2] ; [17 12],[8.66666667 4.33333333] ; [19.33333333  9.66666667],0
b5,1,0.101423,2.683024,[8 5] ; [10 19],[5.57142857 7.42857143] ; [12.42857143 16.57142857],0
d1,1,0.101423,2.683024,[8 5] ; [10 19],[5.57142857 7.42857143] ; [12.42857143 16.57142857],0
b3,1,0.113846,2.5,[2 8] ; [10 10],[4. 6.] ; [ 8. 12.],0
b2,1,0.113846,2.5,[2 8] ; [10 10],[4. 6.] ; [ 8. 12.],0
d5,1,0.207178,1.591038,[9 4] ; [14 15],[7.11904762 5.88095238] ; [15.88095238 13.11904762],0
d2,1,0.248246,1.333148,[9 4] ; [14 14],[7.29268293 5.70731707] ; [15.70731707 12.29268293],0
a8,1,0.275667,1.188329,[ 3 10] ; [ 3 26],[ 1.85714286 11.14285714] ; [ 4.14285714 24.85714286],0
s2,1,0.296078,1.091777,[ 1 12] ; [ 6 23],[ 2.16666667 10.83333333] ; [ 4.83333333 24.16666667],0
b1,1,0.31667,1.002653,[5 8] ; [16 13],[6.5 6.5] ; [14.5 14.5],0
a3,1,0.343599,0.896958,[9 4] ; [15 13],[7.6097561 5.3902439] ; [16.3902439 11.6097561],0
s3,1,0.418408,0.654782,[ 3 10] ; [10 18],[4.12195122 8.87804878] ; [ 8.87804878 19.12195122],0
r4,1,0.45546,0.557029,[ 3 10] ; [ 4 25],[ 2.16666667 10.83333333] ; [ 4.83333333 24.16666667],0
d3,1,0.471497,0.518466,[6 7] ; [10 19],[4.95238095 8.04761905] ; [11.04761905 17.95238095],0
s6,1,0.478308,0.502719,[4 9] ; [ 6 23],[3.0952381 9.9047619] ; [ 6.9047619 22.0952381],0
n2,1,0.55409,0.350041,[4 3] ; [7 9],[3.34782609 3.65217391] ; [7.65217391 8.34782609],0
a7,1,0.554678,0.349004,[5 8] ; [14 15],[5.88095238 7.11904762] ; [13.11904762 15.88095238],0
v1,1,0.56842,0.325333,[3 9] ; [ 5 24],[2.34146341 9.65853659] ; [ 5.65853659 23.34146341],0
a5,1,0.5885,0.292694,[6 7] ; [16 13],[6.80952381 6.19047619] ; [15.19047619 13.80952381],0
p9,1,0.588571,0.292581,[4 8] ; [ 7 21],[3.3 8.7] ; [ 7.7 20.3],0
r2,1,0.590438,0.289661,[6 6] ; [16 11],[6.76923077 5.23076923] ; [15.23076923 11.76923077],0
n4,1,0.636906,0.222812,[8 5] ; [20  9],[8.66666667 4.33333333] ; [19.33333333  9.66666667],0
s5,1,0.641034,0.217392,[ 2 11] ; [ 3 26],[ 1.54761905 11.45238095] ; [ 3.45238095 25.54761905],0
p3,1,0.685653,0.163832,[ 2 11] ; [ 6 23],[ 2.47619048 10.52380952] ; [ 5.52380952 23.47619048],0
p1,1,0.685653,0.163832,[ 2 11] ; [ 6 23],[ 2.47619048 10.52380952] ; [ 5.52380952 23.47619048],0
a4,1,0.691345,0.157633,[5 8] ; [ 9 19],[4.43902439 8.56097561] ; [ 9.56097561 18.43902439],0
