Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,4e-06,21.519446,[ 2 61] ; [44 88],[14.86153846 48.13846154] ; [ 31.13846154 100.86153846],1
p3,1,1.9e-05,18.312665,[31 32] ; [104  27],[43.84020619 19.15979381] ; [91.15979381 39.84020619],1
p7,1,5.3e-05,16.339982,[42 19] ; [120  11],[51.46875  9.53125] ; [110.53125  20.46875],1
p4,1,0.000122,14.755139,[42 21] ; [117  14],[51.63402062 11.36597938] ; [107.36597938  23.63402062],1
n5,1,0.000273,13.246167,[43 19] ; [119  13],[51.77319588 10.22680412] ; [110.22680412  21.77319588],1
p11,1,0.001003,10.821379,[41 22] ; [113  19],[49.75384615 13.24615385] ; [104.24615385  27.75384615],0
u1,1,0.002247,9.335768,[26 37] ; [ 27 105],[17.12307692 45.87692308] ; [35.87692308 96.12307692],0
a2,1,0.002571,9.089018,[27 36] ; [ 29 103],[18.09230769 44.90769231] ; [37.90769231 94.09230769],0
b5,1,0.003234,8.670431,[46 17] ; [67 65],[36.50769231 26.49230769] ; [76.49230769 55.50769231],0
p12,1,0.006123,7.513759,[ 3 60] ; [ 26 106],[ 9.36923077 53.63076923] ; [ 19.63076923 112.36923077],0
d2,1,0.009831,6.665266,[45 18] ; [68 63],[36.69587629 26.30412371] ; [76.30412371 54.69587629],0
n2,1,0.015941,5.809375,[11  9] ; [21  3],[14.54545455  5.45454545] ; [17.45454545  6.54545455],0
a4,1,0.017834,5.612354,[41 22] ; [62 70],[33.27692308 29.72307692] ; [69.72307692 62.27692308],0
a6,1,0.026731,4.908119,[48 15] ; [78 52],[41.12953368 21.87046632] ; [84.87046632 45.12953368],0
r1,1,0.042953,4.097256,[47 16] ; [114  18],[52.01538462 10.98461538] ; [108.98461538  23.01538462],0
p1,1,0.044331,4.0439,[ 5 58] ; [ 25 106],[ 9.74226804 53.25773196] ; [ 20.25773196 110.74226804],0
p2,1,0.059573,3.549236,[52 11] ; [121  11],[55.89230769  7.10769231] ; [117.10769231  14.89230769],0
v1,1,0.077126,3.124456,[34 28] ; [89 42],[39.51295337 22.48704663] ; [83.48704663 47.51295337],0
a8,1,0.07838,3.098188,[ 5 50] ; [24 98],[ 9.01129944 45.98870056] ; [ 19.98870056 102.01129944],0
d5,1,0.124053,2.365387,[56  7] ; [104  26],[52.22797927 10.77202073] ; [107.77202073  22.22797927],0
u2,1,0.17226,1.863163,[9 1] ; [19  9],[7.36842105 2.63157895] ; [20.63157895  7.36842105],0
v4,1,0.179787,1.799385,[60  3] ; [130   2],[61.38461538  1.61538462] ; [128.61538462   3.38461538],0
v3,1,0.191965,1.702471,[25 37] ; [65 64],[29.21465969 32.78534031] ; [60.78534031 68.21465969],0
n3,1,0.205201,1.604963,[16  4] ; [15  9],[14.09090909  5.90909091] ; [16.90909091  7.09090909],0
s4,1,0.222649,1.487212,[12 50] ; [36 95],[15.41968912 46.58031088] ; [32.58031088 98.41968912],0
a1,1,0.226141,1.464967,[ 3 60] ; [ 13 119],[ 5.16923077 57.83076923] ; [ 10.83076923 121.16923077],0
s8,1,0.281181,1.161374,[43 20] ; [99 32],[46.11340206 16.88659794] ; [95.88659794 35.11340206],0
u3,1,0.317916,0.9975,[9 1] ; [21  7],[7.89473684 2.10526316] ; [22.10526316  5.89473684],0
a5,1,0.319569,0.990711,[53 10] ; [103  29],[50.4 12.6] ; [105.6  26.4],0
n6,1,0.322454,0.978968,[56  7] ; [121   9],[57.77720207  5.22279793] ; [119.22279793  10.77720207],0
s3,1,0.360315,0.836794,[43 19] ; [99 32],[45.61658031 16.38341969] ; [96.38341969 34.61658031],0
v2,1,0.377593,0.778525,[41 22] ; [76 54],[38.19170984 24.80829016] ; [78.80829016 51.19170984],0
s5,1,0.456383,0.55475,[29 28] ; [71 54],[31.31868132 25.68131868] ; [68.68131868 56.31868132],0
d3,1,0.461328,0.54267,[45 18] ; [100  31],[47.08762887 15.91237113] ; [97.91237113 33.08762887],0
a3,1,0.490091,0.476326,[53 10] ; [104  26],[51.24870466 11.75129534] ; [105.75129534  24.24870466],0
a7,1,0.491949,0.47226,[46 17] ; [90 42],[43.93846154 19.06153846] ; [92.06153846 39.93846154],0
r4,1,0.507284,0.439665,[57  6] ; [123   9],[58.15384615  4.84615385] ; [121.84615385  10.15384615],0
b2,1,0.512536,0.428886,[27 24] ; [42 47],[25.13571429 25.86428571] ; [43.86428571 45.13571429],0
b3,1,0.512536,0.428886,[27 24] ; [42 47],[25.13571429 25.86428571] ; [43.86428571 45.13571429],0
s2,1,0.51326,0.427414,[47 16] ; [104  28],[48.78461538 14.21538462] ; [102.21538462  29.78461538],0
r2,1,0.556358,0.346049,[61  1] ; [127   4],[60.39378238  1.60621762] ; [127.60621762   3.39378238],0
b1,1,0.634724,0.225709,[24 39] ; [55 77],[25.52307692 37.47692308] ; [53.47692308 78.52307692],0
d1,1,0.745304,0.105519,[43 20] ; [87 45],[42. 21.] ; [88. 44.],0
s1,1,0.767135,0.08769,[ 4 59] ; [  7 125],[ 3.55384615 59.44615385] ; [  7.44615385 124.55384615],0
p9,1,0.77725,0.080035,[58  5] ; [123   9],[58.47692308  4.52307692] ; [122.52307692   9.47692308],0
s6,1,0.782475,0.076228,[51 11] ; [109  21],[51.66666667 10.33333333] ; [108.33333333  21.66666667],0
b4,1,0.902284,0.015074,[34 29] ; [70 62],[33.6 29.4] ; [70.4 61.6],0
d4,1,0.934211,0.006814,[54  9] ; [112  18],[54.1865285  8.8134715] ; [111.8134715  18.1865285],0
r3,1,0.946289,0.004538,[60  3] ; [126   6],[60.09230769  2.90769231] ; [125.90769231   6.09230769],0
n1,1,0.955918,0.003056,[11  9] ; [13 11],[10.90909091  9.09090909] ; [13.09090909 10.90909091],0
n4,1,0.971893,0.001241,[55  8] ; [115  17],[54.92307692  8.07692308] ; [115.07692308  16.92307692],0
p10,1,0.971893,0.001241,[55  8] ; [115  17],[54.92307692  8.07692308] ; [115.07692308  16.92307692],0
