Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.5e-05,17.778715,[118  38] ; [18 25],[106.61306533  49.38693467] ; [29.38693467 13.61306533],1
v1,1,0.000591,11.804084,[124  32] ; [23 20],[115.2361809  40.7638191] ; [31.7638191 11.2361809],1
p6,1,0.000783,11.281444,[89 65] ; [12 30],[79.35714286 74.64285714] ; [21.64285714 20.35714286],1
n5,1,0.001576,9.987637,[136  19] ; [29 14],[129.16666667  25.83333333] ; [35.83333333  7.16666667],0
p5,1,0.001942,9.603879,[ 47 109] ; [ 3 40],[ 39.1959799 116.8040201] ; [10.8040201 32.1959799],0
p7,1,0.010015,6.632305,[136  19] ; [30 12],[130.60913706  24.39086294] ; [35.39086294  6.60913706],0
r1,1,0.014964,5.92074,[138  17] ; [32 11],[133.08080808  21.91919192] ; [36.91919192  6.08080808],0
p2,1,0.024829,5.035785,[147   9] ; [36  7],[143.45728643  12.54271357] ; [39.54271357  3.45728643],0
p12,1,0.025645,4.979804,[ 29 127] ; [ 2 41],[ 24.30150754 131.69849246] ; [ 6.69849246 36.30150754],0
d5,1,0.037726,4.317349,[130  25] ; [30 13],[125.25252525  29.74747475] ; [34.74747475  8.25252525],0
n2,1,0.05006,3.839462,[20  1] ; [7 3],[18.29032258  2.70967742] ; [8.70967742 1.29032258],0
d1,1,0.082993,3.0053,[109  47] ; [24 19],[104.26130653  51.73869347] ; [28.73869347 14.26130653],0
s1,1,0.086192,2.944088,[  3 153] ; [ 3 40],[  4.70351759 151.29648241] ; [ 1.29648241 41.70351759],0
n1,1,0.090969,2.857143,[ 9 12] ; [1 8],[ 7. 14.] ; [3. 6.],0
d4,1,0.093895,2.806291,[135  20] ; [33 10],[131.51515152  23.48484848] ; [36.48484848  6.51515152],0
a1,1,0.119586,2.422739,[ 15 141] ; [ 1 42],[ 12.54271357 143.45728643] ; [ 3.45728643 39.54271357],0
s7,1,0.120563,2.409995,[93 51] ; [21 20],[88.73513514 55.26486486] ; [25.26486486 15.73513514],0
d2,1,0.150248,2.069734,[81 75] ; [17 26],[76.8241206 79.1758794] ; [21.1758794 21.8241206],0
s5,1,0.157234,2.000626,[74 77] ; [15 26],[69.99479167 81.00520833] ; [19.00520833 21.99479167],0
n4,1,0.182053,1.780783,[136  20] ; [34  9],[133.26633166  22.73366834] ; [36.73366834  6.26633166],0
s3,1,0.207455,1.589097,[100  53] ; [23 19],[96.50769231 56.49230769] ; [26.49230769 15.50769231],0
a3,1,0.262266,1.256755,[120  35] ; [29 13],[117.23350254  37.76649746] ; [31.76649746 10.23350254],0
b5,1,0.285249,1.141912,[80 76] ; [26 17],[83.09547739 72.90452261] ; [22.90452261 20.09547739],0
v2,1,0.295471,1.094523,[128  25] ; [33 10],[125.67857143  27.32142857] ; [35.32142857  7.67857143],0
p9,1,0.297917,1.083496,[140  15] ; [41  2],[141.69191919  13.30808081] ; [39.30808081  3.69191919],0
s8,1,0.307253,1.042449,[91 61] ; [22 21],[88.08205128 63.91794872] ; [24.91794872 18.08205128],0
a2,1,0.339623,0.911855,[ 40 116] ; [ 8 35],[ 37.6281407 118.3718593] ; [10.3718593 32.6281407],0
u1,1,0.369356,0.80583,[ 27 129] ; [ 5 38],[ 25.08542714 130.91457286] ; [ 6.91457286 36.08542714],0
r4,1,0.381746,0.765072,[150   6] ; [40  3],[148.94472362   7.05527638] ; [41.05527638  1.94472362],0
p11,1,0.397384,0.716228,[135  21] ; [35  8],[133.26633166  22.73366834] ; [36.73366834  6.26633166],0
r2,1,0.425628,0.634722,[146   8] ; [42  1],[146.96446701   7.03553299] ; [41.03553299  1.96446701],0
s6,1,0.458664,0.549153,[107  42] ; [27 14],[105.08421053  43.91578947] ; [28.91578947 12.08421053],0
u3,1,0.469706,0.522667,[19 16] ; [6 8],[17.85714286 17.14285714] ; [7.14285714 6.85714286],0
u2,1,0.474769,0.510856,[22 14] ; [7 7],[20.88 15.12] ; [8.12 5.88],0
b1,1,0.478215,0.502931,[60 96] ; [14 29],[58.01005025 97.98994975] ; [15.98994975 27.01005025],0
s2,1,0.481824,0.494732,[91 62] ; [23 20],[88.98979592 64.01020408] ; [25.01020408 17.98979592],0
a7,1,0.556619,0.345592,[112  43] ; [33 10],[113.51010101  41.48989899] ; [31.48989899 11.51010101],0
a5,1,0.559806,0.34004,[126  30] ; [33 10],[124.64321608  31.35678392] ; [34.35678392  8.64321608],0
