Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.002907,8.86511,[15 21] ; [20  5],[20.6557377 15.3442623] ; [14.3442623 10.6557377],0
v4,1,0.014246,6.007346,[16 20] ; [19  6],[20.6557377 15.3442623] ; [14.3442623 10.6557377],0
s8,1,0.01506,5.909411,[ 2 34] ; [ 7 18],[ 5.31147541 30.68852459] ; [ 3.68852459 21.31147541],0
n6,1,0.040132,4.212299,[13 22] ; [16  9],[16.91666667 18.08333333] ; [12.08333333 12.91666667],0
n2,1,0.044171,4.05,[ 5 11] ; [13  7],[8. 8.] ; [10. 10.],0
b3,1,0.049793,3.84843,[13 11] ; [ 4 13],[ 9.95121951 14.04878049] ; [7.04878049 9.95121951],0
b2,1,0.049793,3.84843,[13 11] ; [ 4 13],[ 9.95121951 14.04878049] ; [7.04878049 9.95121951],0
p10,1,0.057002,3.622531,[11 24] ; [14 11],[14.58333333 20.41666667] ; [10.41666667 14.58333333],0
s7,1,0.060822,3.514833,[ 5 29] ; [ 8 14],[ 7.89285714 26.10714286] ; [ 5.10714286 16.89285714],0
a3,1,0.068208,3.325621,[18 18] ; [17  6],[21.3559322 14.6440678] ; [13.6440678  9.3559322],0
p8,1,0.082617,3.012654,[ 8 27] ; [11 14],[11.08333333 23.91666667] ; [ 7.91666667 17.08333333],0
s6,1,0.089359,2.885878,[ 5 31] ; [ 8 17],[ 7.67213115 28.32786885] ; [ 5.32786885 19.67213115],0
d3,1,0.104426,2.636614,[14 22] ; [15 10],[17.1147541 18.8852459] ; [11.8852459 13.1147541],0
d4,1,0.132551,2.262375,[16 20] ; [16  9],[18.8852459 17.1147541] ; [13.1147541 11.8852459],0
p1,1,0.202136,1.626872,[ 5 31] ; [ 1 24],[ 3.54098361 32.45901639] ; [ 2.45901639 22.54098361],0
d1,1,0.213441,1.547932,[ 9 27] ; [10 15],[11.21311475 24.78688525] ; [ 7.78688525 17.21311475],0
a7,1,0.217156,1.523063,[13 23] ; [13 12],[15.3442623 20.6557377] ; [10.6557377 14.3442623],0
n1,1,0.295971,1.09226,[ 6 10] ; [11  9],[7.55555556 8.44444444] ; [ 9.44444444 10.55555556],0
