Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,90.370428,[158   3] ; [33 38],[132.54741379  28.45258621] ; [58.45258621 12.54741379],1
d3,1,0.0,71.391931,[144  18] ; [25 46],[117.50214592  44.49785408] ; [51.49785408 19.50214592],1
d4,1,0.0,60.959546,[159   2] ; [44 27],[140.875  20.125] ; [62.125  8.875],1
d2,1,0.0,56.997406,[112  50] ; [11 60],[85.5193133 76.4806867] ; [37.4806867 33.5193133],1
a5,1,1e-06,24.14274,[142  20] ; [42 29],[127.93133047  34.06866953] ; [56.06866953 14.93133047],1
a4,1,0.000528,12.013454,[83 79] ; [19 52],[70.91845494 91.08154506] ; [31.08154506 39.91845494],1
a2,1,0.000764,11.326285,[ 46 116] ; [ 6 65],[ 36.15450644 125.84549356] ; [15.84549356 55.15450644],1
p4,1,0.005313,7.769764,[134  28] ; [47 24],[125.84549356  36.15450644] ; [55.15450644 15.84549356],0
a3,1,0.007648,7.114187,[134  27] ; [48 23],[126.30172414  34.69827586] ; [55.69827586 15.30172414],0
u1,1,0.00916,6.791356,[ 37 125] ; [ 6 65],[ 29.89699571 132.10300429] ; [13.10300429 57.89699571],0
p3,1,0.009778,6.674906,[119  43] ; [40 31],[110.54935622  51.45064378] ; [48.45064378 22.54935622],0
r4,1,0.010211,6.597725,[156   6] ; [62  9],[151.57081545  10.42918455] ; [66.42918455  4.57081545],0
r2,1,0.013054,6.161722,[156   4] ; [62  7],[152.31441048   7.68558952] ; [65.68558952  3.31441048],0
a7,1,0.024481,5.060196,[119  43] ; [41 29],[111.72413793  50.27586207] ; [48.27586207 21.72413793],0
n4,1,0.028285,4.810637,[140  22] ; [53 18],[134.1888412  27.8111588] ; [58.8111588 12.1888412],0
v4,1,0.043716,4.067496,[158   3] ; [65  5],[155.42424242   5.57575758] ; [67.57575758  2.42424242],0
s7,1,0.043953,4.058365,[113  42] ; [58 10],[118.85650224  36.14349776] ; [52.14349776 15.85650224],0
r1,1,0.045625,3.995376,[143  18] ; [56 15],[138.09913793  22.90086207] ; [60.90086207 10.09913793],0
a1,1,0.050454,3.826306,[ 13 149] ; [ 1 70],[  9.73390558 152.26609442] ; [ 4.26609442 66.73390558],0
u4,1,0.15053,2.066876,[  9 153] ; [ 1 70],[  6.9527897 155.0472103] ; [ 3.0472103 67.9527897],0
n3,1,0.156149,2.01113,[17 12] ; [12  3],[19.11363636  9.88636364] ; [9.88636364 5.11363636],0
s6,1,0.163289,1.943498,[129  30] ; [62  8],[132.61572052  26.38427948] ; [58.38427948 11.61572052],0
v1,1,0.165565,1.922645,[109  50] ; [42 29],[104.38695652  54.61304348] ; [46.61304348 24.38695652],0
s2,1,0.166096,1.917832,[118  42] ; [46 25],[113.59307359  46.40692641] ; [50.40692641 20.59307359],0
v3,1,0.177763,1.816231,[83 75] ; [30 40],[78.30701754 79.69298246] ; [34.69298246 35.30701754],0
s5,1,0.178939,1.806418,[80 75] ; [28 39],[75.40540541 79.59459459] ; [32.59459459 34.40540541],0
r3,1,0.222043,1.491121,[158   4] ; [67  4],[156.43776824   5.56223176] ; [68.56223176  2.43776824],0
b4,1,0.225153,1.471219,[96 66] ; [36 35],[91.77682403 70.22317597] ; [40.22317597 30.77682403],0
s4,1,0.271473,1.209287,[ 35 126] ; [11 60],[ 31.92241379 129.07758621] ; [14.07758621 56.92241379],0
n6,1,0.287745,1.130145,[145  15] ; [61 10],[142.68398268  17.31601732] ; [63.31601732  7.68398268],0
p11,1,0.321942,0.981039,[141  21] ; [65  6],[143.22746781  18.77253219] ; [62.77253219  8.22746781],0
a6,1,0.328981,0.952905,[106  55] ; [42 29],[102.70689655  58.29310345] ; [45.29310345 25.70689655],0
a8,1,0.354062,0.858844,[ 24 126] ; [14 52],[ 26.38888889 123.61111111] ; [11.61111111 54.38888889],0
u3,1,0.404771,0.694107,[19  9] ; [13 10],[17.56862745 10.43137255] ; [14.43137255  8.56862745],0
p1,1,0.440293,0.59552,[ 17 144] ; [10 61],[ 18.73706897 142.26293103] ; [ 8.26293103 62.73706897],0
p7,1,0.440461,0.59508,[133  24] ; [62  8],[134.86784141  22.13215859] ; [60.13215859  9.86784141],0
p12,1,0.45881,0.548795,[ 24 137] ; [ 8 63],[ 22.20689655 138.79310345] ; [ 9.79310345 61.20689655],0
p6,1,0.528709,0.396871,[94 66] ; [38 32],[91.82608696 68.17391304] ; [40.17391304 29.82608696],0
s3,1,0.568866,0.324584,[122  37] ; [52 19],[120.28695652  38.71304348] ; [53.71304348 17.28695652],0
u2,1,0.572014,0.319325,[18 10] ; [13 10],[17.01960784 10.98039216] ; [13.98039216  9.01960784],0
n5,1,0.607961,0.263155,[138  23] ; [59 12],[136.7112069  24.2887931] ; [60.2887931 10.7112069],0
p9,1,0.614222,0.254072,[149  12] ; [67  4],[149.89655172  11.10344828] ; [66.10344828  4.89655172],0
n2,1,0.756206,0.096389,[22  7] ; [12  3],[22.40909091  6.59090909] ; [11.59090909  3.40909091],0
b1,1,0.76071,0.09275,[65 97] ; [30 41],[66.05150215 95.94849785] ; [28.94849785 42.05150215],0
b5,1,0.785267,0.074236,[83 79] ; [35 36],[82.04291845 79.95708155] ; [35.95708155 35.04291845],0
v2,1,0.803053,0.062199,[96 64] ; [42 26],[96.84210526 63.15789474] ; [41.15789474 26.84210526],0
p5,1,0.854128,0.033802,[ 37 125] ; [17 54],[ 37.54506438 124.45493562] ; [16.45493562 54.54506438],0
p2,1,0.87338,0.025398,[152  10] ; [67  4],[152.26609442   9.73390558] ; [66.73390558  4.26609442],0
n1,1,0.907548,0.013487,[13 16] ; [7 8],[13.18181818 15.81818182] ; [6.81818182 8.18181818],0
s1,1,0.966235,0.001792,[  7 154] ; [ 3 68],[  6.93965517 154.06034483] ; [ 3.06034483 67.93965517],0
p10,1,0.98844,0.00021,[145  16] ; [63  7],[144.96969697  16.03030303] ; [63.03030303  6.96969697],0
b2,1,1.0,0.0,[50 60] ; [20 24],[50. 60.] ; [20. 24.],0
b3,1,1.0,0.0,[50 60] ; [20 24],[50. 60.] ; [20. 24.],0
