Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.6e-05,18.593966,[111  25] ; [25 25],[99.44086022 36.55913978] ; [36.55913978 13.44086022],1
s7,1,2e-05,18.194143,[64 64] ; [ 7 41],[51.63636364 76.36363636] ; [19.36363636 28.63636364],1
d1,1,0.000618,11.721749,[61 75] ; [ 9 42],[50.90909091 85.09090909] ; [19.09090909 31.90909091],1
n6,1,0.000894,11.034971,[107  28] ; [28 23],[97.98387097 37.01612903] ; [37.01612903 13.98387097],1
p10,1,0.001411,10.191573,[93 39] ; [23 28],[83.67213115 48.32786885] ; [32.32786885 18.67213115],0
d5,1,0.00158,9.983308,[93 43] ; [22 29],[83.63636364 52.36363636] ; [31.36363636 19.63636364],0
s6,1,0.001587,9.9753,[72 63] ; [14 37],[62.41935484 72.58064516] ; [23.58064516 27.41935484],0
p3,1,0.002113,9.448656,[56 78] ; [ 9 42],[47.08108108 86.91891892] ; [17.91891892 33.08108108],0
v3,1,0.003021,8.79459,[54 76] ; [ 9 41],[45.5 84.5] ; [17.5 32.5],0
s8,1,0.004613,8.025223,[57 79] ; [10 41],[48.72727273 87.27272727] ; [18.27272727 32.72727273],0
p9,1,0.005578,7.681741,[100  33] ; [27 23],[92.30054645 40.69945355] ; [34.69945355 15.30054645],0
a5,1,0.015045,5.911174,[88 48] ; [23 28],[80.72727273 55.27272727] ; [30.27272727 20.72727273],0
p2,1,0.015419,5.867912,[97 35] ; [28 23],[90.16393443 41.83606557] ; [34.83606557 16.16393443],0
p6,1,0.025778,4.970855,[36 94] ; [ 6 44],[30.33333333 99.66666667] ; [11.66666667 38.33333333],0
d2,1,0.033382,4.526094,[63 72] ; [15 36],[56.61290323 78.38709677] ; [21.38709677 29.61290323],0
u3,1,0.037309,4.336232,[12 33] ; [12 11],[15.88235294 29.11764706] ; [ 8.11764706 14.88235294],0
d4,1,0.039078,4.25748,[93 43] ; [26 24],[87.01075269 48.98924731] ; [31.98924731 18.01075269],0
n1,1,0.062173,3.478462,[20 23] ; [ 5 17],[16.53846154 26.46153846] ; [ 8.46153846 13.53846154],0
n2,1,0.070867,3.26282,[24 19] ; [18  5],[27.36363636 15.63636364] ; [14.63636364  8.36363636],0
a4,1,0.074403,3.183117,[53 81] ; [13 38],[47.80540541 86.19459459] ; [18.19459459 32.80540541],0
s3,1,0.080685,3.051049,[66 67] ; [18 33],[60.7173913 72.2826087] ; [23.2826087 27.7173913],0
v2,1,0.099475,2.713948,[58 71] ; [15 33],[53.20338983 75.79661017] ; [19.79661017 28.20338983],0
p8,1,0.105309,2.623245,[56 76] ; [15 36],[51.21311475 80.78688525] ; [19.78688525 31.21311475],0
r1,1,0.105697,2.617411,[87 49] ; [26 25],[82.18181818 53.81818182] ; [30.81818182 20.18181818],0
a3,1,0.128388,2.311887,[91 45] ; [28 23],[86.54545455 49.45454545] ; [32.45454545 18.54545455],0
r3,1,0.145873,2.114881,[114  22] ; [38 13],[110.54545455  25.45454545] ; [41.45454545  9.54545455],0
b3,1,0.154323,2.028988,[41 56] ; [ 7 19],[37.85365854 59.14634146] ; [10.14634146 15.85365854],0
b2,1,0.154323,2.028988,[41 56] ; [ 7 19],[37.85365854 59.14634146] ; [10.14634146 15.85365854],0
r2,1,0.188502,1.729286,[111  20] ; [39 12],[107.96703297  23.03296703] ; [42.03296703  8.96703297],0
