Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.960957,[86 21] ; [ 7 17],[75.96183206 31.03816794] ; [17.03816794  6.96183206],1
s3,1,3.5e-05,17.126621,[88 19] ; [10 14],[80.04580153 26.95419847] ; [17.95419847  6.04580153],1
s8,1,0.000107,15.000639,[86 21] ; [10 14],[78.41221374 28.58778626] ; [17.58778626  6.41221374],1
v4,1,0.000286,13.158514,[102   4] ; [17  6],[97.78294574  8.21705426] ; [21.21705426  1.78294574],1
s5,1,0.000398,12.54344,[54 49] ; [ 3 21],[46.22834646 56.77165354] ; [10.77165354 13.22834646],1
r4,1,0.000592,11.799486,[94 13] ; [14 10],[88.21374046 18.78625954] ; [19.78625954  4.21374046],1
p6,1,0.00664,7.36797,[54 51] ; [ 5 19],[48.02325581 56.97674419] ; [10.97674419 13.02325581],0
r2,1,0.0079,7.055897,[100   5] ; [19  5],[96.86046512  8.13953488] ; [22.13953488  1.86046512],0
p7,1,0.009046,6.813796,[77 28] ; [11 13],[71.62790698 33.37209302] ; [16.37209302  7.62790698],0
p3,1,0.014918,5.926145,[69 38] ; [ 9 15],[63.70992366 43.29007634] ; [14.29007634  9.70992366],0
p9,1,0.016104,5.791506,[95 11] ; [17  7],[91.32307692 14.67692308] ; [20.67692308  3.32307692],0
v3,1,0.033565,4.516711,[53 52] ; [ 6 17],[48.3984375 56.6015625] ; [10.6015625 12.3984375],0
p8,1,0.038576,4.279435,[59 45] ; [ 8 16],[54.4375 49.5625] ; [12.5625 11.4375],0
r3,1,0.040019,4.217098,[104   3] ; [21  3],[102.09923664   4.90076336] ; [22.90076336  1.09923664],0
p4,1,0.060412,3.526043,[71 36] ; [11 13],[66.97709924 40.02290076] ; [15.02290076  8.97709924],0
p5,1,0.102951,2.659228,[19 87] ; [ 1 22],[16.43410853 89.56589147] ; [ 3.56589147 19.43410853],0
b4,1,0.128663,2.308558,[54 53] ; [ 8 16],[50.64122137 56.35877863] ; [11.35877863 12.64122137],0
u2,1,0.132791,2.25957,[13  4] ; [1 2],[11.9  5.1] ; [2.1 0.9],0
n4,1,0.159151,1.982279,[95 11] ; [19  5],[92.95384615 13.04615385] ; [21.04615385  2.95384615],0
b2,1,0.169215,1.889883,[39 41] ; [12  6],[41.63265306 38.36734694] ; [9.36734694 8.63265306],0
b3,1,0.169215,1.889883,[39 41] ; [12  6],[41.63265306 38.36734694] ; [9.36734694 8.63265306],0
p2,1,0.171387,1.87077,[88 18] ; [17  7],[85.61538462 20.38461538] ; [19.38461538  4.61538462],0
r1,1,0.178357,1.811262,[85 22] ; [16  8],[82.49618321 24.50381679] ; [18.50381679  5.49618321],0
n5,1,0.192211,1.700586,[91 15] ; [18  6],[88.87692308 17.12307692] ; [20.12307692  3.87692308],0
v1,1,0.233173,1.421399,[61 42] ; [11 13],[58.39370079 44.60629921] ; [13.60629921 10.39370079],0
b1,1,0.266508,1.234635,[58 49] ; [10 14],[55.54198473 51.45801527] ; [12.45801527 11.54198473],0
d1,1,0.266508,1.234635,[58 49] ; [10 14],[55.54198473 51.45801527] ; [12.45801527 11.54198473],0
s4,1,0.277137,1.181077,[29 77] ; [ 4 20],[26.90769231 79.09230769] ; [ 6.09230769 17.90769231],0
p1,1,0.291461,1.112858,[12 94] ; [ 1 23],[10.6 95.4] ; [ 2.4 21.6],0
n6,1,0.295298,1.095308,[92 14] ; [18  5],[90.3875969 15.6124031] ; [19.6124031  3.3875969],0
u3,1,0.306488,1.045752,[11  6] ; [1 2],[10.2  6.8] ; [1.8 1.2],0
b5,1,0.411484,0.67451,[50 57] ; [ 9 15],[48.19083969 58.80916031] ; [10.80916031 13.19083969],0
n2,1,0.435739,0.607478,[23  6] ; [6 3],[22.13157895  6.86842105] ; [6.86842105 2.13157895],0
v2,1,0.436356,0.605847,[52 51] ; [10 14],[50.28346457 52.71653543] ; [11.71653543 12.28346457],0
a6,1,0.448176,0.57526,[40 67] ; [ 7 17],[38.38931298 68.61068702] ; [ 8.61068702 15.38931298],0
d5,1,0.497668,0.459906,[86 20] ; [18  6],[84.8 21.2] ; [19.2  4.8],0
u1,1,0.530285,0.393846,[ 9 98] ; [ 3 21],[ 9.80152672 97.19847328] ; [ 2.19847328 21.80152672],0
d3,1,0.538777,0.377812,[52 55] ; [10 14],[50.64122137 56.35877863] ; [11.35877863 12.64122137],0
a2,1,0.595677,0.281565,[13 94] ; [ 2 22],[12.2519084 94.7480916] ; [ 2.7480916 21.2519084],0
a4,1,0.621933,0.243159,[52 55] ; [13 11],[53.09160305 53.90839695] ; [11.90839695 12.09160305],0
d4,1,0.65119,0.204403,[84 22] ; [20  4],[84.8 21.2] ; [19.2  4.8],0
p10,1,0.65519,0.199419,[88 18] ; [19  5],[87.24615385 18.75384615] ; [19.75384615  4.24615385],0
a3,1,0.676647,0.173925,[90 17] ; [21  3],[90.66412214 16.33587786] ; [20.33587786  3.66412214],0
p11,1,0.724762,0.123975,[88 19] ; [19  5],[87.39694656 19.60305344] ; [19.60305344  4.39694656],0
a1,1,0.753869,0.098308,[  7 100] ; [ 2 22],[ 7.35114504 99.64885496] ; [ 1.64885496 22.35114504],0
d2,1,0.835975,0.042868,[56 51] ; [12 12],[55.54198473 51.45801527] ; [12.45801527 11.54198473],0
a5,1,0.864715,0.029028,[82 25] ; [18  6],[81.67938931 25.32061069] ; [18.32061069  5.67938931],0
n3,1,0.87425,0.025047,[19 10] ; [5 3],[18.81081081 10.18918919] ; [5.18918919 2.81081081],0
n1,1,0.87425,0.025047,[19 10] ; [5 3],[18.81081081 10.18918919] ; [5.18918919 2.81081081],0
s1,1,0.914619,0.011495,[  5 102] ; [ 1 23],[  4.90076336 102.09923664] ; [ 1.09923664 22.90076336],0
a8,1,0.957505,0.002839,[14 90] ; [ 3 20],[13.92125984 90.07874016] ; [ 3.07874016 19.92125984],0
