Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9e-06,19.695085,[84 21] ; [19 25],[72.58389262 32.41610738] ; [30.41610738 13.58389262],1
p10,1,0.005968,7.559895,[69 35] ; [19 26],[61.42281879 42.57718121] ; [26.57718121 18.42281879],0
p9,1,0.010829,6.493165,[74 29] ; [22 22],[67.26530612 35.73469388] ; [28.73469388 15.26530612],0
n6,1,0.014743,5.946971,[85 20] ; [28 17],[79.1 25.9] ; [33.9 11.1],0
s7,1,0.017243,5.671471,[46 54] ; [10 31],[39.71631206 60.28368794] ; [16.28368794 24.71631206],0
p2,1,0.018443,5.553554,[74 30] ; [23 22],[67.70469799 36.29530201] ; [29.29530201 15.70469799],0
r1,1,0.03667,4.365656,[66 39] ; [20 25],[60.2 44.8] ; [25.8 19.2],0
p3,1,0.037613,4.322433,[47 58] ; [12 33],[41.3 63.7] ; [17.7 27.3],0
v3,1,0.046011,3.981185,[27 74] ; [ 5 38],[22.44444444 78.55555556] ; [ 9.55555556 33.44444444],0
a5,1,0.050718,3.817553,[67 38] ; [21 24],[61.6 43.4] ; [26.4 18.6],0
a3,1,0.061972,3.483818,[64 41] ; [20 25],[58.8 46.2] ; [25.2 19.8],0
s8,1,0.063634,3.440038,[37 68] ; [ 9 36],[32.2 72.8] ; [13.8 31.2],0
d1,1,0.06899,3.306878,[47 58] ; [13 32],[42. 63.] ; [18. 27.],0
u3,1,0.079956,3.065796,[11 30] ; [12 13],[14.28787879 26.71212121] ; [ 8.71212121 16.28787879],0
p5,1,0.087716,2.915804,[11 94] ; [ 1 44],[ 8.4 96.6] ; [ 3.6 41.4],0
a4,1,0.088226,2.906453,[43 61] ; [12 33],[38.38926174 65.61073826] ; [16.61073826 28.38926174],0
a1,1,0.108496,2.575995,[  3 102] ; [ 4 41],[  4.9 100.1] ; [ 2.1 42.9],0
d5,1,0.152258,2.049479,[69 36] ; [24 21],[65.1 39.9] ; [27.9 17.1],0
s6,1,0.172184,1.863822,[55 46] ; [19 26],[51.19178082 49.80821918] ; [22.80821918 22.19178082],0
n1,1,0.203201,1.619215,[14 22] ; [ 5 17],[11.79310345 24.20689655] ; [ 7.20689655 14.79310345],0
u1,1,0.266942,1.232394,[ 7 98] ; [ 1 44],[ 5.6 99.4] ; [ 2.4 42.6],0
d2,1,0.270129,1.21609,[49 54] ; [17 28],[45.93243243 57.06756757] ; [20.06756757 24.93243243],0
p11,1,0.309848,1.031322,[72 33] ; [27 18],[69.3 35.7] ; [29.7 15.3],0
s3,1,0.340394,0.908948,[49 52] ; [18 27],[46.34931507 54.65068493] ; [20.65068493 24.34931507],0
u2,1,0.38813,0.744792,[18 22] ; [14 11],[19.69230769 20.30769231] ; [12.30769231 12.69230769],0
d3,1,0.466985,0.529101,[40 65] ; [20 25],[42. 63.] ; [18. 27.],0
s4,1,0.471621,0.518175,[20 84] ; [11 34],[21.63758389 82.36241611] ; [ 9.36241611 35.63758389],0
n2,1,0.508314,0.437537,[22 14] ; [16  7],[23.18644068 12.81355932] ; [14.81355932  8.18644068],0
p4,1,0.525099,0.403867,[48 55] ; [18 26],[46.24489796 56.75510204] ; [19.75510204 24.24489796],0
b2,1,0.56766,0.326614,[23 45] ; [ 6 16],[21.91111111 46.08888889] ; [ 7.08888889 14.91111111],0
b3,1,0.56766,0.326614,[23 45] ; [ 6 16],[21.91111111 46.08888889] ; [ 7.08888889 14.91111111],0
d4,1,0.58748,0.294297,[67 38] ; [26 18],[65.53691275 39.46308725] ; [27.46308725 16.53691275],0
s2,1,0.625546,0.23815,[35 69] ; [13 31],[33.72972973 70.27027027] ; [14.27027027 29.72972973],0
s1,1,0.643934,0.213634,[ 5 99] ; [ 3 42],[ 5.58389262 98.41610738] ; [ 2.41610738 42.58389262],0
p6,1,0.647231,0.209409,[31 71] ; [12 33],[29.83673469 72.16326531] ; [13.16326531 31.83673469],0
p8,1,0.683442,0.166277,[43 61] ; [17 28],[41.87919463 62.12080537] ; [18.12080537 26.87919463],0
b5,1,0.691294,0.157688,[43 62] ; [20 25],[44.1 60.9] ; [18.9 26.1],0
a8,1,0.704605,0.143725,[ 9 90] ; [ 3 39],[ 8.42553191 90.57446809] ; [ 3.57446809 38.42553191],0
r2,1,0.714531,0.133793,[85 18] ; [36  9],[84.20945946 18.79054054] ; [36.79054054  8.20945946],0
v4,1,0.736645,0.113098,[86 19] ; [35  9],[85.26845638 19.73154362] ; [35.73154362  8.26845638],0
a6,1,0.745257,0.105559,[45 60] ; [18 27],[44.1 60.9] ; [18.9 26.1],0
b4,1,0.747033,0.104041,[59 46] ; [24 21],[58.1 46.9] ; [24.9 20.1],0
n3,1,0.752044,0.099822,[20 14] ; [12 10],[19.42857143 14.57142857] ; [12.57142857  9.42857143],0
p1,1,0.766499,0.088183,[11 94] ; [ 4 41],[10.5 94.5] ; [ 4.5 40.5],0
b1,1,0.775564,0.081284,[51 54] ; [23 22],[51.8 53.2] ; [22.2 22.8],0
v2,1,0.78661,0.073287,[28 72] ; [13 30],[28.67132867 71.32867133] ; [12.32867133 30.67132867],0
p7,1,0.830592,0.045771,[54 50] ; [22 22],[53.40540541 50.59459459] ; [22.59459459 21.40540541],0
r4,1,0.84586,0.037793,[74 31] ; [31 14],[73.5 31.5] ; [31.5 13.5],0
s5,1,0.86021,0.031014,[27 73] ; [11 32],[26.57342657 73.42657343] ; [11.42657343 31.57342657],0
r3,1,0.894977,0.017426,[83 22] ; [36  9],[83.3 21.7] ; [35.7  9.3],0
