Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.008979,6.827048,[45 23] ; [ 4 10],[40.63414634 27.36585366] ; [8.36585366 5.63414634],0
n4,1,0.017803,5.615444,[227  50] ; [41 19],[220.28486647  56.71513353] ; [47.71513353 12.28486647],0
s5,1,0.017864,5.609421,[112 157] ; [33 23],[120.01538462 148.98461538] ; [24.98461538 31.01538462],0
v1,1,0.018534,5.544969,[190  81] ; [32 27],[182.30909091  88.69090909] ; [39.69090909 19.30909091],0
n5,1,0.023513,5.130182,[224  51] ; [41 19],[217.53731343  57.46268657] ; [47.46268657 12.53731343],0
n1,1,0.0454,4.003736,[22 32] ; [ 1 10],[19.10769231 34.89230769] ; [3.89230769 7.10769231],0
p2,1,0.054345,3.702064,[236  41] ; [45 15],[230.97032641  46.02967359] ; [50.02967359  9.97032641],0
p11,1,0.069604,3.292332,[224  54] ; [42 18],[218.78106509  59.21893491] ; [47.21893491 12.78106509],0
a8,1,0.070754,3.265447,[ 44 203] ; [ 4 48],[ 39.65217391 207.34782609] ; [ 8.34782609 43.65217391],0
v3,1,0.123487,2.372527,[155 118] ; [26 31],[149.73636364 123.26363636] ; [31.26363636 25.73636364],0
a4,1,0.135157,2.232251,[118 158] ; [32 28],[123.21428571 152.78571429] ; [26.78571429 33.21428571],0
s2,1,0.165671,1.921687,[180  96] ; [44 15],[184.54925373  91.45074627] ; [39.45074627 19.54925373],0
p12,1,0.166855,1.910975,[ 36 240] ; [ 4 56],[ 32.85714286 243.14285714] ; [ 7.14285714 52.85714286],0
b3,1,0.177417,1.819127,[ 64 114] ; [ 7 23],[ 60.75961538 117.24038462] ; [10.24038462 19.75961538],0
b2,1,0.177417,1.819127,[ 64 114] ; [ 7 23],[ 60.75961538 117.24038462] ; [10.24038462 19.75961538],0
s3,1,0.193418,1.691389,[184  88] ; [45 14],[188.18126888  83.81873112] ; [40.81873112 18.18126888],0
a5,1,0.24082,1.375789,[222  55] ; [44 16],[218.64094955  58.35905045] ; [47.35905045 12.64094955],0
u3,1,0.266002,1.237249,[46 24] ; [7 7],[44.16666667 25.83333333] ; [8.83333333 5.16666667],0
a1,1,0.271554,1.208878,[ 20 258] ; [ 2 58],[ 18.09467456 259.90532544] ; [ 3.90532544 56.09467456],0
p8,1,0.317971,0.997276,[151 121] ; [27 29],[147.6097561 124.3902439] ; [30.3902439 25.6097561],0
d3,1,0.350398,0.872016,[200  76] ; [47 13],[202.89285714  73.10714286] ; [44.10714286 15.89285714],0
d2,1,0.386112,0.75115,[144 132] ; [35 25],[147.03571429 128.96428571] ; [31.96428571 28.03571429],0
p6,1,0.390409,0.737669,[115 158] ; [28 30],[117.94259819 155.05740181] ; [25.05740181 32.94259819],0
a6,1,0.397712,0.715232,[194  81] ; [39 21],[191.26865672  83.73134328] ; [41.73134328 18.26865672],0
b4,1,0.424411,0.638068,[170 108] ; [40 20],[172.72189349 105.27810651] ; [37.27810651 22.72189349],0
r3,1,0.43902,0.598843,[272   5] ; [57  2],[271.22916667   5.77083333] ; [57.77083333  1.22916667],0
p3,1,0.460631,0.544361,[157 119] ; [31 29],[154.42857143 121.57142857] ; [33.57142857 26.42857143],0
p7,1,0.479439,0.500138,[182  87] ; [42 16],[184.26911315  84.73088685] ; [39.73088685 18.26911315],0
n3,1,0.509206,0.435699,[39 15] ; [9 2],[39.87692308 14.12307692] ; [8.12307692 2.87692308],0
u4,1,0.514907,0.424082,[  9 269] ; [ 1 59],[  8.22485207 269.77514793] ; [ 1.77514793 58.22485207],0
d4,1,0.518242,0.417391,[240  36] ; [54  6],[241.5  34.5] ; [52.5  7.5],0
b5,1,0.518554,0.416768,[173 105] ; [40 20],[175.18934911 102.81065089] ; [37.81065089 22.18934911],0
a7,1,0.55312,0.351757,[211  65] ; [48 12],[212.75  63.25] ; [46.25 13.75],0
p4,1,0.557844,0.343451,[185  90] ; [38 22],[183.05970149  91.94029851] ; [39.94029851 20.05970149],0
d1,1,0.561008,0.337962,[179  99] ; [41 19],[180.94674556  97.05325444] ; [39.05325444 20.94674556],0
p10,1,0.585658,0.297176,[236  39] ; [49 10],[234.65568862  40.34431138] ; [50.34431138  8.65568862],0
p5,1,0.671857,0.179437,[ 38 239] ; [ 7 53],[ 36.98813056 240.01186944] ; [ 8.01186944 51.98813056],0
s1,1,0.692994,0.155864,[  7 266] ; [ 1 58],[  6.57831325 266.42168675] ; [ 1.42168675 57.57831325],0
u1,1,0.696652,0.151978,[ 63 215] ; [15 45],[ 64.15384615 213.84615385] ; [13.84615385 46.15384615],0
s8,1,0.767101,0.087716,[157 118] ; [33 27],[155.97014925 119.02985075] ; [34.02985075 25.97014925],0
p1,1,0.801035,0.063508,[ 21 255] ; [ 4 56],[ 20.53571429 255.46428571] ; [ 4.46428571 55.53571429],0
a3,1,0.831178,0.045451,[208  68] ; [46 14],[208.64285714  67.35714286] ; [45.35714286 14.64285714],0
p9,1,0.861167,0.030586,[244  30] ; [53  6],[244.37837838  29.62162162] ; [52.62162162  6.37837838],0
n6,1,0.87034,0.026643,[239  35] ; [51  8],[238.61861862  35.38138138] ; [51.38138138  7.61861862],0
r4,1,0.870598,0.026536,[253  25] ; [55  5],[253.32544379  24.67455621] ; [54.67455621  5.32544379],0
a2,1,0.871144,0.02631,[ 77 201] ; [16 44],[ 76.49112426 201.50887574] ; [16.50887574 43.49112426],0
s7,1,0.926811,0.008438,[173  93] ; [38 21],[172.69538462  93.30461538] ; [38.30461538 20.69538462],0
d5,1,0.937217,0.006205,[239  38] ; [52  8],[239.18991098  37.81008902] ; [51.81008902  8.18991098],0
r2,1,0.942433,0.005215,[259  13] ; [57  3],[258.89156627  13.10843373] ; [57.10843373  2.89156627],0
b1,1,0.943187,0.005079,[ 94 184] ; [20 40],[ 93.76331361 184.23668639] ; [20.23668639 39.76331361],0
r1,1,0.974604,0.001013,[235  42] ; [51  9],[235.08011869  41.91988131] ; [50.91988131  9.08011869],0
v4,1,0.976809,0.000845,[261  14] ; [57  3],[261.04477612  13.95522388] ; [56.95522388  3.04477612],0
n2,1,0.979071,0.000688,[44 10] ; [9 2],[44.03076923  9.96923077] ; [8.96923077 2.03076923],0
