Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3e-06,21.627662,[21 30] ; [74 19],[33.64583333 17.35416667] ; [61.35416667 31.64583333],1
d3,1,1.5e-05,18.68128,[17 34] ; [65 27],[29.24475524 21.75524476] ; [52.75524476 39.24475524],1
d5,1,0.000286,13.162543,[25 26] ; [73 20],[34.70833333 16.29166667] ; [63.29166667 29.70833333],1
d4,1,0.002319,9.278165,[27 23] ; [73 20],[34.96503497 15.03496503] ; [65.03496503 27.96503497],0
r1,1,0.002701,8.999325,[26 25] ; [71 23],[34.11724138 16.88275862] ; [62.88275862 31.11724138],0
r3,1,0.010697,6.514895,[34 17] ; [79 14],[40.02083333 10.97916667] ; [72.97916667 20.02083333],0
v4,1,0.010886,6.483755,[32 16] ; [80 14],[37.85915493 10.14084507] ; [74.14084507 19.85915493],0
b1,1,0.011759,6.34691,[35 16] ; [44 50],[27.7862069 23.2137931] ; [51.2137931 42.7862069],0
r4,1,0.012863,6.187863,[27 24] ; [69 25],[33.76551724 17.23448276] ; [62.23448276 31.76551724],0
b5,1,0.026966,4.893008,[24 27] ; [62 32],[30.24827586 20.75172414] ; [55.75172414 38.24827586],0
a2,1,0.027329,4.869881,[ 4 47] ; [21 73],[ 8.79310345 42.20689655] ; [16.20689655 77.79310345],0
p2,1,0.03315,4.538023,[25 24] ; [65 29],[30.83916084 18.16083916] ; [59.16083916 34.83916084],0
p9,1,0.041051,4.173907,[24 26] ; [61 32],[29.72027972 20.27972028] ; [55.27972028 37.72027972],0
u1,1,0.059507,3.551069,[ 1 50] ; [10 84],[ 3.86896552 47.13103448] ; [ 7.13103448 86.86896552],0
p8,1,0.069424,3.296585,[13 37] ; [38 54],[17.95774648 32.04225352] ; [33.04225352 58.95774648],0
n2,1,0.086431,2.939626,[17  6] ; [13 13],[14.08163265  8.91836735] ; [15.91836735 10.08163265],0
a5,1,0.102468,2.666701,[26 25] ; [61 33],[30.6 20.4] ; [56.4 37.6],0
u3,1,0.140796,2.169243,[10 12] ; [21 11],[12.62962963  9.37037037] ; [18.37037037 13.62962963],0
a8,1,0.14697,2.103417,[ 2 46] ; [10 76],[ 4.29850746 43.70149254] ; [ 7.70149254 78.29850746],0
s6,1,0.149463,2.077728,[16 35] ; [41 53],[20.04827586 30.95172414] ; [36.95172414 57.04827586],0
p10,1,0.17003,1.88268,[22 27] ; [53 40],[25.88028169 23.11971831] ; [49.11971831 43.88028169],0
d1,1,0.184117,1.764076,[17 34] ; [42 52],[20.75172414 30.24827586] ; [38.24827586 55.75172414],0
p3,1,0.195837,1.673154,[11 39] ; [30 63],[14.33566434 35.66433566] ; [26.66433566 66.33566434],0
p1,1,0.213632,1.546644,[ 2 49] ; [ 9 84],[ 3.89583333 47.10416667] ; [ 7.10416667 85.89583333],0
b2,1,0.260313,1.267092,[10 21] ; [11 41],[ 7.84337349 23.15662651] ; [13.15662651 38.84337349],0
b3,1,0.260313,1.267092,[10 21] ; [11 41],[ 7.84337349 23.15662651] ; [13.15662651 38.84337349],0
p7,1,0.291312,1.113548,[21 28] ; [47 43],[23.97122302 25.02877698] ; [44.02877698 45.97122302],0
n1,1,0.295035,1.096503,[10 12] ; [ 8 18],[ 8.25 13.75] ; [ 9.75 16.25],0
d2,1,0.300784,1.070715,[22 29] ; [32 61],[19.125 31.875] ; [34.875 58.125],0
a3,1,0.300784,1.070715,[29 22] ; [61 32],[31.875 19.125] ; [58.125 34.875],0
p11,1,0.318809,0.993825,[26 25] ; [56 38],[28.84137931 22.15862069] ; [53.15862069 40.84137931],0
r2,1,0.339473,0.912421,[38 11] ; [79 15],[40.09090909  8.90909091] ; [76.90909091 17.09090909],0
s3,1,0.355046,0.85534,[25 25] ; [39 54],[22.37762238 27.62237762] ; [41.62237762 51.37762238],0
n3,1,0.358196,0.844208,[16  6] ; [15 10],[14.5106383  7.4893617] ; [16.4893617  8.5106383],0
a4,1,0.400657,0.706354,[17 34] ; [38 56],[19.34482759 31.65517241] ; [35.65517241 58.34482759],0
v2,1,0.412008,0.672999,[17 29] ; [39 49],[19.2238806 26.7761194] ; [36.7761194 51.2238806],0
s7,1,0.433429,0.613617,[ 9 36] ; [23 65],[10.82706767 34.17293233] ; [21.17293233 66.82706767],0
s4,1,0.446187,0.580319,[ 7 44] ; [ 9 85],[ 5.62758621 45.37241379] ; [10.37241379 83.62758621],0
b4,1,0.454675,0.558972,[26 25] ; [54 40],[28.13793103 22.86206897] ; [51.86206897 42.13793103],0
v3,1,0.469092,0.524115,[11 36] ; [26 63],[12.78676471 34.21323529] ; [24.21323529 64.78676471],0
n4,1,0.492582,0.470882,[28 23] ; [46 48],[26.02758621 24.97241379] ; [47.97241379 46.02758621],0
a1,1,0.547513,0.361792,[ 4 47] ; [ 5 89],[ 3.16551724 47.83448276] ; [ 5.83448276 88.16551724],0
p6,1,0.596817,0.279823,[ 7 40] ; [17 75],[ 8.11510791 38.88489209] ; [15.88489209 76.11510791],0
s8,1,0.70154,0.146874,[10 41] ; [21 73],[10.90344828 40.09655172] ; [20.09655172 73.90344828],0
s1,1,0.732796,0.11656,[ 3 47] ; [ 7 86],[ 3.4965035 46.5034965] ; [ 6.5034965 86.4965035],0
n5,1,0.745399,0.105438,[24 26] ; [42 51],[23.07692308 26.92307692] ; [42.92307692 50.07692308],0
s2,1,0.755719,0.096788,[15 36] ; [30 64],[15.82758621 35.17241379] ; [29.17241379 64.82758621],0
u2,1,0.800657,0.063754,[13  9] ; [20 12],[13.44444444  8.55555556] ; [19.55555556 12.44444444],0
p5,1,0.81007,0.057762,[ 2 48] ; [ 3 90],[ 1.74825175 48.25174825] ; [ 3.25174825 89.74825175],0
p4,1,0.854799,0.033488,[18 31] ; [36 58],[18.5034965 30.4965035] ; [35.4965035 58.5034965],0
v1,1,0.97177,0.001252,[19 32] ; [34 58],[18.9020979 32.0979021] ; [34.0979021 57.9020979],0
