Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,29.810779,[50 13] ; [ 1 15],[40.67088608 22.32911392] ; [10.32911392  5.67088608],1
d5,1,2.8e-05,17.542948,[60  3] ; [9 7],[55.02531646  7.97468354] ; [13.97468354  2.02531646],1
d3,1,3e-05,17.433874,[50 13] ; [ 4 12],[43.06329114 19.93670886] ; [10.93670886  5.06329114],1
d2,1,0.000116,14.850896,[45 18] ; [ 3 13],[38.27848101 24.72151899] ; [9.72151899 6.27848101],1
a4,1,0.006087,7.524262,[36 27] ; [ 3 13],[31.10126582 31.89873418] ; [7.89873418 8.10126582],0
a2,1,0.024174,5.082137,[22 41] ; [ 1 15],[18.34177215 44.65822785] ; [ 4.65822785 11.34177215],0
b4,1,0.044771,4.027247,[41 22] ; [ 6 10],[37.48101266 25.51898734] ; [9.51898734 6.48101266],0
p3,1,0.04999,3.841791,[33 30] ; [ 4 12],[29.50632911 33.49367089] ; [7.49367089 8.50632911],0
s3,1,0.065201,3.399879,[40 23] ; [14  2],[43.06329114 19.93670886] ; [10.93670886  5.06329114],0
u2,1,0.067113,3.352259,[10  3] ; [2 4],[8.21052632 4.78947368] ; [3.78947368 2.21052632],0
p7,1,0.072164,3.233102,[27 35] ; [11  5],[30.20512821 31.79487179] ; [7.79487179 8.20512821],0
p6,1,0.127686,2.32042,[29 34] ; [ 4 12],[26.3164557 36.6835443] ; [6.6835443 9.3164557],0
p8,1,0.14514,2.122603,[24 39] ; [ 3 13],[21.53164557 41.46835443] ; [ 5.46835443 10.53164557],0
b3,1,0.147332,2.099654,[13 23] ; [1 8],[11.2 24.8] ; [2.8 6.2],0
b2,1,0.147332,2.099654,[13 23] ; [1 8],[11.2 24.8] ; [2.8 6.2],0
a8,1,0.148214,2.090535,[ 7 48] ; [ 4 10],[ 8.76811594 46.23188406] ; [ 2.23188406 11.76811594],0
p4,1,0.157108,2.001847,[35 28] ; [12  4],[37.48101266 25.51898734] ; [9.51898734 6.48101266],0
a3,1,0.209459,1.575165,[49 14] ; [10  6],[47.05063291 15.94936709] ; [11.94936709  4.05063291],0
b5,1,0.216786,1.525517,[42 21] ; [8 8],[39.87341772 23.12658228] ; [10.12658228  5.87341772],0
v2,1,0.223892,1.479252,[37 24] ; [7 9],[34.85714286 26.14285714] ; [9.14285714 6.85714286],0
p1,1,0.231827,1.429619,[ 8 54] ; [ 4 12],[ 9.53846154 52.46153846] ; [ 2.46153846 13.53846154],0
n6,1,0.247449,1.337648,[50 11] ; [15  1],[51.49350649  9.50649351] ; [13.50649351  2.49350649],0
s7,1,0.26954,1.219087,[47  8] ; [11  4],[45.57142857  9.42857143] ; [12.42857143  2.57142857],0
n1,1,0.272254,1.205357,[14 10] ; [2 4],[12.8 11.2] ; [3.2 2.8],0
v4,1,0.289017,1.124195,[62  1] ; [15  1],[61.40506329  1.59493671] ; [15.59493671  0.40506329],0
v1,1,0.304709,1.053472,[36 26] ; [7 9],[34.17948718 27.82051282] ; [8.82051282 7.17948718],0
u3,1,0.329114,0.952381,[12  2] ; [4 2],[11.2  2.8] ; [4.8 1.2],0
r1,1,0.354728,0.856471,[56  7] ; [12  3],[54.92307692  8.07692308] ; [13.07692308  1.92307692],0
a6,1,0.365977,0.817279,[43 20] ; [9 7],[41.46835443 21.53164557] ; [10.53164557  5.46835443],0
s6,1,0.381562,0.765663,[54  7] ; [12  3],[52.97368421  8.02631579] ; [13.02631579  1.97368421],0
a5,1,0.488003,0.480925,[45 18] ; [10  6],[43.86075949 19.13924051] ; [11.13924051  4.86075949],0
p10,1,0.490865,0.474629,[46 15] ; [10  5],[44.94736842 16.05263158] ; [11.05263158  3.94736842],0
s4,1,0.49877,0.457552,[17 46] ; [ 3 13],[15.94936709 47.05063291] ; [ 4.05063291 11.94936709],0
s1,1,0.527352,0.399492,[ 2 61] ; [ 1 14],[ 2.42307692 60.57692308] ; [ 0.57692308 14.42307692],0
p9,1,0.531113,0.392262,[50 11] ; [12  4],[49.11688312 11.88311688] ; [12.88311688  3.11688312],0
n2,1,0.535724,0.383523,[17  7] ; [5 1],[17.6  6.4] ; [4.4 1.6],0
s5,1,0.556092,0.346516,[32 26] ; [7 8],[30.98630137 27.01369863] ; [8.01369863 6.98630137],0
n3,1,0.557699,0.343704,[16  8] ; [4 1],[16.55172414  7.44827586] ; [3.44827586 1.55172414],0
u4,1,0.565462,0.330335,[ 2 61] ; [ 1 15],[ 2.39240506 60.60759494] ; [ 0.60759494 15.39240506],0
n4,1,0.649138,0.206989,[45 17] ; [10  5],[44.28571429 17.71428571] ; [10.71428571  4.28571429],0
s2,1,0.666559,0.185654,[48 15] ; [13  3],[48.64556962 14.35443038] ; [12.35443038  3.64556962],0
p2,1,0.666559,0.185654,[48 15] ; [13  3],[48.64556962 14.35443038] ; [12.35443038  3.64556962],0
r3,1,0.680698,0.169342,[57  6] ; [15  1],[57.41772152  5.58227848] ; [14.58227848  1.41772152],0
v3,1,0.729932,0.119174,[23 36] ; [7 9],[23.6 35.4] ; [6.4 9.6],0
a7,1,0.733901,0.11556,[46 17] ; [11  5],[45.4556962 17.5443038] ; [11.5443038  4.4556962],0
n5,1,0.749305,0.102116,[44 18] ; [12  4],[44.51282051 17.48717949] ; [11.48717949  4.51282051],0
b1,1,0.870004,0.026783,[34 29] ; [9 7],[34.29113924 28.70886076] ; [8.70886076 7.29113924],0
p5,1,0.982994,0.000454,[ 8 55] ; [ 2 14],[ 7.97468354 55.02531646] ; [ 2.02531646 13.97468354],0
