Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,26.498442,[85 20] ; [ 4 14],[75.97560976 29.02439024] ; [13.02439024  4.97560976],1
r2,1,9e-06,19.733872,[96  9] ; [8 8],[90.24793388 14.75206612] ; [13.75206612  2.24793388],1
p2,1,0.000114,14.886712,[81 23] ; [ 6 12],[74.16393443 29.83606557] ; [12.83606557  5.16393443],1
r3,1,0.000411,12.480983,[96  9] ; [11  7],[91.34146341 13.65853659] ; [15.65853659  2.34146341],1
a6,1,0.011072,6.453663,[63 42] ; [ 5 13],[58.04878049 46.95121951] ; [9.95121951 8.04878049],0
n6,1,0.011072,6.453663,[63 42] ; [ 5 13],[58.04878049 46.95121951] ; [9.95121951 8.04878049],0
a7,1,0.015439,5.865711,[76 28] ; [ 8 10],[71.60655738 32.39344262] ; [12.39344262  5.60655738],0
p4,1,0.026932,4.89514,[39 64] ; [ 2 16],[34.90082645 68.09917355] ; [ 6.09917355 11.90082645],0
p10,1,0.053566,3.726184,[54 49] ; [ 5 13],[50.2231405 52.7768595] ; [8.7768595 9.2231405],0
p7,1,0.053566,3.726184,[54 49] ; [ 5 13],[50.2231405 52.7768595] ; [8.7768595 9.2231405],0
p9,1,0.054927,3.684307,[62 41] ; [ 6 11],[58.36666667 44.63333333] ; [9.63333333 7.36666667],0
s1,1,0.058439,3.581134,[  5 100] ; [ 3 15],[ 6.82926829 98.17073171] ; [ 1.17073171 16.82926829],0
p3,1,0.060792,3.515655,[34 69] ; [ 2 16],[30.6446281 72.3553719] ; [ 5.3553719 12.6446281],0
p11,1,0.070529,3.270655,[70 35] ; [ 8 10],[66.58536585 38.41463415] ; [11.41463415  6.58536585],0
a4,1,0.071057,3.258438,[30 75] ; [9 9],[33.29268293 71.70731707] ; [ 5.70731707 12.29268293],0
b1,1,0.079987,3.065164,[41 64] ; [11  7],[44.3902439 60.6097561] ; [ 7.6097561 10.3902439],0
r1,1,0.104485,2.635714,[73 32] ; [9 9],[70. 35.] ; [12.  6.],0
d2,1,0.172886,1.857739,[35 70] ; [9 9],[37.56097561 67.43902439] ; [ 6.43902439 11.56097561],0
v3,1,0.177705,1.816716,[25 72] ; [ 2 16],[22.77391304 74.22608696] ; [ 4.22608696 13.77391304],0
b4,1,0.177752,1.816317,[58 47] ; [13  5],[60.6097561 44.3902439] ; [10.3902439  7.6097561],0
d3,1,0.182386,1.778073,[69 35] ; [9 9],[66.49180328 37.50819672] ; [11.50819672  6.49180328],0
s3,1,0.247359,1.338158,[23 80] ; [ 6 11],[24.89166667 78.10833333] ; [ 4.10833333 12.89166667],0
v2,1,0.24831,1.332785,[49 53] ; [ 6 12],[46.75 55.25] ; [8.25 9.75],0
p8,1,0.257209,1.283717,[37 66] ; [ 4 14],[34.90082645 68.09917355] ; [ 6.09917355 11.90082645],0
n1,1,0.300919,1.070115,[ 6 24] ; [3 5],[ 7.10526316 22.89473684] ; [1.89473684 6.10526316],0
p6,1,0.329566,0.950601,[21 79] ; [ 2 16],[19.49152542 80.50847458] ; [ 3.50847458 14.49152542],0
u2,1,0.379621,0.77193,[20 18] ; [2 4],[19. 19.] ; [3. 3.],0
b5,1,0.382081,0.763996,[64 41] ; [9 9],[62.31707317 42.68292683] ; [10.68292683  7.31707317],0
b2,1,0.447276,0.577546,[17 39] ; [5 7],[18.11764706 37.88235294] ; [3.88235294 8.11764706],0
b3,1,0.447276,0.577546,[17 39] ; [5 7],[18.11764706 37.88235294] ; [3.88235294 8.11764706],0
s5,1,0.471635,0.518142,[12 90] ; [ 1 16],[11.14285714 90.85714286] ; [ 1.85714286 15.14285714],0
d5,1,0.495224,0.465156,[72 32] ; [11  7],[70.75409836 33.24590164] ; [12.24590164  5.75409836],0
v1,1,0.529747,0.394876,[32 71] ; [ 4 13],[30.9 72.1] ; [ 5.1 11.9],0
d4,1,0.557701,0.3437,[81 24] ; [15  3],[81.95121951 23.04878049] ; [14.04878049  3.95121951],0
a5,1,0.583991,0.299826,[54 51] ; [ 8 10],[52.92682927 52.07317073] ; [9.07317073 8.92682927],0
a2,1,0.585684,0.297136,[10 95] ; [ 1 17],[ 9.3902439 95.6097561] ; [ 1.6097561 16.3902439],0
s4,1,0.727191,0.121707,[ 9 96] ; [ 2 16],[ 9.3902439 95.6097561] ; [ 1.6097561 16.3902439],0
a8,1,0.761946,0.091765,[ 8 92] ; [ 1 16],[ 7.69230769 92.30769231] ; [ 1.30769231 15.69230769],0
n3,1,0.765875,0.08867,[19 10] ; [5 2],[19.33333333  9.66666667] ; [4.66666667 2.33333333],0
n4,1,0.781126,0.077202,[43 62] ; [ 8 10],[43.53658537 61.46341463] ; [ 7.46341463 10.53658537],0
n2,1,0.794944,0.067546,[16 13] ; [4 4],[15.67567568 13.32432432] ; [4.32432432 3.67567568],0
p1,1,0.852465,0.034586,[ 7 97] ; [ 1 17],[ 6.81967213 97.18032787] ; [ 1.18032787 16.81967213],0
a3,1,0.854043,0.033842,[67 37] ; [12  6],[67.3442623 36.6557377] ; [11.6557377  6.3442623],0
u1,1,0.859805,0.031196,[ 7 98] ; [ 1 17],[ 6.82926829 98.17073171] ; [ 1.17073171 16.82926829],0
s7,1,0.865578,0.028655,[18 81] ; [ 3 12],[18.23684211 80.76315789] ; [ 2.76315789 12.23684211],0
s2,1,0.876861,0.02401,[16 89] ; [ 3 15],[16.2195122 88.7804878] ; [ 2.7804878 15.2195122],0
d1,1,0.980032,0.000626,[47 58] ; [ 8 10],[46.95121951 58.04878049] ; [8.04878049 9.95121951],0
