Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4e-06,21.273102,[ 7 23] ; [42 14],[17.09302326 12.90697674] ; [31.90697674 24.09302326],1
a7,1,0.012019,6.308036,[20 10] ; [21 34],[14.47058824 15.52941176] ; [26.52941176 28.47058824],0
p9,1,0.037636,4.321405,[10 19] ; [31 22],[14.5 14.5] ; [26.5 26.5],0
n6,1,0.073554,3.201882,[14 16] ; [36 18],[17.85714286 12.14285714] ; [32.14285714 21.85714286],0
p6,1,0.089781,2.878297,[ 2 28] ; [11 42],[ 4.69879518 25.30120482] ; [ 8.30120482 44.69879518],0
n1,1,0.090043,2.873597,[ 2 13] ; [11 18],[ 4.43181818 10.56818182] ; [ 8.56818182 20.43181818],0
p10,1,0.097015,2.753942,[11 19] ; [30 24],[14.64285714 15.35714286] ; [26.35714286 27.64285714],0
p11,1,0.101374,2.6838,[10 20] ; [29 27],[13.60465116 16.39534884] ; [25.39534884 30.60465116],0
d3,1,0.108905,2.570046,[18 12] ; [23 32],[14.47058824 15.52941176] ; [26.52941176 28.47058824],0
s4,1,0.153464,2.037473,[ 2 28] ; [10 46],[ 4.18604651 25.81395349] ; [ 7.81395349 48.18604651],0
p1,1,0.163065,1.945566,[ 1 29] ; [ 7 49],[ 2.79069767 27.20930233] ; [ 5.20930233 50.79069767],0
n2,1,0.163444,1.942069,[6 9] ; [18 11],[8.18181818 6.81818182] ; [15.81818182 13.18181818],0
d4,1,0.16456,1.931818,[21  9] ; [30 25],[18. 12.] ; [33. 22.],0
u3,1,0.192884,1.695447,[6 8] ; [ 6 20],[4.2 9.8] ; [ 7.8 18.2],0
b3,1,0.193502,1.69075,[ 3 11] ; [14 20],[4.95833333 9.04166667] ; [12.04166667 21.95833333],0
b2,1,0.193502,1.69075,[ 3 11] ; [14 20],[4.95833333 9.04166667] ; [12.04166667 21.95833333],0
r3,1,0.215885,1.531515,[17 13] ; [23 31],[14.28571429 15.71428571] ; [25.71428571 28.28571429],0
b1,1,0.304071,1.056253,[19 11] ; [29 27],[16.74418605 13.25581395] ; [31.25581395 24.74418605],0
d2,1,0.328326,0.955488,[ 9 21] ; [22 32],[11.07142857 18.92857143] ; [19.92857143 34.07142857],0
p7,1,0.336799,0.922576,[ 7 23] ; [18 36],[ 8.92857143 21.07142857] ; [16.07142857 37.92857143],0
p3,1,0.383174,0.760494,[ 8 22] ; [10 44],[ 6.42857143 23.57142857] ; [11.57142857 42.42857143],0
a6,1,0.383512,0.759415,[11 19] ; [26 30],[12.90697674 17.09302326] ; [24.09302326 31.90697674],0
r2,1,0.391193,0.73523,[13 15] ; [31 24],[14.84337349 13.15662651] ; [29.15662651 25.84337349],0
u1,1,0.471816,0.517719,[ 1 29] ; [ 4 52],[ 1.74418605 28.25581395] ; [ 3.25581395 52.74418605],0
s1,1,0.471816,0.517719,[ 1 29] ; [ 4 52],[ 1.74418605 28.25581395] ; [ 3.25581395 52.74418605],0
b4,1,0.474856,0.510653,[19 11] ; [31 25],[17.44186047 12.55813953] ; [32.55813953 23.44186047],0
d5,1,0.474856,0.510653,[19 11] ; [31 25],[17.44186047 12.55813953] ; [32.55813953 23.44186047],0
s7,1,0.475958,0.508111,[ 4 24] ; [11 42],[ 5.18518519 22.81481481] ; [ 9.81481481 43.18518519],0
r1,1,0.491842,0.472494,[ 9 21] ; [13 43],[ 7.6744186 22.3255814] ; [14.3255814 41.6744186],0
p2,1,0.505031,0.444348,[17 13] ; [26 27],[15.54216867 14.45783133] ; [27.45783133 25.54216867],0
s5,1,0.524774,0.404501,[ 4 26] ; [ 5 51],[ 3.13953488 26.86046512] ; [ 5.86046512 50.13953488],0
