Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,25.07026,[47 21] ; [ 7 31],[34.64150943 33.35849057] ; [19.35849057 18.64150943],1
p2,1,1.7e-05,18.532235,[63  5] ; [22 16],[54.52830189 13.47169811] ; [30.47169811  7.52830189],1
r4,1,3.4e-05,17.183564,[66  3] ; [25 13],[58.68224299 10.31775701] ; [32.31775701  5.68224299],1
p11,1,4.3e-05,16.746255,[63  6] ; [22 16],[54.81308411 14.18691589] ; [30.18691589  7.81308411],1
p4,1,5.6e-05,16.220524,[45 22] ; [10 28],[35.0952381 31.9047619] ; [19.9047619 18.0952381],1
p8,1,0.000162,14.228938,[45 22] ; [11 27],[35.73333333 31.26666667] ; [20.26666667 17.73333333],1
r1,1,0.000876,11.072085,[62  7] ; [24 14],[55.45794393 13.54205607] ; [30.54205607  7.45794393],1
p10,1,0.001457,10.132016,[59  9] ; [22 15],[52.45714286 15.54285714] ; [28.54285714  8.45714286],0
s7,1,0.00161,9.948621,[25 39] ; [ 3 31],[18.28571429 45.71428571] ; [ 9.71428571 24.28571429],0
v1,1,0.001756,9.788507,[48 20] ; [15 23],[40.41509434 27.58490566] ; [22.58490566 15.41509434],0
p9,1,0.003156,8.714782,[60  9] ; [23 14],[54.02830189 14.97169811] ; [28.97169811  8.02830189],0
r3,1,0.004793,7.955865,[67  2] ; [30  7],[63.14150943  5.85849057] ; [33.85849057  3.14150943],0
p6,1,0.00804,7.024487,[27 39] ; [ 6 32],[20.94230769 45.05769231] ; [12.05769231 25.94230769],0
n5,1,0.024768,5.040029,[57 12] ; [24 14],[52.23364486 16.76635514] ; [28.76635514  9.23364486],0
v2,1,0.032992,4.54619,[58 10] ; [25 12],[53.75238095 14.24761905] ; [29.24761905  7.75238095],0
a8,1,0.036243,4.385611,[10 49] ; [ 1 35],[ 6.83157895 52.16842105] ; [ 4.16842105 31.83157895],0
b4,1,0.041505,4.15529,[35 34] ; [27 11],[39.98130841 29.01869159] ; [22.01869159 15.98130841],0
s5,1,0.046142,3.976398,[14 55] ; [ 2 34],[10.51428571 58.48571429] ; [ 5.48571429 30.51428571],0
n6,1,0.059521,3.550681,[58 11] ; [26 12],[54.1682243 14.8317757] ; [29.8317757  8.1682243],0
a5,1,0.09257,2.829104,[54 15] ; [24 14],[50.29906542 18.70093458] ; [27.70093458 10.29906542],0
n4,1,0.101599,2.680268,[61  8] ; [29  9],[58.03738318 10.96261682] ; [31.96261682  6.03738318],0
a6,1,0.169278,1.889327,[49 20] ; [22 16],[45.78504673 23.21495327] ; [25.21495327 12.78504673],0
u1,1,0.17572,1.833457,[12 57] ; [ 3 35],[ 9.6728972 59.3271028] ; [ 5.3271028 32.6728972],0
a1,1,0.216117,1.529971,[ 3 66] ; [ 4 34],[ 4.51401869 64.48598131] ; [ 2.48598131 35.51401869],0
s8,1,0.233762,1.417825,[26 43] ; [10 28],[23.21495327 45.78504673] ; [12.78504673 25.21495327],0
u2,1,0.275973,1.186813,[10  8] ; [3 6],[8.66666667 9.33333333] ; [4.33333333 4.66666667],0
p5,1,0.281611,1.159299,[ 8 61] ; [ 2 36],[ 6.44859813 62.55140187] ; [ 3.55140187 34.44859813],0
b2,1,0.285607,1.140215,[23 30] ; [12  9],[25.06756757 27.93243243] ; [ 9.93243243 11.06756757],0
b3,1,0.285607,1.140215,[23 30] ; [12  9],[25.06756757 27.93243243] ; [ 9.93243243 11.06756757],0
d5,1,0.311155,1.025768,[55 14] ; [27 11],[52.87850467 16.12149533] ; [29.12149533  8.87850467],0
d1,1,0.329774,0.949785,[43 26] ; [20 18],[40.62616822 28.37383178] ; [22.37383178 15.62616822],0
n1,1,0.405187,0.692877,[2 7] ; [4 6],[2.84210526 6.15789474] ; [3.15789474 6.84210526],0
u3,1,0.411314,0.675,[9 9] ; [3 6],[ 8. 10.] ; [4. 5.],0
s4,1,0.445361,0.582431,[ 3 66] ; [ 3 35],[ 3.86915888 65.13084112] ; [ 2.13084112 35.86915888],0
s3,1,0.479073,0.500973,[19 49] ; [ 8 29],[17.48571429 50.51428571] ; [ 9.51428571 27.48571429],0
a7,1,0.505597,0.443169,[48 21] ; [28  9],[49.47169811 19.52830189] ; [26.52830189 10.47169811],0
d4,1,0.506948,0.440361,[56 13] ; [28  9],[54.67924528 14.32075472] ; [29.32075472  7.67924528],0
n3,1,0.525392,0.403295,[9 2] ; [7 3],[8.38095238 2.61904762] ; [7.61904762 2.38095238],0
d3,1,0.629453,0.232803,[45 24] ; [23 15],[43.85046729 25.14953271] ; [24.14953271 13.85046729],0
