Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.367503,[13 55] ; [61 48],[28.42937853 39.57062147] ; [45.57062147 63.42937853],1
p10,1,0.00115,10.568288,[36 31] ; [82 24],[45.69942197 21.30057803] ; [72.30057803 33.69942197],0
n6,1,0.001568,9.996809,[45 23] ; [94 15],[53.40112994 14.59887006] ; [85.59887006 23.40112994],0
a5,1,0.001632,9.922892,[24 44] ; [65 44],[34.1920904 33.8079096] ; [54.8079096 54.1920904],0
v2,1,0.002093,9.465837,[17 44] ; [56 51],[26.50595238 34.49404762] ; [46.49404762 60.50595238],0
a6,1,0.002172,9.397999,[31 37] ; [75 34],[40.72316384 27.27683616] ; [65.27683616 43.72316384],0
s2,1,0.007018,7.268446,[19 48] ; [52 54],[27.49710983 39.50289017] ; [43.50289017 62.49710983],0
v3,1,0.009269,6.770212,[15 50] ; [46 62],[22.91907514 42.08092486] ; [38.08092486 69.91907514],0
d4,1,0.0117,6.355746,[25 42] ; [62 47],[33.11931818 33.88068182] ; [53.88068182 55.11931818],0
p4,1,0.014045,6.032524,[22 45] ; [55 51],[29.82080925 37.17919075] ; [47.17919075 58.82080925],0
v4,1,0.014483,5.978329,[59  8] ; [106   3],[62.8125  4.1875] ; [102.1875   6.8125],0
b5,1,0.020763,5.346586,[31 37] ; [69 40],[38.4180791 29.5819209] ; [61.5819209 47.4180791],0
p9,1,0.021901,5.253616,[44 23] ; [86 20],[50.34682081 16.65317919] ; [79.65317919 26.34682081],0
r1,1,0.022607,5.19842,[43 25] ; [86 23],[49.55932203 18.44067797] ; [79.44067797 29.55932203],0
p6,1,0.028622,4.790191,[15 52] ; [41 66],[21.56321839 45.43678161] ; [34.43678161 72.56321839],0
r4,1,0.030972,4.654531,[54 14] ; [99 10],[58.77966102  9.22033898] ; [94.22033898 14.77966102],0
p2,1,0.031692,4.615081,[42 26] ; [83 25],[48.29545455 19.70454545] ; [76.70454545 31.29545455],0
s7,1,0.036701,4.364217,[20 45] ; [48 54],[26.46706587 38.53293413] ; [41.53293413 60.46706587],0
a3,1,0.03741,4.33163,[27 40] ; [61 47],[33.69142857 33.30857143] ; [54.30857143 53.69142857],0
n2,1,0.043002,4.09533,[14  7] ; [21  2],[16.70454545  4.29545455] ; [18.29545455  4.70454545],0
p8,1,0.045254,4.009138,[26 42] ; [57 49],[32.43678161 35.56321839] ; [50.56321839 55.43678161],0
p7,1,0.049806,3.847991,[31 36] ; [64 40],[37.22222222 29.77777778] ; [57.77777778 46.22222222],0
r3,1,0.060227,3.53112,[56 12] ; [100   9],[59.93220339  8.06779661] ; [96.06779661 12.93220339],0
a2,1,0.076099,3.146316,[ 2 66] ; [11 98],[ 4.99435028 63.00564972] ; [  8.00564972 100.99435028],0
s6,1,0.077732,3.111689,[31 36] ; [63 42],[36.61627907 30.38372093] ; [57.38372093 47.61627907],0
p11,1,0.127291,2.325232,[46 22] ; [85 24],[50.32768362 17.67231638] ; [80.67231638 28.32768362],0
d1,1,0.154205,2.030157,[ 2 66] ; [  9 100],[ 4.2259887 63.7740113] ; [  6.7740113 102.2259887],0
v1,1,0.186854,1.742248,[26 41] ; [52 54],[30.20809249 36.79190751] ; [47.79190751 58.20809249],0
p5,1,0.194013,1.686878,[ 5 62] ; [15 93],[ 7.65714286 59.34285714] ; [12.34285714 95.65714286],0
u3,1,0.204818,1.607685,[18 23] ; [27 20],[20.96590909 20.03409091] ; [24.03409091 22.96590909],0
s4,1,0.274216,1.195534,[ 9 59] ; [21 86],[11.65714286 56.34285714] ; [18.34285714 88.65714286],0
a4,1,0.284335,1.146252,[11 56] ; [25 83],[13.78285714 53.21714286] ; [22.21714286 85.78285714],0
a1,1,0.298674,1.080107,[ 4 64] ; [  3 106],[ 2.68926554 65.31073446] ; [  4.31073446 104.68926554],0
p3,1,0.335407,0.92791,[24 44] ; [46 62],[27.04545455 40.95454545] ; [42.95454545 65.04545455],0
s5,1,0.409087,0.681452,[15 50] ; [30 74],[17.30769231 47.69230769] ; [27.69230769 76.30769231],0
n1,1,0.416433,0.660359,[ 7 14] ; [10 12],[ 8.30232558 12.69767442] ; [ 8.69767442 13.30232558],0
n3,1,0.470358,0.521135,[13  6] ; [18  5],[14.02380952  4.97619048] ; [16.97619048  6.02380952],0
b2,1,0.477316,0.504991,[20 26] ; [22 38],[18.22641509 27.77358491] ; [23.77358491 36.22641509],0
b3,1,0.477316,0.504991,[20 26] ; [22 38],[18.22641509 27.77358491] ; [23.77358491 36.22641509],0
u1,1,0.584709,0.298683,[ 2 66] ; [  5 104],[ 2.68926554 65.31073446] ; [  4.31073446 104.68926554],0
s3,1,0.648314,0.208032,[36 30] ; [61 44],[37.43859649 28.56140351] ; [59.56140351 45.43859649],0
n5,1,0.65535,0.199222,[45 22] ; [76 32],[46.32571429 20.67428571] ; [74.67428571 33.32571429],0
b1,1,0.673596,0.177424,[29 39] ; [43 66],[27.66101695 40.33898305] ; [44.33898305 64.66101695],0
d2,1,0.695137,0.153581,[18 50] ; [26 83],[16.9039548 51.0960452] ; [27.0960452 81.9039548],0
n4,1,0.746467,0.104524,[45 23] ; [74 34],[45.97727273 22.02272727] ; [73.02272727 34.97727273],0
s1,1,0.749488,0.101962,[ 3 63] ; [  6 100],[ 3.45348837 62.54651163] ; [  5.54651163 100.45348837],0
p12,1,0.787784,0.072463,[ 5 63] ; [ 9 97],[ 5.47126437 62.52873563] ; [ 8.52873563 97.47126437],0
s8,1,0.841027,0.040232,[20 48] ; [33 74],[20.59428571 47.40571429] ; [32.40571429 74.59428571],0
a8,1,0.887813,0.019901,[ 7 57] ; [12 91],[ 7.28143713 56.71856287] ; [11.71856287 91.28143713],0
b4,1,0.896315,0.016983,[38 30] ; [62 47],[38.4180791 29.5819209] ; [61.5819209 47.4180791],0
p1,1,0.902085,0.015136,[ 9 59] ; [15 93],[ 9.27272727 58.72727273] ; [14.72727273 93.27272727],0
u2,1,0.90958,0.012898,[20 21] ; [23 23],[20.26436782 20.73563218] ; [22.73563218 23.26436782],0
