Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.001126,10.608032,[44 81] ; [13  4],[50.17605634 74.82394366] ; [ 6.82394366 10.17605634],0
s5,1,0.001562,10.003642,[21 98] ; [8 7],[25.75373134 93.24626866] ; [ 3.24626866 11.75373134],0
p4,1,0.004066,8.253915,[57 69] ; [14  3],[62.55944056 63.44055944] ; [8.44055944 8.55944056],0
p3,1,0.014637,5.959696,[50 77] ; [12  5],[54.68055556 72.31944444] ; [7.31944444 9.68055556],0
s6,1,0.025443,4.993459,[59 65] ; [13  4],[63.31914894 60.68085106] ; [8.68085106 8.31914894],0
p7,1,0.025499,4.989679,[60 66] ; [13  4],[64.32167832 61.67832168] ; [8.67832168 8.32167832],0
d4,1,0.025537,4.987089,[87 41] ; [16  1],[90.92413793 37.07586207] ; [12.07586207  4.92413793],0
v1,1,0.02616,4.945397,[49 75] ; [11  5],[53.14285714 70.85714286] ; [6.85714286 9.14285714],0
p12,1,0.029473,4.739742,[  6 121] ; [ 3 13],[  7.99300699 119.00699301] ; [ 1.00699301 14.99300699],0
s7,1,0.062276,3.475711,[43 79] ; [9 6],[46.30656934 75.69343066] ; [5.69343066 9.30656934],0
s1,1,0.095044,2.786797,[  4 123] ; [ 2 15],[  5.29166667 121.70833333] ; [ 0.70833333 16.29166667],0
r4,1,0.099346,2.716016,[71 57] ; [13  4],[74.15172414 53.84827586] ; [9.84827586 7.15172414],0
u3,1,0.10412,2.64127,[12 33] ; [4 3],[13.84615385 31.15384615] ; [2.15384615 4.84615385],0
p9,1,0.112963,2.512275,[97 28] ; [16  1],[99.47183099 25.52816901] ; [13.52816901  3.47183099],0
r3,1,0.118584,2.43593,[99 28] ; [16  1],[101.42361111  25.57638889] ; [13.57638889  3.42361111],0
p10,1,0.120934,2.405185,[86 39] ; [14  2],[88.65248227 36.34751773] ; [11.34751773  4.65248227],0
n3,1,0.128066,2.315789,[30  8] ; [3 3],[28.5  9.5] ; [4.5 1.5],0
n2,1,0.128066,2.315789,[30  8] ; [3 3],[28.5  9.5] ; [4.5 1.5],0
n1,1,0.143385,2.14125,[18 19] ; [1 5],[16.34883721 20.65116279] ; [2.65116279 3.34883721],0
u2,1,0.149317,2.079214,[19 26] ; [5 2],[20.76923077 24.23076923] ; [3.23076923 3.76923077],0
p2,1,0.159159,1.982201,[90 37] ; [14  2],[92.36363636 34.63636364] ; [11.63636364  4.36363636],0
b5,1,0.174609,1.842924,[82 46] ; [8 9],[79.44827586 48.55172414] ; [10.55172414  6.44827586],0
a1,1,0.182351,1.778359,[ 10 118] ; [ 3 14],[ 11.47586207 116.52413793] ; [ 1.52413793 15.47586207],0
s4,1,0.255795,1.291375,[ 21 107] ; [ 1 16],[ 19.42068966 108.57931034] ; [ 2.57931034 14.42068966],0
p11,1,0.300327,1.07274,[90 38] ; [14  3],[91.80689655 36.19310345] ; [12.19310345  4.80689655],0
s8,1,0.301183,1.06895,[37 91] ; [ 7 10],[38.84137931 89.15862069] ; [ 5.15862069 11.84137931],0
d3,1,0.307594,1.040978,[66 62] ; [11  6],[67.97241379 60.02758621] ; [9.02758621 7.97241379],0
b2,1,0.309841,1.031353,[28 55] ; [5 5],[29.4516129 53.5483871] ; [3.5483871 6.4516129],0
b3,1,0.309841,1.031353,[28 55] ; [5 5],[29.4516129 53.5483871] ; [3.5483871 6.4516129],0
d2,1,0.348575,0.878639,[52 74] ; [ 5 12],[50.22377622 75.77622378] ; [ 6.77622378 10.22377622],0
v4,1,0.359263,0.840469,[100  27] ; [15  2],[101.42361111  25.57638889] ; [13.57638889  3.42361111],0
a2,1,0.384713,0.755587,[ 17 111] ; [ 1 16],[ 15.88965517 112.11034483] ; [ 2.11034483 14.88965517],0
d1,1,0.400676,0.706295,[54 74] ; [9 8],[55.6137931 72.3862069] ; [7.3862069 9.6137931],0
a7,1,0.47036,0.521131,[71 57] ; [11  6],[72.3862069 55.6137931] ; [9.6137931 7.3862069],0
n6,1,0.496906,0.461538,[103  25] ; [14  2],[104.  24.] ; [13.  3.],0
p6,1,0.517747,0.418379,[39 84] ; [6 9],[40.10869565 82.89130435] ; [ 4.89130435 10.10869565],0
v3,1,0.522435,0.409083,[42 84] ; [ 7 10],[43.17482517 82.82517483] ; [ 5.82517483 11.17482517],0
v2,1,0.52338,0.407228,[55 68] ; [9 8],[56.22857143 66.77142857] ; [7.77142857 9.22857143],0
a4,1,0.540303,0.374979,[47 80] ; [ 5 12],[45.86111111 81.13888889] ; [ 6.13888889 10.86111111],0
n5,1,0.563613,0.333488,[105  22] ; [15  2],[105.83333333  21.16666667] ; [14.16666667  2.83333333],0
a6,1,0.569386,0.323711,[77 51] ; [9 8],[75.91724138 52.08275862] ; [10.08275862  6.91724138],0
b1,1,0.629819,0.232307,[53 75] ; [ 6 11],[52.08275862 75.91724138] ; [ 6.91724138 10.08275862],0
s3,1,0.640362,0.218269,[59 66] ; [ 7 10],[58.09859155 66.90140845] ; [7.90140845 9.09859155],0
a3,1,0.67344,0.177605,[82 46] ; [10  7],[81.2137931 46.7862069] ; [10.7862069  6.2137931],0
s2,1,0.817812,0.053065,[49 79] ; [ 7 10],[49.43448276 78.56551724] ; [ 6.56551724 10.43448276],0
p1,1,0.837885,0.041861,[ 13 115] ; [ 2 15],[ 13.24137931 114.75862069] ; [ 1.75862069 15.24137931],0
r2,1,0.858595,0.031742,[96 25] ; [13  3],[96.27007299 24.72992701] ; [12.72992701  3.27007299],0
d5,1,0.911863,0.012252,[92 36] ; [12  5],[91.80689655 36.19310345] ; [12.19310345  4.80689655],0
a5,1,0.936765,0.006294,[74 54] ; [10  7],[74.15172414 53.84827586] ; [9.84827586 7.15172414],0
b4,1,0.98558,0.000327,[75 53] ; [10  7],[75.03448276 52.96551724] ; [9.96551724 7.03448276],0
