Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,32.785714,[42 60] ; [58 10],[60. 42.] ; [40. 28.],1
v1,1,1.3e-05,19.067873,[38 66] ; [48 20],[52. 52.] ; [34. 34.],1
r1,1,0.000169,14.146436,[67 37] ; [62  7],[77.54913295 26.45086705] ; [51.45086705 17.54913295],1
s8,1,0.000188,13.942583,[14 91] ; [26 43],[24.13793103 80.86206897] ; [15.86206897 53.13793103],1
n4,1,0.000205,13.785487,[66 39] ; [61  8],[76.63793103 28.36206897] ; [50.36206897 18.63793103],1
n5,1,0.00071,11.463751,[61 44] ; [57 12],[71.20689655 33.79310345] ; [46.79310345 22.20689655],1
p10,1,0.001377,10.236199,[68 37] ; [59  9],[77.08092486 27.91907514] ; [49.91907514 18.08092486],0
r4,1,0.002253,9.330735,[83 22] ; [66  3],[89.9137931 15.0862069] ; [59.0862069  9.9137931],0
p3,1,0.002514,9.130248,[48 57] ; [47 21],[57.65895954 47.34104046] ; [37.34104046 30.65895954],0
p11,1,0.003449,8.553146,[77 28] ; [63  6],[84.48275862 20.51724138] ; [55.51724138 13.48275862],0
p1,1,0.004295,8.15449,[  3 102] ; [10 59],[ 7.84482759 97.15517241] ; [ 5.15517241 63.84482759],0
s7,1,0.005917,7.575383,[19 79] ; [25 39],[26.61728395 71.38271605] ; [17.38271605 46.61728395],0
p9,1,0.00726,7.207425,[72 32] ; [60  9],[79.35260116 24.64739884] ; [52.64739884 16.35260116],0
a5,1,0.008539,6.91677,[62 43] ; [54 15],[70. 35.] ; [46. 23.],0
r3,1,0.019797,5.429719,[91 14] ; [67  2],[95.34482759  9.65517241] ; [62.65517241  6.34482759],0
p12,1,0.024622,5.050246,[  1 104] ; [ 5 63],[  3.6416185 101.3583815] ; [ 2.3583815 65.6416185],0
u1,1,0.026495,4.923428,[ 7 98] ; [12 57],[11.46551724 93.53448276] ; [ 7.53448276 61.46551724],0
p2,1,0.0307,4.669683,[84 20] ; [63  5],[88.88372093 15.11627907] ; [58.11627907  9.88372093],0
p5,1,0.051704,3.785315,[ 4 99] ; [ 8 61],[ 7.18604651 95.81395349] ; [ 4.81395349 64.18604651],0
r2,1,0.051849,3.780642,[90 14] ; [65  3],[93.72093023 10.27906977] ; [61.27906977  6.72093023],0
d1,1,0.057222,3.616114,[50 55] ; [43 26],[56.12068966 48.87931034] ; [36.87931034 32.12068966],0
d4,1,0.060235,3.530901,[71 33] ; [56 13],[76.34682081 27.65317919] ; [50.65317919 18.34682081],0
s5,1,0.07102,3.259296,[11 94] ; [14 55],[15.0862069 89.9137931] ; [ 9.9137931 59.0862069],0
p4,1,0.072397,3.227827,[56 49] ; [45 22],[61.65697674 43.34302326] ; [39.34302326 27.65697674],0
d5,1,0.126604,2.333661,[72 32] ; [55 14],[76.34682081 27.65317919] ; [50.65317919 18.34682081],0
p8,1,0.137213,2.208934,[58 46] ; [45 22],[62.64327485 41.35672515] ; [40.35672515 26.64327485],0
a3,1,0.143917,2.135569,[67 37] ; [51 17],[71.34883721 32.65116279] ; [46.65116279 21.34883721],0
b5,1,0.144501,2.12936,[65 40] ; [35 34],[60.34482759 44.65517241] ; [39.65517241 29.34482759],0
s4,1,0.203982,1.613631,[10 95] ; [ 3 66],[ 7.84482759 97.15517241] ; [ 5.15517241 63.84482759],0
d2,1,0.228109,1.452615,[45 60] ; [36 33],[48.87931034 56.12068966] ; [32.12068966 36.87931034],0
a8,1,0.23882,1.387548,[10 86] ; [10 49],[12.38709677 83.61290323] ; [ 7.61290323 51.38709677],0
n6,1,0.252676,1.308448,[80 24] ; [58 11],[82.95953757 21.04046243] ; [55.04046243 13.95953757],0
a4,1,0.274526,1.193991,[37 68] ; [30 39],[40.43103448 64.56896552] ; [26.56896552 42.43103448],0
b3,1,0.31004,1.030507,[19 37] ; [23 30],[21.57798165 34.42201835] ; [20.42201835 32.57798165],0
b2,1,0.31004,1.030507,[19 37] ; [23 30],[21.57798165 34.42201835] ; [20.42201835 32.57798165],0
a6,1,0.324015,0.972671,[67 38] ; [49 20],[70. 35.] ; [46. 23.],0
a7,1,0.339053,0.914008,[65 39] ; [48 21],[67.93063584 36.06936416] ; [45.06936416 23.93063584],0
a1,1,0.34536,0.890432,[  2 103] ; [ 3 66],[  3.01724138 101.98275862] ; [ 1.98275862 67.01724138],0
u3,1,0.349926,0.873726,[14 24] ; [9 9],[15.60714286 22.39285714] ; [ 7.39285714 10.60714286],0
n2,1,0.425556,0.634921,[20 10] ; [8 2],[21.  9.] ; [7. 3.],0
d3,1,0.428169,0.627786,[61 42] ; [45 24],[63.47674419 39.52325581] ; [42.52325581 26.47674419],0
n1,1,0.489399,0.477847,[10 19] ; [2 7],[ 9.15789474 19.84210526] ; [2.84210526 6.15789474],0
p6,1,0.514382,0.425144,[37 66] ; [27 39],[39.00591716 63.99408284] ; [24.99408284 41.00591716],0
u2,1,0.630677,0.231144,[18 19] ; [10  8],[18.83636364 18.16363636] ; [9.16363636 8.83636364],0
a2,1,0.650762,0.204941,[17 88] ; [13 56],[18.10344828 86.89655172] ; [11.89655172 57.10344828],0
s3,1,0.691331,0.157649,[32 72] ; [19 49],[30.8372093 73.1627907] ; [20.1627907 47.8372093],0
n3,1,0.697146,0.151457,[26  4] ; [9 2],[25.6097561  4.3902439] ; [9.3902439 1.6097561],0
b4,1,0.736101,0.113583,[56 49] ; [35 34],[54.9137931 50.0862069] ; [36.0862069 32.9137931],0
b1,1,0.810522,0.057481,[43 62] ; [27 42],[42.24137931 62.75862069] ; [27.75862069 41.24137931],0
s2,1,0.901259,0.015394,[22 83] ; [15 54],[22.32758621 82.67241379] ; [14.67241379 54.32758621],0
