Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3e-06,21.806852,[27 82] ; [19  7],[37.14074074 71.85925926] ; [ 8.85925926 17.14074074],1
s2,1,6.2e-05,16.042395,[  9 101] ; [10 16],[15.36764706 94.63235294] ; [ 3.63235294 22.36764706],1
s4,1,0.001736,9.809391,[  9 101] ; [ 8 18],[13.75 96.25] ; [ 3.25 22.75],0
a1,1,0.003914,8.323119,[  1 109] ; [ 3 23],[  3.23529412 106.76470588] ; [ 0.76470588 25.23529412],0
d2,1,0.013861,6.055749,[35 75] ; [15 11],[40.44117647 69.55882353] ; [ 9.55882353 16.44117647],0
s7,1,0.016677,5.730084,[20 86] ; [10 14],[24.46153846 81.53846154] ; [ 5.53846154 18.46153846],0
p5,1,0.018109,5.58554,[  4 106] ; [ 4 21],[  6.51851852 103.48148148] ; [ 1.48148148 23.51851852],0
u1,1,0.020502,5.368619,[  6 104] ; [ 5 21],[  8.89705882 101.10294118] ; [ 2.10294118 23.89705882],0
p6,1,0.02052,5.367081,[23 84] ; [11 14],[27.56060606 79.43939394] ; [ 6.43939394 18.56060606],0
s8,1,0.025449,4.993073,[17 93] ; [ 9 17],[21.02941176 88.97058824] ; [ 4.97058824 21.02941176],0
p12,1,0.029921,4.713843,[  1 109] ; [ 2 23],[  2.44444444 107.55555556] ; [ 0.55555556 24.44444444],0
p4,1,0.037356,4.334129,[37 73] ; [14 11],[41.55555556 68.44444444] ; [ 9.44444444 15.55555556],0
p10,1,0.073432,3.204598,[57 52] ; [18  7],[61.00746269 47.99253731] ; [13.99253731 11.00746269],0
n6,1,0.076974,3.127662,[64 46] ; [20  6],[67.94117647 42.05882353] ; [16.05882353  9.94117647],0
p11,1,0.081032,3.044077,[75 35] ; [13 13],[71.17647059 38.82352941] ; [16.82352941  9.17647059],0
p9,1,0.119411,2.425027,[64 44] ; [19  6],[67.39849624 40.60150376] ; [15.60150376  9.39849624],0
n1,1,0.144686,2.127405,[ 5 27] ; [4 7],[ 6.69767442 25.30232558] ; [2.30232558 8.69767442],0
a4,1,0.166856,1.910965,[35 75] ; [12 14],[38.01470588 71.98529412] ; [ 8.98529412 17.01470588],0
a6,1,0.170266,1.880597,[67 43] ; [12 14],[63.89705882 46.10294118] ; [15.10294118 10.89705882],0
p1,1,0.177363,1.819586,[  5 104] ; [ 3 23],[  6.45925926 102.54074074] ; [ 1.54074074 24.45925926],0
b4,1,0.263845,1.248468,[63 47] ; [18  8],[65.51470588 44.48529412] ; [15.48529412 10.51470588],0
d5,1,0.306558,1.045447,[82 27] ; [22  4],[83.97037037 25.02962963] ; [20.02962963  5.97037037],0
r4,1,0.361448,0.832856,[84 26] ; [22  4],[85.73529412 24.26470588] ; [20.26470588  5.73529412],0
b1,1,0.401802,0.702927,[48 62] ; [ 9 17],[46.10294118 63.89705882] ; [10.89705882 15.10294118],0
v4,1,0.409821,0.679321,[95 15] ; [24  2],[96.25 13.75] ; [22.75  3.25],0
d3,1,0.415453,0.663141,[75 34] ; [20  6],[76.7037037 32.2962963] ; [18.2962963  7.7037037],0
n4,1,0.430545,0.621352,[43 67] ; [ 8 18],[41.25 68.75] ; [ 9.75 16.25],0
n2,1,0.470358,0.521135,[18 13] ; [5 6],[16.97619048 14.02380952] ; [6.02380952 4.97619048],0
p3,1,0.488587,0.479638,[36 74] ; [10 15],[37.48148148 72.51851852] ; [ 8.51851852 16.48148148],0
a5,1,0.500933,0.45296,[64 46] ; [17  9],[65.51470588 44.48529412] ; [15.48529412 10.51470588],0
r1,1,0.517334,0.419205,[75 35] ; [16 10],[73.60294118 36.39705882] ; [17.39705882  8.60294118],0
r3,1,0.54585,0.364805,[97 13] ; [24  2],[97.86764706 12.13235294] ; [23.13235294  2.86764706],0
a3,1,0.573406,0.317016,[70 40] ; [15 11],[68.75 41.25] ; [16.25  9.75],0
r2,1,0.589304,0.291432,[91 17] ; [23  3],[91.88059701 16.11940299] ; [22.11940299  3.88059701],0
d4,1,0.59041,0.289704,[88 22] ; [22  4],[88.97058824 21.02941176] ; [21.02941176  4.97058824],0
p8,1,0.593041,0.28562,[46 64] ; [ 9 16],[44.81481481 65.18518519] ; [10.18518519 14.81481481],0
v1,1,0.599369,0.275948,[36 73] ; [10 16],[37.14074074 71.85925926] ; [ 8.85925926 17.14074074],0
a2,1,0.620935,0.244555,[13 97] ; [ 4 22],[13.75 96.25] ; [ 3.25 22.75],0
v3,1,0.621074,0.244361,[27 77] ; [ 8 18],[28. 76.] ; [ 7. 19.],0
b5,1,0.634698,0.225743,[69 41] ; [15 11],[67.94117647 42.05882353] ; [16.05882353  9.94117647],0
s1,1,0.76137,0.092223,[  3 107] ; [ 1 25],[  3.23529412 106.76470588] ; [ 0.76470588 25.23529412],0
p2,1,0.775247,0.081521,[76 34] ; [18  7],[76.59259259 33.40740741] ; [17.40740741  7.59259259],0
u2,1,0.789412,0.071329,[20 20] ; [5 6],[19.60784314 20.39215686] ; [5.39215686 5.60784314],0
v2,1,0.83065,0.04574,[51 56] ; [13 13],[51.4887218 55.5112782] ; [12.5112782 13.4887218],0
d1,1,0.852305,0.034662,[57 53] ; [14 12],[57.42647059 52.57352941] ; [13.57352941 12.42647059],0
n3,1,0.904973,0.014252,[21 11] ; [7 4],[20.8372093 11.1627907] ; [7.1627907 3.8372093],0
b3,1,0.92568,0.008702,[17 44] ; [ 4 11],[16.85526316 44.14473684] ; [ 4.14473684 10.85526316],0
b2,1,0.92568,0.008702,[17 44] ; [ 4 11],[16.85526316 44.14473684] ; [ 4.14473684 10.85526316],0
a8,1,0.926085,0.008606,[ 8 95] ; [ 2 22],[ 8.11023622 94.88976378] ; [ 1.88976378 22.11023622],0
a7,1,0.933345,0.006995,[83 26] ; [20  6],[83.16296296 25.83703704] ; [19.83703704  6.16296296],0
u3,1,0.978594,0.00072,[22 18] ; [6 5],[21.96078431 18.03921569] ; [6.03921569 4.96078431],0
p7,1,0.986897,0.00027,[53 57] ; [12 13],[52.96296296 57.03703704] ; [12.03703704 12.96296296],0
