Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3e-06,21.580456,[41  7] ; [1 8],[35.36842105 12.63157895] ; [6.63157895 2.36842105],1
r1,1,0.000307,13.026969,[45  4] ; [4 5],[41.39655172  7.60344828] ; [7.60344828 1.39655172],1
n4,1,0.000661,11.595616,[48  1] ; [6 3],[45.62068966  3.37931034] ; [8.37931034 0.62068966],1
a3,1,0.002316,9.280376,[43  6] ; [4 5],[39.70689655  9.29310345] ; [7.29310345 1.70689655],0
p7,1,0.003076,8.761927,[41  6] ; [4 5],[37.76785714  9.23214286] ; [7.23214286 1.76785714],0
s3,1,0.004533,8.056731,[46  2] ; [6 3],[43.78947368  4.21052632] ; [8.21052632 0.78947368],0
r2,1,0.011981,6.313722,[48  1] ; [7 2],[46.46551724  2.53448276] ; [8.53448276 0.46551724],0
p6,1,0.045534,3.998761,[37 11] ; [4 5],[34.52631579 13.47368421] ; [6.47368421 2.52631579],0
p1,1,0.13221,2.266356,[18 31] ; [1 8],[16.05172414 32.94827586] ; [2.94827586 6.05172414],0
r4,1,0.170465,1.878847,[48  1] ; [8 1],[47.31034483  1.68965517] ; [8.68965517 0.31034483],0
d3,1,0.178339,1.811409,[37 11] ; [5 4],[35.36842105 12.63157895] ; [6.63157895 2.36842105],0
a7,1,0.22893,1.447495,[34 15] ; [8 1],[35.48275862 13.51724138] ; [6.51724138 2.48275862],0
n2,1,0.23568,1.40625,[7 1] ; [1 1],[6.4 1.6] ; [1.6 0.4],0
v3,1,0.254763,1.296997,[31 17] ; [4 5],[29.47368421 18.52631579] ; [5.52631579 3.47368421],0
p3,1,0.324732,0.969792,[39  9] ; [6 3],[37.89473684 10.10526316] ; [7.10526316 1.89473684],0
b1,1,0.411821,0.673538,[20 29] ; [5 4],[21.12068966 27.87931034] ; [3.87931034 5.12068966],0
p8,1,0.424962,0.636553,[43  6] ; [7 2],[42.24137931  6.75862069] ; [7.75862069 1.24137931],0
p12,1,0.463719,0.536904,[17 32] ; [2 7],[16.05172414 32.94827586] ; [2.94827586 6.05172414],0
b4,1,0.481384,0.495726,[28 21] ; [4 5],[27.03448276 21.96551724] ; [4.96551724 4.03448276],0
b5,1,0.481384,0.495726,[21 28] ; [5 4],[21.96551724 27.03448276] ; [4.03448276 4.96551724],0
v2,1,0.514062,0.425791,[27 21] ; [4 5],[26.10526316 21.89473684] ; [4.89473684 4.10526316],0
p11,1,0.54556,0.365331,[42  7] ; [7 2],[41.39655172  7.60344828] ; [7.60344828 1.39655172],0
s4,1,0.596325,0.280574,[ 9 40] ; [1 8],[ 8.44827586 40.55172414] ; [1.55172414 7.44827586],0
a1,1,0.596325,0.280574,[ 9 40] ; [1 8],[ 8.44827586 40.55172414] ; [1.55172414 7.44827586],0
p4,1,0.600349,0.274469,[45  3] ; [8 1],[44.63157895  3.36842105] ; [8.36842105 0.63157895],0
u2,1,0.621014,0.244444,[4 2] ; [4 1],[4.36363636 1.63636364] ; [3.63636364 1.36363636],0
a5,1,0.67471,0.176142,[36 13] ; [6 3],[35.48275862 13.51724138] ; [6.51724138 2.48275862],0
d1,1,0.67471,0.176142,[36 13] ; [6 3],[35.48275862 13.51724138] ; [6.51724138 2.48275862],0
a2,1,0.786281,0.073519,[ 9 40] ; [2 7],[ 9.29310345 39.70689655] ; [1.70689655 7.29310345],0
u1,1,0.786281,0.073519,[ 9 40] ; [2 7],[ 9.29310345 39.70689655] ; [1.70689655 7.29310345],0
d5,1,0.808609,0.058671,[39  9] ; [7 2],[38.73684211  9.26315789] ; [7.26315789 1.73684211],0
u3,1,0.818971,0.052381,[4 2] ; [3 2],[3.81818182 2.18181818] ; [3.18181818 1.81818182],0
a8,1,0.823965,0.049483,[ 7 38] ; [1 7],[ 6.79245283 38.20754717] ; [1.20754717 6.79245283],0
s5,1,0.837762,0.041925,[36 10] ; [6 2],[35.77777778 10.22222222] ; [6.22222222 1.77777778],0
b3,1,0.877245,0.023859,[17 20] ; [2 2],[17.14634146 19.85365854] ; [1.85365854 2.14634146],0
b2,1,0.877245,0.023859,[17 20] ; [2 2],[17.14634146 19.85365854] ; [1.85365854 2.14634146],0
a4,1,0.890329,0.019013,[23 26] ; [4 5],[22.81034483 26.18965517] ; [4.18965517 4.81034483],0
v1,1,0.925277,0.008796,[38 10] ; [7 2],[37.89473684 10.10526316] ; [7.10526316 1.89473684],0
a6,1,0.969267,0.001484,[27 21] ; [5 4],[26.94736842 21.05263158] ; [5.05263158 3.94736842],0
d2,1,0.969267,0.001484,[27 21] ; [5 4],[26.94736842 21.05263158] ; [5.05263158 3.94736842],0
n3,1,1.0,0.0,[4 4] ; [1 1],[4. 4.] ; [1. 1.],0
