Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.003267,8.651986,[5 1] ; [ 6 22],[1.94117647 4.05882353] ; [ 9.05882353 18.94117647],0
a6,1,0.00666,7.362374,[5 1] ; [ 7 21],[2.11764706 3.88235294] ; [ 9.88235294 18.11764706],0
u3,1,0.042522,4.114286,[2 2] ; [ 1 13],[0.66666667 3.33333333] ; [ 2.33333333 11.66666667],0
a7,1,0.047725,3.919631,[4 2] ; [ 7 21],[1.94117647 4.05882353] ; [ 9.05882353 18.94117647],0
s2,1,0.047725,3.919631,[4 2] ; [ 7 21],[1.94117647 4.05882353] ; [ 9.05882353 18.94117647],0
s5,1,0.07077,3.265079,[2 4] ; [ 2 26],[0.70588235 5.29411765] ; [ 3.29411765 24.70588235],0
p6,1,0.078403,3.097701,[2 4] ; [ 2 25],[0.72727273 5.27272727] ; [ 3.27272727 23.72727273],0
p8,1,0.088029,2.910053,[4 2] ; [ 8 19],[2.18181818 3.81818182] ; [ 9.81818182 17.18181818],0
b5,1,0.100271,2.701224,[5 1] ; [13 15],[3.17647059 2.82352941] ; [14.82352941 13.17647059],0
p9,1,0.158147,1.991855,[5 1] ; [14 13],[3.45454545 2.54545455] ; [15.54545455 11.45454545],0
p12,1,0.216037,1.530506,[1 5] ; [ 1 27],[0.35294118 5.64705882] ; [ 1.64705882 26.35294118],0
d4,1,0.220273,1.50259,[4 2] ; [11 17],[2.64705882 3.35294118] ; [12.35294118 15.64705882],0
v2,1,0.287416,1.131687,[2 4] ; [ 4 23],[1.09090909 4.90909091] ; [ 4.90909091 22.09090909],0
p7,1,0.288986,1.124339,[4 2] ; [12 16],[2.82352941 3.17647059] ; [13.17647059 14.82352941],0
p4,1,0.406186,0.689935,[3 3] ; [ 9 19],[2.11764706 3.88235294] ; [ 9.88235294 18.11764706],0
a3,1,0.411654,0.67402,[2 4] ; [14 13],[2.90909091 3.09090909] ; [13.09090909 13.90909091],0
v3,1,0.455434,0.557092,[1 5] ; [ 2 26],[0.52941176 5.47058824] ; [ 2.47058824 25.52941176],0
b4,1,0.45794,0.550926,[4 2] ; [14 14],[3.17647059 2.82352941] ; [14.82352941 13.17647059],0
n4,1,0.45794,0.550926,[2 4] ; [14 14],[2.82352941 3.17647059] ; [13.17647059 14.82352941],0
n6,1,0.509756,0.434568,[4 2] ; [14 13],[3.27272727 2.72727273] ; [14.72727273 12.27272727],0
n5,1,0.513464,0.427002,[3 3] ; [18 10],[3.70588235 2.29411765] ; [17.29411765 10.70588235],0
a5,1,0.513464,0.427002,[3 3] ; [10 18],[2.29411765 3.70588235] ; [10.70588235 17.29411765],0
s8,1,0.532723,0.389194,[2 4] ; [ 6 22],[1.41176471 4.58823529] ; [ 6.58823529 21.41176471],0
a8,1,0.60524,0.267165,[1 4] ; [ 3 23],[0.64516129 4.35483871] ; [ 3.35483871 22.64516129],0
r1,1,0.674576,0.176296,[2 4] ; [ 7 21],[1.58823529 4.41176471] ; [ 7.41176471 20.58823529],0
s3,1,0.674576,0.176296,[2 4] ; [ 7 21],[1.58823529 4.41176471] ; [ 7.41176471 20.58823529],0
v1,1,0.674576,0.176296,[2 4] ; [ 7 21],[1.58823529 4.41176471] ; [ 7.41176471 20.58823529],0
a1,1,0.681314,0.168651,[1 5] ; [ 3 25],[0.70588235 5.29411765] ; [ 3.29411765 24.70588235],0
p2,1,0.749139,0.102256,[3 3] ; [16 12],[3.35294118 2.64705882] ; [15.64705882 12.35294118],0
b1,1,0.785413,0.074132,[4 2] ; [17 11],[3.70588235 2.29411765] ; [17.29411765 10.70588235],0
s7,1,0.91528,0.011317,[1 5] ; [ 5 22],[1.09090909 4.90909091] ; [ 4.90909091 22.09090909],0
p3,1,0.944658,0.004819,[1 5] ; [ 5 23],[1.05882353 4.94117647] ; [ 4.94117647 23.05882353],0
d2,1,0.944658,0.004819,[1 5] ; [ 5 23],[1.05882353 4.94117647] ; [ 4.94117647 23.05882353],0
