Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,175.497447,[304  55] ; [ 39 118],[238.6375969 120.3624031] ; [104.3624031  52.6375969],1
s7,1,0.0,47.669729,[252  95] ; [59 89],[218.01414141 128.98585859] ; [92.98585859 55.01414141],1
s8,1,0.0,39.032263,[236 122] ; [ 57 100],[203.6776699 154.3223301] ; [89.3223301 67.6776699],1
d2,1,0.001765,9.779262,[199 160] ; [64 94],[182.62475822 176.37524178] ; [80.37524178 77.62475822],0
a3,1,0.002987,8.815137,[278  80] ; [103  55],[264.3372093  93.6627907] ; [116.6627907  41.3372093],0
r2,1,0.011888,6.327535,[347  10] ; [144  12],[341.69005848  15.30994152] ; [149.30994152   6.69005848],0
b1,1,0.014401,5.988319,[145 214] ; [ 46 112],[132.62862669 226.37137331] ; [58.37137331 99.62862669],0
a2,1,0.017028,5.693445,[104 255] ; [ 30 128],[ 93.0483559 265.9516441] ; [ 40.9516441 117.0483559],0
r1,1,0.0223,5.222257,[305  52] ; [122  36],[295.99805825  61.00194175] ; [131.00194175  26.99805825],0
p2,1,0.022864,5.178841,[311  47] ; [124  33],[302.38834951  55.61165049] ; [132.61165049  24.38834951],0
s5,1,0.03696,4.352261,[165 182] ; [59 98],[154.22222222 192.77777778] ; [69.77777778 87.22222222],0
d1,1,0.044542,4.035886,[229 130] ; [86 72],[218.73307544 140.26692456] ; [96.26692456 61.73307544],0
u4,1,0.068256,3.324475,[ 16 343] ; [  2 156],[ 12.49903288 346.50096712] ; [  5.50096712 152.49903288],0
a4,1,0.069264,3.300369,[177 181] ; [64 93],[167.53009709 190.46990291] ; [73.46990291 83.53009709],0
r3,1,0.069396,3.297257,[349   9] ; [149   9],[345.51162791  12.48837209] ; [152.48837209   5.51162791],0
p1,1,0.072151,3.233388,[ 38 319] ; [  9 149],[ 32.58058252 324.41941748] ; [ 14.41941748 143.58058252],0
s1,1,0.098834,2.724252,[ 18 337] ; [  3 153],[ 14.5890411 340.4109589] ; [  6.4109589 149.5890411],0
s4,1,0.100715,2.694189,[ 83 272] ; [ 26 128],[ 76.021611 278.978389] ; [ 32.978389 121.021611],0
n4,1,0.104932,2.628933,[302  56] ; [124  34],[295.55813953  62.44186047] ; [130.44186047  27.55813953],0
v4,1,0.105144,2.625731,[349  10] ; [149   9],[345.8065764  13.1934236] ; [152.1934236   5.8065764],0
a1,1,0.117655,2.448261,[ 17 342] ; [ 13 145],[ 20.83172147 338.16827853] ; [  9.16827853 148.83172147],0
p11,1,0.119003,2.430393,[294  65] ; [120  38],[287.47775629  71.52224371] ; [126.52224371  31.47775629],0
r4,1,0.126271,2.337764,[340  19] ; [144  14],[336.08510638  22.91489362] ; [147.91489362  10.08510638],0
u3,1,0.143784,2.13699,[53 27] ; [29 25],[48.95522388 31.04477612] ; [33.04477612 20.95522388],0
p7,1,0.176915,1.823348,[237 111] ; [96 59],[230.38568588 117.61431412] ; [102.61431412  52.38568588],0
a8,1,0.230088,1.440315,[ 52 282] ; [ 16 125],[ 47.81473684 286.18526316] ; [ 20.18526316 120.81473684],0
p9,1,0.236333,1.402334,[319  37] ; [135  22],[315.05653021  40.94346979] ; [138.94346979  18.05653021],0
