Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1.1e-05,19.258244,[10 51] ; [60 60],[23.59116022 37.40883978] ; [46.40883978 73.59116022],1
a3,1,1.6e-05,18.571429,[26 34] ; [91 29],[39. 21.] ; [78. 42.],1
d1,1,3.9e-05,16.902499,[20 41] ; [78 42],[33.02762431 27.97237569] ; [64.97237569 55.02762431],1
r1,1,7.2e-05,15.756538,[34 27] ; [99 20],[45.07222222 15.92777778] ; [87.92777778 31.07222222],1
d5,1,7.6e-05,15.644203,[35 25] ; [102  18],[45.66666667 14.33333333] ; [91.33333333 28.66666667],1
r4,1,0.000221,13.640106,[44 17] ; [111   9],[52.23756906  8.76243094] ; [102.76243094  17.23756906],1
a6,1,0.000602,11.770791,[29 32] ; [88 32],[39.43093923 21.56906077] ; [77.56906077 42.43093923],1
p4,1,0.00063,11.684304,[16 45] ; [63 56],[26.77222222 34.22777778] ; [52.22777778 66.77222222],1
a4,1,0.000819,11.198122,[12 49] ; [54 66],[22.24309392 38.75690608] ; [43.75690608 76.24309392],1
s6,1,0.001321,10.313027,[27 33] ; [83 36],[36.87150838 23.12849162] ; [73.12849162 45.87150838],0
p3,1,0.002084,9.473717,[15 46] ; [58 62],[24.60220994 36.39779006] ; [48.39779006 71.60220994],0
u1,1,0.005572,7.683809,[ 1 60] ; [ 18 102],[ 6.40331492 54.59668508] ; [ 12.59668508 107.40331492],0
s7,1,0.006783,7.329543,[14 46] ; [52 66],[22.24719101 37.75280899] ; [43.75280899 74.24719101],0
r3,1,0.012478,6.241689,[54  7] ; [117   3],[57.62983425  3.37016575] ; [113.37016575   6.62983425],0
p6,1,0.01356,6.094578,[ 9 48] ; [40 79],[15.86931818 41.13068182] ; [33.13068182 85.86931818],0
s8,1,0.018843,5.516071,[16 45] ; [53 67],[23.25414365 37.74585635] ; [45.74585635 74.25414365],0
p7,1,0.023902,5.101765,[27 32] ; [75 43],[34. 25.] ; [68. 50.],0
p10,1,0.029548,4.735376,[44 15] ; [105  15],[49.11173184  9.88826816] ; [99.88826816 20.11173184],0
n4,1,0.044128,4.051675,[18 43] ; [54 66],[24.26519337 36.73480663] ; [47.73480663 72.26519337],0
v2,1,0.058756,3.572144,[24 34] ; [64 49],[29.84795322 28.15204678] ; [58.15204678 54.84795322],0
p2,1,0.077386,3.118964,[45 15] ; [102  17],[49.27374302 10.72625698] ; [97.72625698 21.27374302],0
u3,1,0.086945,2.930039,[17 17] ; [20  8],[20.29032258 13.70967742] ; [16.70967742 11.29032258],0
p12,1,0.10282,2.661252,[ 1 60] ; [  9 111],[ 3.37016575 57.62983425] ; [  6.62983425 113.37016575],0
s2,1,0.105292,2.623502,[22 39] ; [58 61],[27.11111111 33.88888889] ; [52.88888889 66.11111111],0
v3,1,0.112914,2.512957,[11 46] ; [35 79],[15.33333333 41.66666667] ; [30.66666667 83.33333333],0
v4,1,0.127297,2.325164,[54  6] ; [114   5],[56.31284916  3.68715084] ; [111.68715084   7.31284916],0
