Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9e-06,19.676256,[1 4] ; [121  15],[4.32624113 0.67375887] ; [117.67375887  18.32624113],1
r2,1,3.4e-05,17.199356,[2 3] ; [124   9],[4.56521739 0.43478261] ; [121.43478261  11.56521739],1
r1,1,0.003091,8.753237,[1 4] ; [105  30],[3.78571429 1.21428571] ; [102.21428571  32.78571429],0
v4,1,0.003671,8.439886,[3 2] ; [127   8],[4.64285714 0.35714286] ; [125.35714286   9.64285714],0
p10,1,0.005947,7.566341,[1 4] ; [101  33],[3.66906475 1.33093525] ; [98.33093525 35.66906475],0
p9,1,0.028269,4.811573,[2 3] ; [108  26],[3.95683453 1.04316547] ; [106.04316547  27.95683453],0
b1,1,0.030504,4.680666,[4 1] ; [45 91],[1.73758865 3.26241135] ; [47.26241135 88.73758865],0
p11,1,0.034029,4.493224,[1 4] ; [90 46],[3.22695035 1.77304965] ; [87.77304965 48.22695035],0
s2,1,0.050796,3.814976,[1 4] ; [86 50],[3.08510638 1.91489362] ; [83.91489362 52.08510638],0
p2,1,0.065686,3.387654,[2 3] ; [103  32],[3.75 1.25] ; [101.25  33.75],0
v1,1,0.085294,2.961028,[4 1] ; [54 77],[2.13235294 2.86764706] ; [55.86764706 75.13235294],0
a5,1,0.099742,2.709662,[2 3] ; [100  36],[3.61702128 1.38297872] ; [98.38297872 37.61702128],0
v2,1,0.131368,2.276268,[1 4] ; [69 58],[2.65151515 2.34848485] ; [67.34848485 59.65151515],0
v3,1,0.142051,2.155603,[3 2] ; [38 92],[1.51851852 3.48148148] ; [39.48148148 90.51851852],0
s8,1,0.209626,1.574009,[1 4] ; [66 70],[2.37588652 2.62411348] ; [64.62411348 71.37588652],0
n6,1,0.217357,1.521739,[2 3] ; [90 45],[3.28571429 1.71428571] ; [88.71428571 46.28571429],0
d5,1,0.227613,1.455715,[3 2] ; [111  25],[4.04255319 0.95744681] ; [109.95744681  26.04255319],0
b4,1,0.242858,1.363927,[2 3] ; [89 47],[3.22695035 1.77304965] ; [87.77304965 48.22695035],0
d2,1,0.258357,1.277537,[1 4] ; [62 74],[2.23404255 2.76595745] ; [60.76595745 75.23404255],0
p8,1,0.265573,1.239469,[1 4] ; [61 74],[2.21428571 2.78571429] ; [59.78571429 75.21428571],0
s5,1,0.329569,0.950591,[1 4] ; [54 75],[2.05223881 2.94776119] ; [52.94776119 76.05223881],0
a4,1,0.374963,0.787152,[1 4] ; [54 82],[1.95035461 3.04964539] ; [53.04964539 82.95035461],0
n3,1,0.389625,0.740113,[1 1] ; [33 10],[1.51111111 0.48888889] ; [32.48888889 10.51111111],0
d1,1,0.421733,0.645482,[2 3] ; [79 57],[2.87234043 2.12765957] ; [78.12765957 57.87234043],0
n2,1,0.445249,0.582717,[1 1] ; [32 11],[1.46666667 0.53333333] ; [31.53333333 11.46666667],0
p7,1,0.480584,0.497537,[2 3] ; [75 59],[2.76978417 2.23021583] ; [74.23021583 59.76978417],0
n1,1,0.500406,0.454075,[1 1] ; [12 31],[0.57777778 1.42222222] ; [12.42222222 30.57777778],0
u2,1,0.562451,0.335477,[1 1] ; [34 15],[1.37254902 0.62745098] ; [33.62745098 15.37254902],0
p4,1,0.63727,0.222331,[2 3] ; [69 67],[2.5177305 2.4822695] ; [68.4822695 67.5177305],0
s4,1,0.696635,0.151996,[1 4] ; [38 98],[1.38297872 3.61702128] ; [37.61702128 98.38297872],0
s7,1,0.759136,0.094013,[2 3] ; [62 70],[2.33576642 2.66423358] ; [61.66423358 70.33576642],0
d3,1,0.772695,0.083435,[4 1] ; [101  35],[3.72340426 1.27659574] ; [101.27659574  34.72340426],0
p3,1,0.780562,0.07761,[2 3] ; [63 73],[2.30496454 2.69503546] ; [62.69503546 73.30496454],0
a7,1,0.799354,0.064609,[4 1] ; [102  34],[3.75886525 1.24113475] ; [102.24113475  33.75886525],0
a6,1,0.801863,0.062969,[3 2] ; [89 47],[3.26241135 1.73758865] ; [88.73758865 47.26241135],0
a3,1,0.909752,0.012848,[3 2] ; [85 51],[3.12056738 1.87943262] ; [84.87943262 51.12056738],0
b5,1,0.989468,0.000174,[3 2] ; [82 54],[3.0141844 1.9858156] ; [81.9858156 54.0141844],0
a2,1,0.993541,6.6e-05,[1 4] ; [ 27 109],[0.9929078 4.0070922] ; [ 27.0070922 108.9929078],0
