Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.4e-05,18.879246,[25 20] ; [56  5],[34.38679245 10.61320755] ; [46.61320755 14.38679245],1
p11,1,2.1e-05,18.137314,[11 34] ; [41 21],[21.86915888 23.13084112] ; [30.13084112 31.86915888],1
s6,1,5.6e-05,16.224601,[ 8 37] ; [35 27],[18.08411215 26.91588785] ; [24.91588785 37.08411215],1
r3,1,0.000478,12.201257,[28 17] ; [56  6],[35.3271028  9.6728972] ; [48.6728972 13.3271028],1
r4,1,0.000511,12.074115,[21 24] ; [49 13],[29.43925234 15.56074766] ; [40.56074766 21.43925234],1
s8,1,0.000756,11.347406,[ 2 43] ; [19 43],[ 8.8317757 36.1682243] ; [12.1682243 49.8317757],1
p7,1,0.003357,8.602508,[14 30] ; [36 23],[21.3592233 22.6407767] ; [28.6407767 30.3592233],0
p4,1,0.004499,8.070681,[10 34] ; [31 31],[17.01886792 26.98113208] ; [23.98113208 38.01886792],0
p9,1,0.006259,7.474244,[17 27] ; [40 21],[23.88571429 20.11428571] ; [33.11428571 27.88571429],0
s4,1,0.006562,7.38903,[ 3 42] ; [17 45],[ 8.41121495 36.58878505] ; [11.58878505 50.41121495],0
p10,1,0.007225,7.216168,[15 29] ; [37 24],[21.79047619 22.20952381] ; [30.20952381 30.79047619],0
a6,1,0.012917,6.180438,[24 20] ; [48 14],[29.88679245 14.11320755] ; [42.11320755 19.88679245],0
a1,1,0.015503,5.858373,[ 6 39] ; [ 1 61],[ 2.94392523 42.05607477] ; [ 4.05607477 57.94392523],0
s7,1,0.022499,5.206804,[ 5 36] ; [18 38],[ 9.72164948 31.27835052] ; [13.27835052 42.72164948],0
s3,1,0.027652,4.849621,[16 28] ; [36 26],[21.58490566 22.41509434] ; [30.41509434 31.58490566],0
d3,1,0.029244,4.753167,[21 23] ; [42 19],[26.4 17.6] ; [36.6 24.4],0
p3,1,0.029656,4.729136,[ 8 37] ; [23 39],[13.03738318 31.96261682] ; [17.96261682 44.03738318],0
p6,1,0.079576,3.073538,[ 5 40] ; [15 46],[ 8.49056604 36.50943396] ; [11.50943396 49.49056604],0
n3,1,0.092881,2.823726,[10 11] ; [14  5],[12.6  8.4] ; [11.4  7.6],0
s2,1,0.100049,2.704769,[10 35] ; [23 39],[13.87850467 31.12149533] ; [19.12149533 42.87850467],0
s1,1,0.108511,2.575771,[ 5 40] ; [ 2 59],[ 2.97169811 42.02830189] ; [ 4.02830189 56.97169811],0
a7,1,0.109648,2.559286,[26 19] ; [45 17],[29.85981308 15.14018692] ; [41.14018692 20.85981308],0
p8,1,0.109736,2.558012,[11 33] ; [24 36],[14.80769231 29.19230769] ; [20.19230769 39.80769231],0
n1,1,0.125383,2.348762,[10 12] ; [ 4 14],[ 7.7 14.3] ; [ 6.3 11.7],0
b5,1,0.133246,2.254274,[21 24] ; [38 24],[24.81308411 20.18691589] ; [34.18691589 27.81308411],0
n2,1,0.153068,2.04141,[12 11] ; [14  5],[14.23809524  8.76190476] ; [11.76190476  7.23809524],0
r2,1,0.174034,1.847843,[33 11] ; [53  9],[35.69811321  8.30188679] ; [50.30188679 11.69811321],0
r1,1,0.17468,1.842314,[26 19] ; [43 18],[29.29245283 15.70754717] ; [39.70754717 21.29245283],0
b2,1,0.18472,1.759235,[ 9 19] ; [ 6 28],[ 6.77419355 21.22580645] ; [ 8.22580645 25.77419355],0
b3,1,0.18472,1.759235,[ 9 19] ; [ 6 28],[ 6.77419355 21.22580645] ; [ 8.22580645 25.77419355],0
s5,1,0.18965,1.720334,[ 3 40] ; [ 9 49],[ 5.10891089 37.89108911] ; [ 6.89108911 51.10891089],0
b4,1,0.268005,1.226929,[22 23] ; [37 25],[24.81308411 20.18691589] ; [34.18691589 27.81308411],0
n5,1,0.273746,1.197879,[21 23] ; [23 39],[18.26415094 25.73584906] ; [25.73584906 36.26415094],0
u1,1,0.309645,1.032191,[ 2 43] ; [ 6 56],[ 3.36448598 41.63551402] ; [ 4.63551402 57.36448598],0
d4,1,0.383567,0.759239,[29 15] ; [45 16],[31.00952381 12.99047619] ; [42.99047619 18.00952381],0
d2,1,0.387864,0.745628,[20 24] ; [23 39],[17.8490566 26.1509434] ; [25.1509434 36.8490566],0
u3,1,0.392946,0.729808,[ 9 11] ; [15 11],[10.43478261  9.56521739] ; [13.56521739 12.43478261],0
a4,1,0.408753,0.682424,[18 27] ; [20 42],[15.98130841 29.01869159] ; [22.01869159 39.98130841],0
u2,1,0.415932,0.661782,[11  9] ; [18  9],[12.34042553  7.65957447] ; [16.65957447 10.34042553],0
a8,1,0.469225,0.523801,[ 5 40] ; [ 4 53],[ 3.97058824 41.02941176] ; [ 5.02941176 51.97058824],0
b1,1,0.502925,0.448758,[24 21] ; [29 33],[22.28971963 22.71028037] ; [30.71028037 31.28971963],0
d5,1,0.537322,0.380526,[28 16] ; [43 19],[29.47169811 14.52830189] ; [41.52830189 20.47169811],0
v2,1,0.54191,0.372012,[13 29] ; [21 36],[14.42424242 27.57575758] ; [19.57575758 37.42424242],0
p1,1,0.700181,0.148284,[ 3 42] ; [ 3 58],[ 2.54716981 42.45283019] ; [ 3.45283019 57.54716981],0
d1,1,0.713583,0.134724,[18 27] ; [27 35],[18.92523364 26.07476636] ; [26.07476636 35.92523364],0
