Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,54.164544,[25 38] ; [67  1],[44.24427481 18.75572519] ; [47.75572519 20.24427481],1
d3,1,0.0,42.98463,[17 46] ; [57 11],[35.58778626 27.41221374] ; [38.41221374 29.58778626],1
d2,1,0.0,34.690459,[13 50] ; [49 19],[29.81679389 33.18320611] ; [32.18320611 35.81679389],1
a4,1,1e-05,19.585243,[16 46] ; [45 25],[28.65151515 33.34848485] ; [32.34848485 37.65151515],1
a2,1,1.2e-05,19.113095,[ 3 60] ; [25 45],[13.26315789 49.73684211] ; [14.73684211 55.26315789],1
s7,1,0.000368,12.686824,[15 43] ; [38 28],[24.79032258 33.20967742] ; [28.20967742 37.79032258],1
a5,1,0.00272,8.986307,[33 30] ; [54 16],[41.21052632 21.78947368] ; [45.78947368 24.21052632],0
a7,1,0.004942,7.900371,[33 30] ; [53 17],[40.73684211 22.26315789] ; [45.26315789 24.73684211],0
a3,1,0.005427,7.731425,[31 30] ; [52 18],[38.64885496 22.35114504] ; [44.35114504 25.64885496],0
s8,1,0.010422,6.561356,[17 45] ; [34 35],[24.13740458 37.86259542] ; [26.86259542 42.13740458],0
p9,1,0.010429,6.560057,[31 32] ; [49 20],[38.18181818 24.81818182] ; [41.81818182 27.18181818],0
r2,1,0.038665,4.275535,[57  6] ; [68  1],[59.65909091  3.34090909] ; [65.34090909  3.65909091],0
n2,1,0.039076,4.257565,[18  3] ; [17 12],[14.7  6.3] ; [20.3  8.7],0
s1,1,0.04397,4.057708,[ 9 53] ; [ 3 66],[ 5.67938931 56.32061069] ; [ 6.32061069 62.67938931],0
a6,1,0.049571,3.8559,[32 31] ; [46 22],[37.51145038 25.48854962] ; [40.48854962 27.51145038],0
a8,1,0.050022,3.840731,[11 51] ; [ 4 59],[ 7.44 54.56] ; [ 7.56 55.44],0
n4,1,0.056475,3.637993,[38 25] ; [53 17],[43.10526316 19.89473684] ; [47.89473684 22.10526316],0
n6,1,0.137019,2.211124,[41 22] ; [53 16],[44.86363636 18.13636364] ; [49.13636364 19.86363636],0
b4,1,0.160409,1.97037,[32 31] ; [44 26],[36. 27.] ; [40. 30.],0
p10,1,0.162655,1.949372,[33 29] ; [45 24],[36.91603053 25.08396947] ; [41.08396947 27.91603053],0
v2,1,0.257758,1.280757,[28 32] ; [38 29],[31.18110236 28.81889764] ; [34.81889764 32.18110236],0
n1,1,0.296385,1.090391,[ 8 12] ; [16 13],[ 9.79591837 10.20408163] ; [14.20408163 14.79591837],0
u3,1,0.363648,0.825256,[19 13] ; [13  5],[20.48 11.52] ; [11.52  6.48],0
a1,1,0.382477,0.762724,[ 3 60] ; [ 6 64],[ 4.26315789 58.73684211] ; [ 4.73684211 65.26315789],0
s3,1,0.386362,0.750361,[28 32] ; [38 32],[30.46153846 29.53846154] ; [35.53846154 34.46153846],0
n5,1,0.483404,0.491173,[38 24] ; [47 23],[39.92424242 22.07575758] ; [45.07575758 24.92424242],0
p4,1,0.483822,0.490236,[18 43] ; [24 44],[19.86046512 41.13953488] ; [22.13953488 45.86046512],0
b1,1,0.55829,0.342673,[32 31] ; [32 38],[30.31578947 32.68421053] ; [33.68421053 36.31578947],0
u2,1,0.566477,0.328613,[18 14] ; [11  6],[18.93877551 13.06122449] ; [10.06122449  6.93877551],0
p8,1,0.58888,0.292097,[16 47] ; [15 55],[14.68421053 48.31578947] ; [16.31578947 53.68421053],0
n3,1,0.607391,0.263992,[12  7] ; [19  8],[12.80434783  6.19565217] ; [18.19565217  8.80434783],0
s2,1,0.741338,0.108954,[27 34] ; [33 37],[27.9389313 33.0610687] ; [32.0610687 37.9389313],0
p7,1,0.75495,0.097418,[21 40] ; [21 45],[20.17322835 40.82677165] ; [21.82677165 44.17322835],0
r4,1,0.757275,0.095519,[56  7] ; [61  9],[55.42105263  7.57894737] ; [61.57894737  8.42105263],0
v3,1,0.794204,0.068045,[23 37] ; [26 38],[23.70967742 36.29032258] ; [25.29032258 38.70967742],0
p6,1,0.795705,0.067034,[13 50] ; [13 56],[12.40909091 50.59090909] ; [13.59090909 55.40909091],0
r3,1,0.822157,0.050522,[55  8] ; [62  8],[55.42105263  7.57894737] ; [61.57894737  8.42105263],0
s4,1,0.827786,0.047324,[13 50] ; [13 55],[12.50381679 50.49618321] ; [13.49618321 54.50381679],0
v4,1,0.834854,0.043464,[56  7] ; [63  7],[56.36842105  6.63157895] ; [62.63157895  7.36842105],0
v1,1,0.842963,0.039246,[25 37] ; [29 40],[25.55725191 36.44274809] ; [28.44274809 40.55725191],0
b5,1,0.853131,0.034271,[37 26] ; [40 30],[36.47368421 26.52631579] ; [40.52631579 29.47368421],0
p3,1,0.859146,0.031492,[21 42] ; [22 47],[20.52272727 42.47727273] ; [22.47727273 46.52272727],0
