Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,7.6e-05,15.656122,[50  9] ; [55 47],[38.47826087 20.52173913] ; [66.52173913 35.47826087],1
p6,1,0.001381,10.231257,[19 39] ; [12 89],[11.3081761 46.6918239] ; [19.6918239 81.3081761],0
d5,1,0.005963,7.561481,[35 23] ; [82 20],[42.4125 15.5875] ; [74.5875 27.4125],0
p10,1,0.01809,5.587369,[40 19] ; [48 51],[32.86075949 26.13924051] ; [55.13924051 43.86075949],0
u1,1,0.020546,5.364883,[12 47] ; [ 8 94],[ 7.32919255 51.67080745] ; [12.67080745 89.32919255],0
p9,1,0.024552,5.055243,[44 15] ; [55 42],[37.44230769 21.55769231] ; [61.55769231 35.44230769],0
p3,1,0.028827,4.777912,[23 36] ; [23 78],[16.9625 42.0375] ; [29.0375 71.9625],0
n3,1,0.029708,4.726128,[18  2] ; [24 14],[14.48275862  5.51724138] ; [27.51724138 10.48275862],0
a3,1,0.039796,4.22656,[44 14] ; [61 41],[38.0625 19.9375] ; [66.9375 35.0625],0
p4,1,0.059926,3.539432,[26 33] ; [30 72],[20.52173913 38.47826087] ; [35.47826087 66.52173913],0
s3,1,0.062623,3.466507,[33 25] ; [42 59],[27.35849057 30.64150943] ; [47.64150943 53.35849057],0
n6,1,0.068355,3.322087,[41 18] ; [56 46],[35.54658385 23.45341615] ; [61.45341615 40.54658385],0
a2,1,0.072266,3.230785,[14 45] ; [13 89],[ 9.89440994 49.10559006] ; [17.10559006 84.89440994],0
r4,1,0.076322,3.141539,[50  9] ; [74 28],[45.44099379 13.55900621] ; [78.55900621 23.44099379],0
p11,1,0.103317,2.65358,[39 20] ; [54 48],[34.08074534 24.91925466] ; [58.91925466 43.08074534],0
a6,1,0.136636,2.215442,[40 19] ; [57 45],[35.54658385 23.45341615] ; [61.45341615 40.54658385],0
n1,1,0.148454,2.088068,[ 3 17] ; [13 27],[ 5.33333333 14.66666667] ; [10.66666667 29.33333333],0
s8,1,0.152518,2.046888,[21 37] ; [26 76],[17.0375 40.9625] ; [29.9625 72.0375],0
s7,1,0.175134,1.838443,[22 35] ; [26 67],[18.24 38.76] ; [29.76 63.24],0
v4,1,0.182121,1.780231,[54  4] ; [87 14],[51.43396226  6.56603774] ; [89.56603774 11.43396226],0
a1,1,0.249826,1.324277,[ 4 55] ; [ 3 99],[ 2.56521739 56.43478261] ; [ 4.43478261 97.56521739],0
a8,1,0.26681,1.233075,[ 6 48] ; [ 6 93],[ 4.23529412 49.76470588] ; [ 7.76470588 91.23529412],0
s2,1,0.289079,1.123904,[27 32] ; [38 64],[23.81987578 35.18012422] ; [41.18012422 60.81987578],0
n2,1,0.310993,1.026452,[14  6] ; [22 17],[12.20338983  7.79661017] ; [23.79661017 15.20338983],0
r2,1,0.316324,1.004084,[53  5] ; [86 14],[51.02531646  6.97468354] ; [87.97468354 12.02531646],0
u2,1,0.32175,0.981818,[7 7] ; [26 14],[8.55555556 5.44444444] ; [24.44444444 15.55555556],0
v1,1,0.329019,0.952756,[18 39] ; [39 60],[20.82692308 36.17307692] ; [36.17307692 62.82692308],0
d4,1,0.356616,0.849776,[47 12] ; [87 15],[49.10559006  9.89440994] ; [84.89440994 17.10559006],0
a5,1,0.396947,0.717554,[37 22] ; [57 45],[34.44720497 24.55279503] ; [59.55279503 42.44720497],0
u3,1,0.448756,0.573792,[8 6] ; [28 13],[9.16363636 4.83636364] ; [26.83636364 14.16363636],0
v3,1,0.46095,0.543587,[11 46] ; [23 71],[12.83443709 44.16556291] ; [21.16556291 72.83443709],0
d2,1,0.490807,0.474757,[27 32] ; [41 61],[24.91925466 34.08074534] ; [43.08074534 58.91925466],0
r3,1,0.511696,0.430597,[55  4] ; [92 10],[53.86956522  5.13043478] ; [93.13043478  8.86956522],0
d1,1,0.523402,0.407185,[27 32] ; [52 50],[28.95031056 30.04968944] ; [50.04968944 51.95031056],0
s4,1,0.575325,0.313853,[15 44] ; [22 80],[13.55900621 45.44099379] ; [23.44099379 78.55900621],0
p5,1,0.581626,0.303613,[ 2 57] ; [ 2 99],[ 1.475 57.525] ; [ 2.525 98.475],0
n4,1,0.693185,0.155659,[23 36] ; [43 59],[24.1863354 34.8136646] ; [41.8136646 60.1863354],0
b4,1,0.759605,0.093636,[35 24] ; [63 39],[35.91304348 23.08695652] ; [62.08695652 39.91304348],0
v2,1,0.763314,0.09068,[26 30] ; [47 49],[26.89473684 29.10526316] ; [46.10526316 49.89473684],0
b2,1,0.767196,0.087643,[13 25] ; [19 32],[13.66292135 24.33707865] ; [18.33707865 32.66292135],0
b3,1,0.767196,0.087643,[13 25] ; [19 32],[13.66292135 24.33707865] ; [18.33707865 32.66292135],0
a7,1,0.785585,0.07401,[41 17] ; [70 32],[40.2375 17.7625] ; [70.7625 31.2375],0
a4,1,0.7867,0.073223,[25 34] ; [41 61],[24.1863354 34.8136646] ; [41.8136646 60.1863354],0
