Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,155.816758,[443  60] ; [50 84],[389.29199372 113.70800628] ; [103.70800628  30.29199372],1
n6,1,0.0,53.715302,[453  50] ; [87 48],[425.73667712  77.26332288] ; [114.26332288  20.73667712],1
s7,1,0.0,28.111063,[262 220] ; [37 94],[235.10277325 246.89722675] ; [63.89722675 67.10277325],1
d2,1,0.0,26.909179,[267 237] ; [38 98],[240.1875 263.8125] ; [64.8125 71.1875],1
a5,1,1e-06,23.878198,[399 108] ; [79 57],[376.89891135 130.10108865] ; [101.10108865  34.89891135],1
p6,1,3e-06,22.140658,[207 292] ; [ 26 108],[183.67614534 315.32385466] ; [49.32385466 84.67614534],1
p4,1,1.5e-05,18.707263,[330 173] ; [61 74],[308.26489028 194.73510972] ; [82.73510972 52.26489028],1
a3,1,1.7e-05,18.480602,[385 119] ; [78 57],[365.18309859 138.81690141] ; [97.81690141 37.18309859],1
d1,1,2e-05,18.169007,[319 188] ; [58 78],[297.26127527 209.73872473] ; [79.73872473 56.26127527],1
d5,1,2.7e-05,17.644214,[425  79] ; [93 43],[407.925  96.075] ; [110.075  25.925],1
a4,1,4e-05,16.848007,[252 253] ; [41 95],[230.83463339 274.16536661] ; [62.16536661 73.83463339],1
s8,1,0.00043,12.396471,[248 255] ; [44 92],[229.85289515 273.14710485] ; [62.14710485 73.85289515],1
v3,1,0.000487,12.164752,[222 266] ; [36 91],[204.72195122 283.27804878] ; [53.27804878 73.72195122],1
r4,1,0.000519,12.045786,[463  44] ; [110  26],[451.80559876  55.19440124] ; [121.19440124  14.80559876],1
a8,1,0.000859,11.108392,[ 85 371] ; [  8 118],[ 72.86597938 383.13402062] ; [ 20.13402062 105.86597938],1
p3,1,0.000929,10.963671,[277 227] ; [53 83],[259.875 244.125] ; [70.125 65.875],1
r2,1,0.001259,10.402376,[476  22] ; [119  16],[468.1042654  29.8957346] ; [126.8957346   8.1042654],0
s6,1,0.00212,9.443016,[340 158] ; [73 62],[324.91943128 173.08056872] ; [88.08056872 46.91943128],0
a2,1,0.005061,7.857643,[133 374] ; [ 20 116],[120.63919129 386.36080871] ; [ 32.36080871 103.63919129],0
u1,1,0.005096,7.845151,[ 96 411] ; [ 12 124],[ 85.15707621 421.84292379] ; [ 22.84292379 113.15707621],0
n1,1,0.006836,7.315663,[44 48] ; [11 35],[36.66666667 55.33333333] ; [18.33333333 27.66666667],0
s2,1,0.007096,7.248512,[254 249] ; [51 85],[240.08607199 262.91392801] ; [64.91392801 71.08607199],0
p10,1,0.008036,7.025424,[461  43] ; [113  22],[452.73239437  51.26760563] ; [121.26760563  13.73239437],0
p7,1,0.01239,6.254186,[331 165] ; [72 59],[318.80063796 177.19936204] ; [84.19936204 46.80063796],0
v2,1,0.012722,6.207333,[299 188] ; [63 65],[286.65691057 200.34308943] ; [75.34308943 52.65691057],0
r1,1,0.014585,5.965863,[408  97] ; [96 39],[397.6875 107.3125] ; [106.3125  28.6875],0
d4,1,0.016299,5.770345,[426  78] ; [103  33],[416.5875  87.4125] ; [112.4125  23.5875],0
p11,1,0.018009,5.595284,[431  76] ; [104  32],[421.84292379  85.15707621] ; [113.15707621  22.84292379],0
s3,1,0.024551,5.055268,[281 217] ; [61 73],[269.48734177 228.51265823] ; [72.51265823 61.48734177],0
v1,1,0.025868,4.964811,[290 199] ; [64 68],[278.75362319 210.24637681] ; [75.24637681 56.75362319],0
p1,1,0.039439,4.241877,[ 52 454] ; [  6 127],[ 45.92801252 460.07198748] ; [ 12.07198748 120.92801252],0
r3,1,0.047033,3.944218,[484  20] ; [125  11],[479.5875  24.4125] ; [129.4125   6.5875],0
p5,1,0.048355,3.897608,[ 74 428] ; [ 11 123],[ 67.09119497 434.90880503] ; [ 17.90880503 116.09119497],0
p12,1,0.063557,3.442035,[ 52 451] ; [  7 129],[ 46.4428795 456.5571205] ; [ 12.5571205 123.4428795],0
p2,1,0.068963,3.307526,[443  60] ; [110  24],[436.67032967  66.32967033] ; [116.32967033  17.67032967],0
b3,1,0.116627,2.462048,[143 190] ; [20 42],[137.41518987 195.58481013] ; [25.58481013 36.41518987],0
b2,1,0.116627,2.462048,[143 190] ; [20 42],[137.41518987 195.58481013] ; [25.58481013 36.41518987],0
s5,1,0.135314,2.230455,[158 331] ; [34 99],[150.94533762 338.05466238] ; [41.05466238 91.94533762],0
p8,1,0.155046,2.021891,[280 219] ; [67 69],[272.68188976 226.31811024] ; [74.31811024 61.68188976],0
n3,1,0.345549,0.889737,[69 23] ; [31 15],[66.66666667 25.33333333] ; [33.33333333 12.66666667],0
u4,1,0.390848,0.736303,[ 14 493] ; [  2 134],[ 12.61586314 494.38413686] ; [  3.38413686 132.61586314],0
a7,1,0.449951,0.570775,[363 143] ; [102  34],[366.4953271 139.5046729] ; [98.5046729 37.4953271],0
s1,1,0.618194,0.248414,[ 15 484] ; [  3 133],[ 14.14488189 484.85511811] ; [  3.85511811 132.14488189],0
a6,1,0.64538,0.211774,[344 160] ; [90 46],[341.775 162.225] ; [92.225 43.775],0
b1,1,0.732498,0.116831,[187 320] ; [48 88],[185.29548989 321.70451011] ; [49.70451011 86.29548989],0
n2,1,0.758015,0.094918,[69 24] ; [33 13],[68.24460432 24.75539568] ; [33.75539568 12.24460432],0
b5,1,0.765079,0.089292,[306 201] ; [84 52],[307.51166407 199.48833593] ; [82.48833593 53.51166407],0
u2,1,0.766631,0.088081,[72 49] ; [32 24],[71.0960452 49.9039548] ; [32.9039548 23.0960452],0
d3,1,0.815978,0.054159,[342 163] ; [90 45],[340.875 164.125] ; [91.125 43.875],0
v4,1,0.828731,0.046799,[479  24] ; [127   7],[478.52119309  24.47880691] ; [127.47880691   6.52119309],0
a1,1,0.863867,0.029396,[ 28 479] ; [  7 129],[ 27.59720062 479.40279938] ; [  7.40279938 128.59720062],0
u3,1,0.916506,0.010991,[68 53] ; [31 25],[67.6779661 53.3220339] ; [31.3220339 24.6779661],0
b4,1,0.926853,0.008428,[293 214] ; [78 58],[292.53032659 214.46967341] ; [78.46967341 57.53032659],0
