Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,40.368538,[72  9] ; [110 117],[47.86363636 33.13636364] ; [134.13636364  92.86363636],1
s7,1,0.0,27.334134,[50 26] ; [ 70 151],[30.70707071 45.29292929] ; [ 89.29292929 131.70707071],1
p5,1,3e-06,21.569376,[15 66] ; [  7 221],[ 5.76699029 75.23300971] ; [ 16.23300971 211.76699029],1
s2,1,4e-06,21.229158,[55 27] ; [ 86 143],[37.17684887 44.82315113] ; [103.82315113 125.17684887],1
s3,1,0.000922,10.978028,[55 26] ; [106 122],[42.2038835 38.7961165] ; [118.7961165 109.2038835],1
p12,1,0.00253,9.119036,[ 9 73] ; [  6 222],[ 3.96774194 78.03225806] ; [ 11.03225806 216.96774194],0
n6,1,0.00333,8.617116,[73  8] ; [170  58],[63.69902913 17.30097087] ; [179.30097087  48.69902913],0
p9,1,0.004456,8.08811,[69  9] ; [165  62],[59.84262295 18.15737705] ; [174.15737705  52.84262295],0
s4,1,0.006018,7.544988,[22 59] ; [ 31 195],[13.98371336 67.01628664] ; [ 39.01628664 186.98371336],0
s8,1,0.008033,7.026103,[36 45] ; [ 65 164],[26.39032258 54.60967742] ; [ 74.60967742 154.39032258],0
p3,1,0.016195,5.781562,[40 42] ; [ 77 151],[30.9483871 51.0516129] ; [ 86.0516129 141.9483871],0
p4,1,0.025557,4.98577,[49 32] ; [105 123],[40.36893204 40.63106796] ; [113.63106796 114.36893204],0
p10,1,0.045662,3.994037,[67 13] ; [164  62],[60.39215686 19.60784314] ; [170.60784314  55.39215686],0
r4,1,0.046586,3.960263,[76  6] ; [192  37],[70.66237942 11.33762058] ; [197.33762058  31.66237942],0
v3,1,0.062039,3.482011,[28 51] ; [ 55 169],[21.64026403 57.35973597] ; [ 61.35973597 162.64026403],0
v2,1,0.063854,3.434347,[42 39] ; [ 87 131],[34.94648829 46.05351171] ; [ 94.05351171 123.94648829],0
p2,1,0.075143,3.166951,[68 13] ; [170  59],[62.18709677 18.81290323] ; [175.81290323  53.18709677],0
b5,1,0.083811,2.989405,[43 39] ; [145  84],[49.56913183 32.43086817] ; [138.43086817  90.56913183],0
