Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,51.96339,[107   9] ; [10 20],[92.95890411 23.04109589] ; [24.04109589  5.95890411],1
p11,1,0.0,33.367463,[108   8] ; [15 15],[97.7260274 18.2739726] ; [25.2739726  4.7260274],1
n5,1,1.3e-05,19.046483,[93 23] ; [12 18],[83.42465753 32.57534247] ; [21.57534247  8.42465753],1
p8,1,0.000996,10.834417,[78 37] ; [10 19],[70.27777778 44.72222222] ; [17.72222222 11.27777778],1
v1,1,0.001759,9.785571,[70 43] ; [ 9 21],[62.42657343 50.57342657] ; [16.57342657 13.42657343],0
v4,1,0.002522,9.12424,[113   3] ; [25  5],[109.64383562   6.35616438] ; [28.35616438  1.64383562],0
r1,1,0.005584,7.679768,[91 25] ; [16 14],[85.01369863 30.98630137] ; [21.98630137  8.01369863],0
r3,1,0.008217,6.98559,[108   8] ; [23  7],[104.08219178  11.91780822] ; [26.91780822  3.08219178],0
n4,1,0.011036,6.459484,[92 24] ; [17 13],[86.60273973 29.39726027] ; [22.39726027  7.60273973],0
p3,1,0.013465,6.106989,[78 37] ; [13 17],[72.17241379 42.82758621] ; [18.82758621 11.17241379],0
u2,1,0.024043,5.091499,[20 15] ; [2 9],[16.73913043 18.26086957] ; [5.26086957 5.73913043],0
r4,1,0.035693,4.411705,[100  16] ; [21  9],[96.1369863 19.8630137] ; [24.8630137  5.1369863],0
p7,1,0.037039,4.348639,[88 28] ; [17 13],[83.42465753 32.57534247] ; [21.57534247  8.42465753],0
a5,1,0.037039,4.348639,[88 28] ; [17 13],[83.42465753 32.57534247] ; [21.57534247  8.42465753],0
n6,1,0.039726,4.229557,[99 17] ; [20  9],[95.2 20.8] ; [23.8  5.2],0
p2,1,0.041679,4.148202,[104  11] ; [23  7],[100.72413793  14.27586207] ; [26.27586207  3.72413793],0
r2,1,0.042712,4.106769,[106   9] ; [23  6],[103.02083333  11.97916667] ; [25.97916667  3.02083333],0
d4,1,0.086881,2.93123,[91 25] ; [19 11],[87.39726027 28.60273973] ; [22.60273973  7.39726027],0
d5,1,0.114915,2.485289,[93 23] ; [20 10],[89.78082192 26.21917808] ; [23.21917808  6.78082192],0
v3,1,0.122121,2.389911,[46 63] ; [ 8 22],[42.34532374 66.65467626] ; [11.65467626 18.34532374],0
s1,1,0.137778,2.202606,[  4 111] ; [ 3 27],[  5.55172414 109.44827586] ; [ 1.44827586 28.55172414],0
