Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.00481,7.949437,[18 43] ; [14  8],[23.51807229 37.48192771] ; [ 8.48192771 13.51807229],0
v3,1,0.005617,7.669206,[ 8 53] ; [ 9 13],[12.4939759 48.5060241] ; [ 4.5060241 17.4939759],0
r3,1,0.00991,6.651026,[42 20] ; [21  1],[46.5 15.5] ; [16.5  5.5],0
p8,1,0.018255,5.571537,[19 43] ; [13  9],[23.61904762 38.38095238] ; [ 8.38095238 13.61904762],0
s8,1,0.026909,4.896663,[13 49] ; [10 12],[16.97619048 45.02380952] ; [ 6.02380952 15.97619048],0
p10,1,0.07298,3.214693,[28 33] ; [15  7],[31.60240964 29.39759036] ; [11.39759036 10.60240964],0
p11,1,0.084038,2.985027,[35 27] ; [17  5],[38.38095238 23.61904762] ; [13.61904762  8.38095238],0
p2,1,0.084038,2.985027,[35 27] ; [17  5],[38.38095238 23.61904762] ; [13.61904762  8.38095238],0
s2,1,0.086778,2.933142,[16 46] ; [10 12],[19.19047619 42.80952381] ; [ 6.80952381 15.19047619],0
u2,1,0.126373,2.336508,[12 24] ; [6 4],[14.08695652 21.91304348] ; [3.91304348 6.08695652],0
s4,1,0.128595,2.309384,[11 51] ; [ 1 21],[ 8.85714286 53.14285714] ; [ 3.14285714 18.85714286],0
r4,1,0.141947,2.156729,[34 28] ; [16  6],[36.9047619 25.0952381] ; [13.0952381  8.9047619],0
n4,1,0.223716,1.480374,[36 26] ; [16  6],[38.38095238 23.61904762] ; [13.61904762  8.38095238],0
v4,1,0.223867,1.479411,[45 17] ; [18  3],[47.06024096 14.93975904] ; [15.93975904  5.06024096],0
u3,1,0.253411,1.304398,[11 25] ; [5 5],[12.52173913 23.47826087] ; [3.47826087 6.52173913],0
p4,1,0.289025,1.124155,[20 41] ; [10 12],[22.04819277 38.95180723] ; [ 7.95180723 14.04819277],0
p3,1,0.30547,1.050162,[18 44] ; [ 9 13],[19.92857143 42.07142857] ; [ 7.07142857 14.92857143],0
p5,1,0.30569,1.049207,[ 4 57] ; [ 3 19],[ 5.14457831 55.85542169] ; [ 1.85542169 20.14457831],0
p9,1,0.312319,1.020842,[37 24] ; [16  6],[38.95180723 22.04819277] ; [14.04819277  7.95180723],0
r1,1,0.320885,0.985337,[29 33] ; [13  9],[31. 31.] ; [11. 11.],0
a4,1,0.322522,0.978693,[11 50] ; [ 2 20],[ 9.55421687 51.44578313] ; [ 3.44578313 18.55421687],0
s7,1,0.323576,0.974436,[16 44] ; [ 8 13],[17.77777778 42.22222222] ; [ 6.22222222 14.77777778],0
a3,1,0.335928,0.925911,[26 35] ; [12 10],[27.92771084 33.07228916] ; [10.07228916 11.92771084],0
r2,1,0.370261,0.802789,[44 18] ; [17  4],[45.56626506 16.43373494] ; [15.43373494  5.56626506],0
n6,1,0.378956,0.774087,[38 23] ; [16  6],[39.68674699 21.31325301] ; [14.31325301  7.68674699],0
p7,1,0.407397,0.686383,[27 34] ; [12 10],[28.6626506 32.3373494] ; [10.3373494 11.6626506],0
s5,1,0.416214,0.660979,[13 47] ; [ 3 19],[11.70731707 48.29268293] ; [ 4.29268293 17.70731707],0
d1,1,0.438267,0.600815,[ 1 61] ; [ 1 21],[ 1.47619048 60.52380952] ; [ 0.52380952 21.47619048],0
b4,1,0.448956,0.573287,[34 28] ; [10 12],[32.47619048 29.52380952] ; [11.52380952 10.47619048],0
b5,1,0.463256,0.538017,[31 31] ; [ 9 13],[29.52380952 32.47619048] ; [10.47619048 11.52380952],0
n3,1,0.487561,0.481905,[13 10] ; [3 1],[13.62962963  9.37037037] ; [2.37037037 1.62962963],0
a6,1,0.490448,0.475544,[23 39] ; [10 12],[24.35714286 37.64285714] ; [ 8.64285714 13.35714286],0
p1,1,0.516955,0.419965,[ 9 53] ; [ 2 20],[ 8.11904762 53.88095238] ; [ 2.88095238 19.11904762],0
b2,1,0.5281,0.398047,[16 26] ; [ 5 12],[14.94915254 27.05084746] ; [ 6.05084746 10.94915254],0
b3,1,0.5281,0.398047,[16 26] ; [ 5 12],[14.94915254 27.05084746] ; [ 6.05084746 10.94915254],0
p6,1,0.529372,0.395598,[10 50] ; [ 5 17],[10.97560976 49.02439024] ; [ 4.02439024 17.97560976],0
n2,1,0.565927,0.329545,[15 10] ; [3 1],[15.51724138  9.48275862] ; [2.48275862 1.51724138],0
s6,1,0.617343,0.249619,[24 37] ; [10 12],[24.98795181 36.01204819] ; [ 9.01204819 12.98795181],0
b1,1,0.619668,0.246334,[30 32] ; [12 10],[31. 31.] ; [11. 11.],0
a8,1,0.644824,0.212488,[ 6 51] ; [ 3 18],[ 6.57692308 50.42307692] ; [ 2.42307692 18.57692308],0
a5,1,0.650513,0.205254,[22 40] ; [ 9 13],[22.88095238 39.11904762] ; [ 8.11904762 13.88095238],0
s1,1,0.733847,0.115608,[ 4 57] ; [ 1 21],[ 3.6746988 57.3253012] ; [ 1.3253012 20.6746988],0
s3,1,0.741255,0.109027,[28 33] ; [11 11],[28.6626506 32.3373494] ; [10.3373494 11.6626506],0
d2,1,0.774456,0.082111,[15 47] ; [ 6 16],[15.5 46.5] ; [ 5.5 16.5],0
d4,1,0.855996,0.032932,[24 38] ; [ 9 13],[24.35714286 37.64285714] ; [ 8.64285714 13.35714286],0
d3,1,0.904186,0.01449,[12 50] ; [ 4 18],[11.80952381 50.19047619] ; [ 4.19047619 17.80952381],0
n5,1,0.933737,0.006913,[41 20] ; [15  7],[41.15662651 19.84337349] ; [14.84337349  7.15662651],0
n1,1,0.965387,0.001883,[ 6 19] ; [1 3],[ 6.03448276 18.96551724] ; [0.96551724 3.03448276],0
