Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,34.037155,[19 86] ; [21  7],[31.57894737 73.42105263] ; [ 8.42105263 19.57894737],1
s2,1,1.2e-05,19.218541,[28 82] ; [20  9],[37.98561151 72.01438849] ; [10.01438849 18.98561151],1
s3,1,0.00015,14.371325,[36 72] ; [21  8],[44.93430657 63.06569343] ; [12.06569343 16.93430657],1
p10,1,0.001405,10.199276,[60 46] ; [25  3],[67.23880597 38.76119403] ; [17.76119403 10.23880597],0
p4,1,0.002556,9.100166,[38 72] ; [19 10],[45.10791367 64.89208633] ; [11.89208633 17.10791367],0
s6,1,0.003801,8.376603,[40 67] ; [19  9],[46.76296296 60.23703704] ; [12.23703704 15.76296296],0
s1,1,0.004761,7.967975,[  2 108] ; [ 4 25],[  4.74820144 105.25179856] ; [ 1.25179856 27.74820144],0
p7,1,0.005895,7.582225,[49 58] ; [21  7],[55.48148148 51.51851852] ; [14.51851852 13.48148148],0
p3,1,0.008594,6.905389,[32 78] ; [16 13],[37.98561151 72.01438849] ; [10.01438849 18.98561151],0
p6,1,0.01323,6.138074,[22 87] ; [12 16],[27.05109489 81.94890511] ; [ 6.94890511 21.05109489],0
v2,1,0.013259,6.134166,[25 84] ; [13 15],[30.23357664 78.76642336] ; [ 7.76642336 20.23357664],0
p11,1,0.014571,5.967651,[64 46] ; [24  5],[69.64028777 40.35971223] ; [18.35971223 10.64028777],0
u1,1,0.048398,3.896105,[  1 109] ; [ 2 27],[  2.37410072 107.62589928] ; [ 0.62589928 28.37410072],0
r3,1,0.065182,3.400361,[80 29] ; [26  3],[83.72463768 25.27536232] ; [22.27536232  6.72463768],0
a2,1,0.072553,3.224288,[  3 107] ; [ 3 26],[  4.74820144 105.25179856] ; [ 1.25179856 27.74820144],0
p9,1,0.076861,3.130064,[74 32] ; [25  4],[77.73333333 28.26666667] ; [21.26666667  7.73333333],0
d3,1,0.116418,2.464863,[39 69] ; [ 6 23],[35.47445255 72.52554745] ; [ 9.52554745 19.47445255],0
u2,1,0.121102,2.403009,[27 38] ; [9 5],[29.62025316 35.37974684] ; [6.37974684 7.62025316],0
p1,1,0.125989,2.341247,[  6 103] ; [ 4 25],[  7.89855072 101.10144928] ; [ 2.10144928 26.89855072],0
p8,1,0.169074,1.891135,[41 68] ; [15 14],[44.23188406 64.76811594] ; [11.76811594 17.23188406],0
a3,1,0.271896,1.207159,[44 65] ; [15 14],[46.60144928 62.39855072] ; [12.39855072 16.60144928],0
n6,1,0.279524,1.169403,[76 34] ; [23  6],[78.34532374 31.65467626] ; [20.65467626  8.34532374],0
d2,1,0.304015,1.056501,[20 89] ; [ 3 26],[18.16666667 90.83333333] ; [ 4.83333333 24.16666667],0
b4,1,0.307574,1.041066,[61 49] ; [13 16],[58.56115108 51.43884892] ; [15.43884892 13.56115108],0
n1,1,0.313699,1.015038,[14 24] ; [4 3],[15.2 22.8] ; [2.8 4.2],0
v3,1,0.328373,0.955304,[21 88] ; [ 8 21],[22.9057971 86.0942029] ; [ 6.0942029 22.9057971],0
a5,1,0.353436,0.861081,[39 71] ; [13 16],[41.15107914 68.84892086] ; [10.84892086 18.15107914],0
v1,1,0.383898,0.758183,[35 72] ; [12 17],[36.97794118 70.02205882] ; [10.02205882 18.97794118],0
r4,1,0.408522,0.683097,[55 55] ; [17 12],[56.97841727 53.02158273] ; [15.02158273 13.97841727],0
d5,1,0.434212,0.61153,[54 55] ; [12 17],[52.13043478 56.86956522] ; [13.86956522 15.13043478],0
