Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,60.176101,[65 27] ; [13 79],[39. 53.] ; [39. 53.],1
d5,1,0.0,54.568627,[90  2] ; [46 46],[68. 24.] ; [68. 24.],1
d3,1,0.0,53.124812,[81 11] ; [33 59],[57. 35.] ; [57. 35.],1
a2,1,0.0,32.625764,[30 62] ; [ 1 91],[15.5 76.5] ; [15.5 76.5],1
a5,1,0.0,31.396734,[75 17] ; [38 54],[56.5 35.5] ; [56.5 35.5],1
a3,1,1e-06,24.895474,[69 23] ; [35 56],[52.28415301 39.71584699] ; [51.71584699 39.28415301],1
a4,1,1e-06,24.453544,[47 45] ; [15 76],[31.16939891 60.83060109] ; [30.83060109 60.16939891],1
u1,1,1.1e-05,19.4052,[20 72] ; [ 1 91],[10.5 81.5] ; [10.5 81.5],1
b3,1,0.000681,11.541489,[25 27] ; [ 7 38],[17.15463918 34.84536082] ; [14.84536082 30.15463918],1
b2,1,0.000681,11.541489,[25 27] ; [ 7 38],[17.15463918 34.84536082] ; [14.84536082 30.15463918],1
s8,1,0.000918,10.985075,[35 57] ; [15 77],[25. 67.] ; [25. 67.],1
p6,1,0.004924,7.906977,[34 56] ; [17 73],[25.5 64.5] ; [25.5 64.5],0
p10,1,0.006059,7.53273,[78 14] ; [60 29],[70.14364641 21.85635359] ; [67.85635359 21.14364641],0
a7,1,0.006278,7.468833,[76 16] ; [59 32],[67.86885246 24.13114754] ; [67.13114754 23.86885246],0
v2,1,0.009039,6.815092,[49 36] ; [32 53],[40.5 44.5] ; [40.5 44.5],0
a6,1,0.011123,6.445539,[71 21] ; [55 37],[63. 29.] ; [63. 29.],0
p4,1,0.011663,6.361399,[54 38] ; [36 54],[45.49450549 46.50549451] ; [44.50549451 45.49450549],0
v3,1,0.011978,6.314123,[36 52] ; [21 69],[28.17977528 59.82022472] ; [28.82022472 61.17977528],0
v1,1,0.017654,5.630163,[50 40] ; [32 53],[42.17142857 47.82857143] ; [39.82857143 45.17142857],0
r1,1,0.02982,4.719656,[73 18] ; [60 31],[66.5 24.5] ; [66.5 24.5],0
p2,1,0.032246,4.585378,[80 12] ; [67 23],[74.30769231 17.69230769] ; [72.69230769 17.30769231],0
p3,1,0.035354,4.428004,[45 46] ; [31 60],[38. 53.] ; [38. 53.],0
s5,1,0.041579,4.152277,[30 56] ; [19 71],[23.94318182 62.05681818] ; [25.05681818 64.94318182],0
r2,1,0.048411,3.895652,[87  3] ; [82 10],[83.57142857  6.42857143] ; [85.42857143  6.57142857],0
p11,1,0.059209,3.559392,[75 17] ; [64 28],[69.5 22.5] ; [69.5 22.5],0
p8,1,0.0696,3.292417,[46 46] ; [33 57],[39.93406593 52.06593407] ; [39.06593407 50.93406593],0
u2,1,0.070939,3.261156,[15  8] ; [24 32],[11.35443038 11.64556962] ; [27.64556962 28.35443038],0
u3,1,0.071728,3.243027,[16  7] ; [26 29],[12.38461538 10.61538462] ; [29.61538462 25.38461538],0
r3,1,0.087453,2.920635,[90  2] ; [85  7],[87.5  4.5] ; [87.5  4.5],0
p12,1,0.095108,2.785714,[10 81] ; [ 4 87],[ 7. 84.] ; [ 7. 84.],0
n2,1,0.117574,2.449345,[16  7] ; [17  2],[18.07142857  4.92857143] ; [14.92857143  4.07142857],0
p9,1,0.130839,2.282523,[76 16] ; [66 24],[71.78021978 20.21978022] ; [70.21978022 19.78021978],0
a1,1,0.148178,2.090909,[ 2 90] ; [ 6 86],[ 4. 88.] ; [ 4. 88.],0
s2,1,0.176942,1.823119,[59 33] ; [50 42],[54.5 37.5] ; [54.5 37.5],0
a8,1,0.177282,1.820264,[ 6 84] ; [11 76],[ 8.6440678 81.3559322] ; [ 8.3559322 78.6440678],0
n6,1,0.202984,1.620771,[72 20] ; [63 27],[68.24175824 23.75824176] ; [66.75824176 23.24175824],0
b1,1,0.283518,1.150147,[30 62] ; [37 55],[33.5 58.5] ; [33.5 58.5],0
p1,1,0.321233,0.983921,[ 6 86] ; [ 3 87],[ 4.54945055 87.45054945] ; [ 4.45054945 85.54945055],0
n1,1,0.325792,0.965552,[ 9 13] ; [ 5 14],[ 7.51219512 14.48780488] ; [ 6.48780488 12.51219512],0
r4,1,0.363421,0.826038,[83  9] ; [79 13],[81. 11.] ; [81. 11.],0
n4,1,0.43727,0.603437,[63 29] ; [58 34],[60.5 31.5] ; [60.5 31.5],0
n5,1,0.462501,0.539836,[64 28] ; [58 32],[61.67032967 30.32967033] ; [60.32967033 29.67032967],0
b4,1,0.543592,0.368922,[59 33] ; [55 37],[57. 35.] ; [57. 35.],0
s1,1,0.650147,0.205714,[ 2 88] ; [ 3 87],[ 2.5 87.5] ; [ 2.5 87.5],0
s4,1,0.671474,0.179883,[17 73] ; [15 76],[15.91160221 74.08839779] ; [16.08839779 74.91160221],0
s6,1,0.672872,0.178261,[64 27] ; [60 29],[62.68888889 28.31111111] ; [61.31111111 27.68888889],0
p7,1,0.692769,0.156104,[51 38] ; [53 35],[52.29378531 36.70621469] ; [51.70621469 36.29378531],0
p5,1,0.77107,0.084666,[ 5 87] ; [ 4 85],[ 4.57458564 87.42541436] ; [ 4.42541436 84.57458564],0
v4,1,0.780773,0.077458,[84  8] ; [82  9],[83.45355191  8.54644809] ; [82.54644809  8.45355191],0
b5,1,0.879629,0.022934,[57 35] ; [56 36],[56.5 35.5] ; [56.5 35.5],0
n3,1,0.985994,0.000308,[19  5] ; [15  4],[18.97674419  5.02325581] ; [15.02325581  3.97674419],0
