Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,2.2e-05,18.00357,[39 21] ; [ 8 30],[28.7755102 31.2244898] ; [18.2244898 19.7755102],1
r3,1,2.5e-05,17.756053,[51  9] ; [17 21],[41.63265306 18.36734694] ; [26.36734694 11.63265306],1
v4,1,3.4e-05,17.176478,[53  6] ; [20 18],[44.40206186 14.59793814] ; [28.59793814  9.40206186],1
s6,1,3.4e-05,17.157465,[33 27] ; [ 5 33],[23.26530612 36.73469388] ; [14.73469388 23.26530612],1
r4,1,0.00017,14.138818,[45 15] ; [14 24],[36.12244898 23.87755102] ; [22.87755102 15.12244898],1
p7,1,0.001291,10.355909,[32 25] ; [ 8 28],[24.51612903 32.48387097] ; [15.48387097 20.51612903],0
p4,1,0.002219,9.358993,[26 34] ; [ 5 32],[19.17525773 40.82474227] ; [11.82474227 25.17525773],0
a1,1,0.00475,7.972073,[ 2 58] ; [ 8 30],[ 6.12244898 53.87755102] ; [ 3.87755102 34.12244898],0
s5,1,0.009274,6.769192,[16 43] ; [ 2 34],[11.17894737 47.82105263] ; [ 6.82105263 29.17894737],0
p10,1,0.009792,6.672412,[35 25] ; [12 26],[28.7755102 31.2244898] ; [18.2244898 19.7755102],0
s8,1,0.010523,6.544176,[20 40] ; [ 4 34],[14.69387755 45.30612245] ; [ 9.30612245 28.69387755],0
s1,1,0.012746,6.203985,[ 2 57] ; [ 7 31],[ 5.4742268 53.5257732] ; [ 3.5257732 34.4742268],0
p3,1,0.017208,5.675059,[23 37] ; [ 6 32],[17.75510204 42.24489796] ; [11.24489796 26.75510204],0
p8,1,0.020822,5.341643,[23 37] ; [ 6 31],[17.93814433 42.06185567] ; [11.06185567 25.93814433],0
s4,1,0.022002,5.245635,[16 44] ; [ 3 35],[11.63265306 48.36734694] ; [ 7.36734694 30.63265306],0
p9,1,0.026057,4.952233,[39 21] ; [16 22],[33.67346939 26.32653061] ; [21.32653061 16.67346939],0
s7,1,0.029184,4.756718,[18 38] ; [ 4 30],[13.68888889 42.31111111] ; [ 8.31111111 25.68888889],0
n1,1,0.030547,4.678254,[ 4 15] ; [10  8],[ 7.18918919 11.81081081] ; [ 6.81081081 11.18918919],0
s2,1,0.064517,3.417296,[23 36] ; [ 8 30],[18.8556701 40.1443299] ; [12.1443299 25.8556701],0
p6,1,0.071131,3.256723,[15 44] ; [ 4 34],[11.55670103 47.44329897] ; [ 7.44329897 30.55670103],0
s3,1,0.073007,3.214085,[35 24] ; [15 22],[30.72916667 28.27083333] ; [19.27083333 17.72916667],0
d2,1,0.078745,3.090624,[20 40] ; [19 18],[24.12371134 35.87628866] ; [14.87628866 22.12371134],0
r1,1,0.100513,2.697378,[40 20] ; [19 19],[36.12244898 23.87755102] ; [22.87755102 15.12244898],0
b3,1,0.112235,2.522472,[ 7 28] ; [11 18],[ 9.84375 25.15625] ; [ 8.15625 20.84375],0
b2,1,0.112235,2.522472,[ 7 28] ; [11 18],[ 9.84375 25.15625] ; [ 8.15625 20.84375],0
b5,1,0.141003,2.166983,[39 21] ; [19 19],[35.51020408 24.48979592] ; [22.48979592 15.51020408],0
n2,1,0.141182,2.165031,[13  6] ; [ 8 10],[10.78378378  8.21621622] ; [10.21621622  7.78378378],0
v1,1,0.144319,2.131297,[22 36] ; [ 9 29],[18.72916667 39.27083333] ; [12.27083333 25.72916667],0
a6,1,0.157359,1.999424,[41 19] ; [20 17],[37.73195876 22.26804124] ; [23.26804124 13.73195876],0
p1,1,0.158264,1.990734,[ 3 56] ; [ 5 33],[ 4.86597938 54.13402062] ; [ 3.13402062 34.86597938],0
a4,1,0.16471,1.93044,[20 40] ; [18 20],[23.26530612 36.73469388] ; [14.73469388 23.26530612],0
n5,1,0.244239,1.355961,[22 38] ; [18 19],[24.74226804 35.25773196] ; [15.25773196 21.74226804],0
d4,1,0.247567,1.336984,[44 16] ; [23 14],[41.44329897 18.55670103] ; [25.55670103 11.44329897],0
d3,1,0.306066,1.047575,[35 24] ; [18 19],[32.57291667 26.42708333] ; [20.42708333 16.57291667],0
a2,1,0.313754,1.014805,[ 8 52] ; [ 8 30],[ 9.79591837 50.20408163] ; [ 6.20408163 31.79591837],0
a7,1,0.335097,0.9291,[39 21] ; [21 17],[36.73469388 23.26530612] ; [23.26530612 14.73469388],0
u3,1,0.353855,0.859585,[18 10] ; [8 8],[16.54545455 11.45454545] ; [9.45454545 6.54545455],0
n3,1,0.404239,0.695681,[11  8] ; [7 9],[9.77142857 9.22857143] ; [8.22857143 7.77142857],0
d1,1,0.428881,0.625853,[19 41] ; [15 23],[20.81632653 39.18367347] ; [13.18367347 24.81632653],0
r2,1,0.542027,0.371796,[50 10] ; [29  8],[48.86597938 11.13402062] ; [30.13402062  6.86597938],0
a3,1,0.555222,0.348044,[32 28] ; [22 15],[33.40206186 26.59793814] ; [20.59793814 16.40206186],0
a8,1,0.694534,0.154221,[ 6 51] ; [ 5 33],[ 6.6 50.4] ; [ 4.4 33.6],0
b4,1,0.695575,0.153116,[34 26] ; [20 18],[33.06122449 26.93877551] ; [20.93877551 17.06122449],0
p5,1,0.727249,0.121652,[ 1 59] ; [ 1 36],[ 1.2371134 58.7628866] ; [ 0.7628866 36.2371134],0
