Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.020137,5.4,[13  2] ; [7 8],[10.  5.] ; [10.  5.],0
b1,1,0.032509,4.571429,[ 4 12] ; [10  6],[7. 9.] ; [7. 9.],0
n5,1,0.036226,4.386448,[14  2] ; [8 7],[11.35483871  4.64516129] ; [10.64516129  4.35483871],0
n2,1,0.048766,3.883405,[8 1] ; [3 4],[6.1875 2.8125] ; [4.8125 2.1875],0
p3,1,0.070076,3.28125,[ 3 13] ; [7 7],[ 5.33333333 10.66666667] ; [4.66666667 9.33333333],0
a5,1,0.07191,3.238866,[7 9] ; [12  4],[9.5 6.5] ; [9.5 6.5],0
n6,1,0.096582,2.761091,[13  3] ; [8 7],[10.83870968  5.16129032] ; [10.16129032  4.83870968],0
a2,1,0.238185,1.391304,[ 3 13] ; [ 6 10],[ 4.5 11.5] ; [ 4.5 11.5],0
n4,1,0.238185,1.391304,[13  3] ; [10  6],[11.5  4.5] ; [11.5  4.5],0
p2,1,0.260679,1.265147,[7 9] ; [9 5],[8.53333333 7.46666667] ; [7.46666667 6.53333333],0
s6,1,0.269023,1.221719,[ 5 10] ; [8 7],[6.5 8.5] ; [6.5 8.5],0
n3,1,0.280425,1.165029,[4 5] ; [5 2],[5.0625 3.9375] ; [3.9375 3.0625],0
r2,1,0.283391,1.150758,[12  3] ; [10  6],[10.64516129  4.35483871] ; [11.35483871  4.64516129],0
p11,1,0.287901,1.129412,[10  6] ; [7 9],[8.5 7.5] ; [8.5 7.5],0
b5,1,0.287901,1.129412,[7 9] ; [10  6],[8.5 7.5] ; [8.5 7.5],0
p10,1,0.295642,1.09375,[11  5] ; [7 7],[9.6 6.4] ; [8.4 5.6],0
s5,1,0.315905,1.005826,[ 1 14] ; [ 3 13],[ 1.93548387 13.06451613] ; [ 2.06451613 13.93548387],0
p1,1,0.36503,0.820513,[ 4 12] ; [ 2 14],[ 3. 13.] ; [ 3. 13.],0
p8,1,0.371949,0.797143,[ 4 12] ; [6 9],[ 5.16129032 10.83870968] ; [ 4.83870968 10.16129032],0
u3,1,0.414216,0.666667,[2 1] ; [1 2],[1.5 1.5] ; [1.5 1.5],0
r3,1,0.430841,0.620556,[9 5] ; [8 8],[7.93333333 6.06666667] ; [9.06666667 6.93333333],0
p4,1,0.438578,0.6,[ 4 11] ; [6 9],[ 5. 10.] ; [ 5. 10.],0
p7,1,0.456057,0.555556,[ 5 10] ; [7 8],[6. 9.] ; [6. 9.],0
b4,1,0.465209,0.533333,[11  5] ; [9 7],[10.  6.] ; [10.  6.],0
s7,1,0.488462,0.479912,[ 5 10] ; [6 7],[5.89285714 9.10714286] ; [5.10714286 7.89285714],0
p5,1,0.505009,0.444395,[ 1 15] ; [ 2 13],[ 1.5483871 14.4516129] ; [ 1.4516129 13.5483871],0
n1,1,0.515305,0.42328,[4 5] ; [2 5],[3.375 5.625] ; [2.625 4.375],0
s1,1,0.544197,0.367816,[ 1 15] ; [ 2 14],[ 1.5 14.5] ; [ 1.5 14.5],0
d4,1,0.570454,0.321923,[12  3] ; [14  2],[12.58064516  2.41935484] ; [13.41935484  2.58064516],0
p6,1,0.598309,0.277555,[ 3 13] ; [ 4 11],[ 3.61290323 12.38709677] ; [ 3.38709677 11.61290323],0
a7,1,0.60524,0.267165,[8 7] ; [10  6],[8.70967742 6.29032258] ; [9.29032258 6.70967742],0
r1,1,0.60524,0.267165,[ 6 10] ; [7 8],[6.70967742 9.29032258] ; [6.29032258 8.70967742],0
b3,1,0.614295,0.253968,[5 3] ; [4 4],[4.5 3.5] ; [4.5 3.5],0
b2,1,0.614295,0.253968,[5 3] ; [4 4],[4.5 3.5] ; [4.5 3.5],0
s2,1,0.704786,0.143541,[6 9] ; [ 5 10],[5.5 9.5] ; [5.5 9.5],0
d3,1,0.709749,0.138528,[10  6] ; [11  5],[10.5  5.5] ; [10.5  5.5],0
a4,1,0.723155,0.12549,[7 9] ; [8 8],[7.5 8.5] ; [7.5 8.5],0
s8,1,0.778746,0.078935,[ 4 11] ; [ 5 11],[ 4.35483871 10.64516129] ; [ 4.64516129 11.35483871],0
s3,1,0.781793,0.07672,[ 5 10] ; [ 4 10],[ 4.65517241 10.34482759] ; [4.34482759 9.65517241],0
p9,1,0.808543,0.058712,[10  6] ; [10  5],[10.32258065  5.67741935] ; [9.67741935 5.32258065],0
d2,1,0.832535,0.044712,[9 6] ; [9 7],[8.70967742 6.29032258] ; [9.29032258 6.70967742],0
v2,1,0.88644,0.020395,[9 6] ; [10  6],[9.19354839 5.80645161] ; [9.80645161 6.19354839],0
s4,1,1.0,0.0,[ 1 15] ; [ 1 15],[ 1. 15.] ; [ 1. 15.],0
a1,1,1.0,0.0,[ 2 14] ; [ 2 14],[ 2. 14.] ; [ 2. 14.],0
a3,1,1.0,0.0,[13  3] ; [13  3],[13.  3.] ; [13.  3.],0
a6,1,1.0,0.0,[9 7] ; [9 7],[9. 7.] ; [9. 7.],0
d1,1,1.0,0.0,[9 7] ; [9 7],[9. 7.] ; [9. 7.],0
u1,1,1.0,0.0,[ 1 15] ; [ 1 15],[ 1. 15.] ; [ 1. 15.],0
d5,1,1.0,0.0,[13  3] ; [13  3],[13.  3.] ; [13.  3.],0
