Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.840658,[16 19] ; [76 10],[26.61157025  8.38842975] ; [65.38842975 20.61157025],1
v4,1,0.000338,12.84738,[23 12] ; [79  7],[29.50413223  5.49586777] ; [72.49586777 13.50413223],1
r2,1,0.001144,10.579175,[24  9] ; [81  5],[29.11764706  3.88235294] ; [75.88235294 10.11764706],0
s6,1,0.005035,7.866675,[12 23] ; [53 32],[18.95833333 16.04166667] ; [46.04166667 38.95833333],0
r3,1,0.022899,5.176162,[25 10] ; [76 10],[29.21487603  5.78512397] ; [71.78512397 14.21487603],0
p1,1,0.049357,3.863156,[ 6 29] ; [ 5 81],[ 3.18181818 31.81818182] ; [ 7.81818182 78.18181818],0
b5,1,0.051429,3.794234,[28  7] ; [53 33],[23.42975207 11.57024793] ; [57.57024793 28.42975207],0
s7,1,0.052131,3.771573,[ 8 25] ; [35 45],[12.55752212 20.44247788] ; [30.44247788 49.55752212],0
s2,1,0.101038,2.689076,[10 25] ; [38 47],[14. 21.] ; [34. 51.],0
s3,1,0.116677,2.461368,[12 23] ; [42 42],[15.88235294 19.11764706] ; [38.11764706 45.88235294],0
s8,1,0.125047,2.352941,[ 7 28] ; [29 56],[10.5 24.5] ; [25.5 59.5],0
s5,1,0.126354,2.33674,[ 5 29] ; [23 59],[ 8.20689655 25.79310345] ; [19.79310345 62.20689655],0
b3,1,0.134005,2.245484,[11 14] ; [14 38],[ 8.11688312 16.88311688] ; [16.88311688 35.11688312],0
b2,1,0.134005,2.245484,[11 14] ; [14 38],[ 8.11688312 16.88311688] ; [16.88311688 35.11688312],0
u1,1,0.13905,2.188446,[ 4 31] ; [20 66],[ 6.94214876 28.05785124] ; [17.05785124 68.94214876],0
n5,1,0.143799,2.13683,[20 15] ; [61 25],[23.42975207 11.57024793] ; [57.57024793 28.42975207],0
n2,1,0.147759,2.095238,[5 6] ; [23 10],[7. 4.] ; [21. 12.],0
a3,1,0.170454,1.878947,[27  8] ; [54 30],[23.82352941 11.17647059] ; [57.17647059 26.82352941],0
p10,1,0.188461,1.72961,[18 16] ; [56 29],[21.14285714 12.85714286] ; [52.85714286 32.14285714],0
n4,1,0.193769,1.688729,[21 14] ; [62 24],[24.00826446 10.99173554] ; [58.99173554 27.00826446],0
v2,1,0.206265,1.597448,[14 19] ; [46 37],[17.06896552 15.93103448] ; [42.93103448 40.06896552],0
n3,1,0.237862,1.393222,[5 6] ; [21 11],[6.65116279 4.34883721] ; [19.34883721 12.65116279],0
p8,1,0.242158,1.367989,[ 6 28] ; [24 62],[ 8.5 25.5] ; [21.5 64.5],0
a2,1,0.25182,1.313178,[ 7 28] ; [26 60],[ 9.54545455 25.45454545] ; [23.45454545 62.54545455],0
p3,1,0.259617,1.270798,[ 8 26] ; [29 56],[10.57142857 23.42857143] ; [26.42857143 58.57142857],0
u3,1,0.265978,1.237374,[3 5] ; [19 13],[4.4 3.6] ; [17.6 14.4],0
d1,1,0.301567,1.067253,[18 17] ; [53 33],[20.53719008 14.46280992] ; [50.46280992 35.53719008],0
n6,1,0.304561,1.054118,[22 12] ; [63 22],[24.28571429  9.71428571] ; [60.71428571 24.28571429],0
p11,1,0.312903,1.018383,[16 19] ; [48 38],[18.51239669 16.48760331] ; [45.48760331 40.51239669],0
d4,1,0.330407,0.947303,[26  9] ; [69 15],[27.94117647  7.05882353] ; [67.05882353 16.94117647],0
n1,1,0.334932,0.929736,[3 8] ; [14 18],[4.34883721 6.65116279] ; [12.65116279 19.34883721],0
