Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,62.666074,[105  36] ; [ 1 36],[83.96629213 57.03370787] ; [22.03370787 14.96629213],1
d4,1,0.0,33.29866,[127  14] ; [18 19],[114.85955056  26.14044944] ; [30.14044944  6.85955056],1
d2,1,1.1e-05,19.387413,[84 57] ; [ 7 30],[72.08426966 68.91573034] ; [18.91573034 18.08426966],1
p9,1,7.8e-05,15.604662,[127  13] ; [24 13],[119.43502825  20.56497175] ; [31.56497175  5.43502825],1
a4,1,8.6e-05,15.413982,[75 66] ; [ 6 30],[64.52542373 76.47457627] ; [16.47457627 19.52542373],1
d3,1,0.000318,12.96314,[107  33] ; [17 20],[98.07909605 41.92090395] ; [25.92090395 11.07909605],1
a2,1,0.003412,8.572838,[ 40 101] ; [ 2 35],[ 33.26966292 107.73033708] ; [ 8.73033708 28.26966292],0
a5,1,0.003417,8.570258,[104  37] ; [18 19],[96.64044944 44.35955056] ; [25.35955056 11.64044944],0
n4,1,0.010092,6.618662,[121  20] ; [25 12],[115.65168539  25.34831461] ; [30.34831461  6.65168539],0
s6,1,0.013934,6.046497,[95 45] ; [17 20],[88.58757062 51.41242938] ; [23.41242938 13.58757062],0
p4,1,0.016262,5.774362,[114  27] ; [23 14],[108.52247191  32.47752809] ; [28.47752809  8.52247191],0
p2,1,0.029373,4.745639,[131  10] ; [30  7],[127.53370787  13.46629213] ; [33.46629213  3.53370787],0
v4,1,0.037193,4.341571,[137   4] ; [33  4],[134.66292135   6.33707865] ; [35.33707865  1.66292135],0
r1,1,0.037791,4.3144,[117  24] ; [25 12],[112.48314607  28.51685393] ; [29.51685393  7.48314607],0
s8,1,0.04333,4.082485,[72 69] ; [12 25],[66.53932584 74.46067416] ; [17.46067416 19.53932584],0
p10,1,0.057798,3.599472,[113  26] ; [24 12],[108.81714286  30.18285714] ; [28.18285714  7.81714286],0
v1,1,0.058762,3.571974,[83 54] ; [16 21],[77.94827586 59.05172414] ; [21.05172414 15.94827586],0
p1,1,0.121146,2.402445,[ 11 130] ; [ 6 31],[ 13.46629213 127.53370787] ; [ 3.53370787 33.46629213],0
u3,1,0.162028,1.955197,[25 16] ; [6 9],[22.69642857 18.30357143] ; [8.30357143 6.69642857],0
a3,1,0.190469,1.713986,[99 41] ; [22 15],[95.70621469 44.29378531] ; [25.29378531 11.70621469],0
v2,1,0.226559,1.462332,[86 52] ; [19 18],[82.8 55.2] ; [22.2 14.8],0
r3,1,0.233228,1.421066,[136   5] ; [34  3],[134.66292135   6.33707865] ; [35.33707865  1.66292135],0
n5,1,0.264739,1.243807,[113  26] ; [27 10],[110.56818182  28.43181818] ; [29.43181818  7.56818182],0
r4,1,0.281132,1.161608,[127  14] ; [31  6],[125.15730337  15.84269663] ; [32.84269663  4.15730337],0
n6,1,0.284294,1.14645,[123  17] ; [30  7],[121.01694915  18.98305085] ; [31.98305085  5.01694915],0
p12,1,0.285914,1.138762,[ 11 129] ; [ 5 32],[ 12.65536723 127.34463277] ; [ 3.34463277 33.65536723],0
p3,1,0.288583,1.126219,[86 55] ; [19 18],[83.1741573 57.8258427] ; [21.8258427 15.1741573],0
v3,1,0.296453,1.090084,[57 79] ; [12 25],[54.24277457 81.75722543] ; [14.75722543 22.24277457],0
n1,1,0.353736,0.86001,[ 9 19] ; [4 4],[10.11111111 17.88888889] ; [2.88888889 5.11111111],0
n2,1,0.360865,0.834879,[16 12] ; [6 2],[17.11111111 10.88888889] ; [4.88888889 3.11111111],0
s3,1,0.375818,0.784337,[68 72] ; [21 16],[70.39548023 69.60451977] ; [18.60451977 18.39548023],0
b4,1,0.422385,0.643671,[79 62] ; [18 19],[76.83707865 64.16292135] ; [20.16292135 16.83707865],0
p5,1,0.44071,0.594433,[ 13 128] ; [ 5 32],[ 14.25842697 126.74157303] ; [ 3.74157303 33.25842697],0
a6,1,0.443632,0.58687,[97 44] ; [23 14],[95.05617978 45.94382022] ; [24.94382022 12.05617978],0
n3,1,0.453255,0.5625,[21  7] ; [7 1],[21.77777778  6.22222222] ; [6.22222222 1.77777778],0
u2,1,0.454492,0.559425,[27 15] ; [8 7],[25.78947368 16.21052632] ; [9.21052632 5.78947368],0
a1,1,0.462876,0.538931,[  8 133] ; [ 1 36],[  7.12921348 133.87078652] ; [ 1.87078652 35.12921348],0
r2,1,0.479922,0.499042,[131   7] ; [34  3],[130.11428571   7.88571429] ; [34.88571429  2.11428571],0
s7,1,0.59599,0.281086,[68 66] ; [16 19],[66.6035503 67.3964497] ; [17.3964497 17.6035503],0
p7,1,0.692787,0.156084,[111  27] ; [30  6],[111.82758621  26.17241379] ; [29.17241379  6.82758621],0
s2,1,0.745085,0.105707,[63 78] ; [15 21],[62.13559322 78.86440678] ; [15.86440678 20.13559322],0
b1,1,0.76967,0.085735,[61 80] ; [17 20],[61.78651685 79.21348315] ; [16.21348315 20.78651685],0
u4,1,0.800272,0.064007,[  5 136] ; [ 1 36],[  4.75280899 136.24719101] ; [ 1.24719101 35.75280899],0
s1,1,0.814949,0.054777,[  5 135] ; [ 1 35],[  4.77272727 135.22727273] ; [ 1.22727273 34.77272727],0
p8,1,0.815151,0.054656,[93 46] ; [24 13],[92.40340909 46.59659091] ; [24.59659091 12.40340909],0
p11,1,0.866939,0.028072,[116  25] ; [30  7],[115.65168539  25.34831461] ; [30.34831461  6.65168539],0
s4,1,0.89513,0.017375,[ 14 125] ; [ 4 33],[ 14.21590909 124.78409091] ; [ 3.78409091 33.21590909],0
a8,1,0.917073,0.010841,[ 17 108] ; [ 5 30],[ 17.1875 107.8125] ; [ 4.8125 30.1875],0
a7,1,0.923727,0.009166,[107  33] ; [28  9],[106.77966102  33.22033898] ; [28.22033898  8.77966102],0
b3,1,0.938054,0.00604,[40 49] ; [11 13],[40.16814159 48.83185841] ; [10.83185841 13.16814159],0
b2,1,0.938054,0.00604,[40 49] ; [11 13],[40.16814159 48.83185841] ; [10.83185841 13.16814159],0
b5,1,0.970571,0.001361,[91 50] ; [24 13],[91.09550562 49.90449438] ; [23.90449438 13.09550562],0
