Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,4.8e-05,16.535513,[19 49] ; [30 15],[29.48672566 38.51327434] ; [19.51327434 25.48672566],1
a4,1,9.3e-05,15.279844,[16 52] ; [27 18],[25.87610619 42.12389381] ; [17.12389381 27.87610619],1
a2,1,0.000443,12.342398,[ 6 62] ; [16 29],[13.23893805 54.76106195] ; [ 8.76106195 36.23893805],1
r4,1,0.001199,10.491231,[51 17] ; [44  1],[57.16814159 10.83185841] ; [37.83185841  7.16814159],0
p7,1,0.001539,10.03147,[38 30] ; [38  7],[45.73451327 22.26548673] ; [30.26548673 14.73451327],0
b1,1,0.014297,6.001115,[22 46] ; [25 20],[28.28318584 39.71681416] ; [18.71681416 26.28318584],0
n4,1,0.014297,6.001115,[22 46] ; [25 20],[28.28318584 39.71681416] ; [18.71681416 26.28318584],0
p3,1,0.020123,5.40117,[35 33] ; [33 12],[40.92035398 27.07964602] ; [27.07964602 17.92035398],0
p1,1,0.020268,5.388673,[ 4 63] ; [ 9 35],[ 7.84684685 59.15315315] ; [ 5.15315315 38.84684685],0
s5,1,0.020769,5.346078,[15 50] ; [19 24],[20.46296296 44.53703704] ; [13.53703704 29.46296296],0
s4,1,0.021969,5.248225,[ 8 60] ; [13 32],[12.63716814 55.36283186] ; [ 8.36283186 36.63716814],0
u1,1,0.022578,5.200708,[ 5 63] ; [10 35],[ 9.02654867 58.97345133] ; [ 5.97345133 39.02654867],0
u2,1,0.040242,4.207637,[16 15] ; [11  2],[19.02272727 11.97727273] ; [7.97727273 5.02272727],0
n6,1,0.04025,4.207327,[38 30] ; [33 11],[43.10714286 24.89285714] ; [27.89285714 16.10714286],0
p8,1,0.041611,4.150953,[29 39] ; [28 17],[34.30088496 33.69911504] ; [22.69911504 22.30088496],0
d5,1,0.046821,3.951797,[48 20] ; [39  6],[52.3539823 15.6460177] ; [34.6460177 10.3539823],0
s7,1,0.049535,3.857143,[20 44] ; [22 22],[24.88888889 39.11111111] ; [17.11111111 26.88888889],0
u3,1,0.051727,3.784581,[19 11] ; [12  1],[21.62790698  8.37209302] ; [9.37209302 3.62790698],0
p11,1,0.05253,3.7588,[41 27] ; [35 10],[45.73451327 22.26548673] ; [30.26548673 14.73451327],0
a3,1,0.053422,3.730656,[36 32] ; [32 13],[40.92035398 27.07964602] ; [27.07964602 17.92035398],0
s8,1,0.053613,3.724721,[21 47] ; [22 23],[25.87610619 42.12389381] ; [17.12389381 27.87610619],0
p10,1,0.065421,3.394334,[41 26] ; [35 10],[45.46428571 21.53571429] ; [30.53571429 14.46428571],0
s6,1,0.073501,3.203052,[38 29] ; [33 12],[42.47321429 24.52678571] ; [28.52678571 16.47321429],0
p12,1,0.077788,3.110521,[ 2 66] ; [ 5 40],[ 4.21238938 63.78761062] ; [ 2.78761062 42.21238938],0
d1,1,0.080103,3.062819,[34 34] ; [30 15],[38.51327434 29.48672566] ; [25.48672566 19.51327434],0
v1,1,0.104599,2.633987,[21 44] ; [21 23],[25.04587156 39.95412844] ; [16.95412844 27.04587156],0
a5,1,0.110351,2.549193,[45 23] ; [36  9],[48.74336283 19.25663717] ; [32.25663717 12.74336283],0
n3,1,0.12289,2.380099,[15  7] ; [11  1],[16.82352941  5.17647059] ; [9.17647059 2.82352941],0
n1,1,0.137987,2.200269,[ 4 18] ; [5 7],[ 5.82352941 16.17647059] ; [3.17647059 8.82352941],0
b2,1,0.161779,1.957515,[ 8 31] ; [11 20],[10.58571429 28.41428571] ; [ 8.41428571 22.58571429],0
b3,1,0.161779,1.957515,[ 8 31] ; [11 20],[10.58571429 28.41428571] ; [ 8.41428571 22.58571429],0
p9,1,0.168264,1.898346,[44 23] ; [35 10],[47.25892857 19.74107143] ; [31.74107143 13.25892857],0
r2,1,0.203099,1.619951,[58 10] ; [41  3],[60.10714286  7.89285714] ; [38.89285714  5.10714286],0
v2,1,0.207791,1.586752,[28 35] ; [25 19],[31.20560748 31.79439252] ; [21.79439252 22.20560748],0
b4,1,0.278424,1.174764,[40 28] ; [31 14],[42.72566372 25.27433628] ; [28.27433628 16.72566372],0
d3,1,0.365233,0.819821,[51 17] ; [37  8],[52.95575221 15.04424779] ; [35.04424779  9.95575221],0
p2,1,0.372244,0.796159,[52 15] ; [38  7],[53.83928571 13.16071429] ; [36.16071429  8.83928571],0
v4,1,0.374287,0.789382,[62  6] ; [43  2],[63.18584071  4.81415929] ; [41.81415929  3.18584071],0
r1,1,0.467365,0.5282,[48 19] ; [35 10],[49.65178571 17.34821429] ; [33.34821429 11.65178571],0
a7,1,0.495642,0.464254,[49 19] ; [35 10],[50.54867257 17.45132743] ; [33.45132743 11.54867257],0
v3,1,0.498575,0.457968,[18 45] ; [10 34],[16.48598131 46.51401869] ; [11.51401869 32.48598131],0
d4,1,0.500769,0.453306,[54 14] ; [38  7],[55.36283186 12.63716814] ; [36.63716814  8.36283186],0
p5,1,0.530092,0.394215,[ 5 63] ; [ 2 43],[ 4.21238938 63.78761062] ; [ 2.78761062 42.21238938],0
a1,1,0.530092,0.394215,[ 5 63] ; [ 2 43],[ 4.21238938 63.78761062] ; [ 2.78761062 42.21238938],0
b5,1,0.548594,0.359842,[40 28] ; [29 16],[41.52212389 26.47787611] ; [27.47787611 17.52212389],0
s1,1,0.600758,0.273855,[ 3 65] ; [ 3 42],[ 3.61061947 64.38938053] ; [ 2.38938053 42.61061947],0
n2,1,0.632142,0.229167,[14  7] ; [7 5],[13.36363636  7.63636364] ; [7.63636364 4.36363636],0
s3,1,0.668213,0.1837,[35 31] ; [22 23],[33.89189189 32.10810811] ; [23.10810811 21.89189189],0
a6,1,0.772917,0.083268,[42 26] ; [29 16],[42.72566372 25.27433628] ; [28.27433628 16.72566372],0
a8,1,0.823689,0.049641,[ 5 57] ; [ 4 39],[ 5.31428571 56.68571429] ; [ 3.68571429 39.31428571],0
s2,1,0.906786,0.013711,[32 35] ; [22 23],[32.30357143 34.69642857] ; [21.69642857 23.30357143],0
