Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,88.187296,[166 213] ; [196  43],[222.00323625 156.99676375] ; [139.99676375  99.00323625],1
v1,1,4e-06,21.502666,[178 211] ; [156  85],[206.23174603 182.76825397] ; [127.76825397 113.23174603],1
s8,1,0.000168,14.157983,[146 248] ; [126 115],[168.76850394 225.23149606] ; [103.23149606 137.76850394],1
n5,1,0.0003,13.073333,[265 125] ; [197  46],[284.64454976 105.35545024] ; [177.35545024  65.64454976],1
s7,1,0.000886,11.051137,[161 220] ; [127  99],[180.77100494 200.22899506] ; [107.22899506 118.77100494],1
p12,1,0.001106,10.641453,[ 13 378] ; [ 23 219],[ 22.23696682 368.76303318] ; [ 13.76303318 228.23696682],0
n4,1,0.001818,9.724551,[285 109] ; [202  41],[301.22135008  92.77864992] ; [185.77864992  57.22135008],0
p3,1,0.002214,9.363318,[161 233] ; [130 114],[179.70846395 214.29153605] ; [111.29153605 132.70846395],0
s2,1,0.009783,6.67393,[179 213] ; [135 105],[194.75949367 197.24050633] ; [119.24050633 120.75949367],0
v4,1,0.022107,5.237335,[368  23] ; [239   5],[373.75905512  17.24094488] ; [233.24094488  10.75905512],0
a1,1,0.022566,5.201596,[  9 386] ; [ 14 230],[ 14.21752739 380.78247261] ; [  8.78247261 235.21752739],0
p10,1,0.023334,5.143499,[299  93] ; [202  39],[310.25592417  81.74407583] ; [190.74407583  50.25592417],0
n6,1,0.024302,5.072969,[313  79] ; [211  32],[323.47716535  68.52283465] ; [200.52283465  42.47716535],0
s4,1,0.033357,4.527338,[ 75 313] ; [ 31 211],[ 65.28253968 322.71746032] ; [ 40.71746032 201.28253968],0
p4,1,0.046709,3.955845,[207 186] ; [147  95],[219.08976378 173.91023622] ; [134.91023622 107.08976378],0
d1,1,0.050833,3.813775,[225 170] ; [158  86],[236.75273865 158.24726135] ; [146.24726135  97.75273865],0
d2,1,0.052976,3.744663,[181 214] ; [130 112],[192.84929356 202.15070644] ; [118.15070644 123.84929356],0
a5,1,0.052989,3.744255,[289 106] ; [195  49],[299.18622848  95.81377152] ; [184.81377152  59.18622848],0
a2,1,0.053294,3.734666,[ 94 301] ; [ 75 169],[104.46791862 290.53208138] ; [ 64.53208138 179.46791862],0
u1,1,0.057084,3.620131,[ 68 327] ; [ 57 187],[ 77.26917058 317.73082942] ; [ 47.73082942 196.26917058],0
a3,1,0.094133,2.802238,[273 120] ; [183  59],[282.21732283 110.78267717] ; [173.78267717  68.21732283],0
p7,1,0.108353,2.578085,[232 154] ; [157  79],[241.40514469 144.59485531] ; [147.59485531  88.40514469],0
r4,1,0.118312,2.439529,[369  26] ; [235   9],[373.36463224  21.63536776] ; [230.63536776  13.36463224],0
p9,1,0.134099,2.244397,[309  83] ; [200  39],[316.20919176  75.79080824] ; [192.79080824  46.20919176],0
r3,1,0.172784,1.858623,[374  18] ; [237   6],[377.18425197  14.81574803] ; [233.81574803   9.18425197],0
p8,1,0.211242,1.562897,[188 202] ; [128 112],[195.61904762 194.38095238] ; [120.38095238 119.61904762],0
s3,1,0.249361,1.326879,[212 181] ; [139  98],[218.95714286 174.04285714] ; [132.04285714 104.95714286],0
u4,1,0.280024,1.166976,[  4 391] ; [  5 239],[  5.56338028 389.43661972] ; [  3.43661972 240.56338028],0
b4,1,0.287703,1.130338,[226 169] ; [150  94],[232.4256651 162.5743349] ; [143.5743349 100.4256651],0
r2,1,0.2883,1.127541,[376  16] ; [235   6],[378.37598736  13.62401264] ; [232.62401264   8.37598736],0
p11,1,0.296704,1.088948,[300  95] ; [194  50],[305.36776213  89.63223787] ; [188.63223787  55.36776213],0
d3,1,0.301096,1.069334,[273 122] ; [178  66],[278.78716745 116.21283255] ; [172.21283255  71.78716745],0
a6,1,0.328145,0.956204,[270 125] ; [175  68],[275.50940439 119.49059561] ; [169.49059561  73.50940439],0
p1,1,0.3511,0.869477,[ 19 373] ; [ 16 227],[ 21.60629921 370.39370079] ; [ 13.39370079 229.60629921],0
n1,1,0.357704,0.845938,[41 64] ; [13 29],[38.57142857 66.42857143] ; [15.42857143 26.57142857],0
n2,1,0.358967,0.841503,[72 32] ; [33 10],[74.28571429 29.71428571] ; [30.71428571 12.28571429],0
b1,1,0.374048,0.790173,[158 237] ; [ 89 155],[152.68388106 242.31611894] ; [ 94.31611894 149.68388106],0
p6,1,0.388708,0.742979,[134 255] ; [ 75 166],[129.04920635 259.95079365] ; [ 79.95079365 161.04920635],0
a8,1,0.42826,0.627538,[ 48 316] ; [ 33 179],[ 51.1875 312.8125] ; [ 29.8125 182.1875],0
a4,1,0.436451,0.605595,[180 213] ; [119 124],[184.75943396 208.24056604] ; [114.24056604 128.75943396],0
u2,1,0.505018,0.444376,[66 53] ; [37 24],[68.09444444 50.90555556] ; [34.90555556 26.09444444],0
n3,1,0.520916,0.412079,[73 29] ; [33 10],[74.56551724 27.43448276] ; [31.43448276 11.56551724],0
p2,1,0.543967,0.368237,[322  72] ; [204  40],[324.8338558  69.1661442] ; [201.1661442  42.8338558],0
d5,1,0.589265,0.291494,[320  75] ; [201  42],[322.56269592  72.43730408] ; [198.43730408  44.56269592],0
u3,1,0.634407,0.226132,[77 44] ; [36 24],[75.54143646 45.45856354] ; [37.45856354 22.54143646],0
s6,1,0.653098,0.202017,[257 133] ; [163  78],[259.58795563 130.41204437] ; [160.41204437  80.58795563],0
s5,1,0.673947,0.17702,[118 264] ; [ 78 162],[120.37299035 261.62700965] ; [ 75.62700965 164.37299035],0
d4,1,0.791613,0.06981,[329  65] ; [204  38],[330.1918239  63.8081761] ; [202.8081761  39.1918239],0
a7,1,0.806357,0.060088,[294 101] ; [178  64],[292.6844584 102.3155416] ; [179.3155416  62.6844584],0
b2,1,0.835713,0.043007,[ 79 147] ; [54 96],[ 79.94148936 146.05851064] ; [53.05851064 96.94148936],0
b3,1,0.835713,0.043007,[ 79 147] ; [54 96],[ 79.94148936 146.05851064] ; [53.05851064 96.94148936],0
s1,1,0.936941,0.006259,[ 11 379] ; [  7 232],[ 11.16057234 378.83942766] ; [  6.83942766 232.16057234],0
b5,1,0.938603,0.005933,[240 155] ; [149  95],[240.46165884 154.53834116] ; [148.53834116  95.46165884],0
