Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.3e-05,18.939567,[30 21] ; [ 43 123],[17.15668203 33.84331797] ; [ 55.84331797 110.15668203],1
r1,1,0.004952,7.896923,[41 12] ; [96 76],[32.27111111 20.72888889] ; [104.72888889  67.27111111],0
a3,1,0.008173,6.995095,[34 18] ; [76 95],[25.65022422 26.34977578] ; [84.34977578 86.65022422],0
r4,1,0.016717,5.725811,[46  7] ; [121  51],[39.33777778 13.66222222] ; [127.66222222  44.33777778],0
r2,1,0.019649,5.442809,[49  4] ; [133  37],[43.25560538  9.74439462] ; [138.74439462  31.25560538],0
s7,1,0.024661,5.047542,[22 25] ; [ 49 118],[15.59345794 31.40654206] ; [ 55.40654206 111.59345794],0
n4,1,0.039987,4.218453,[39 13] ; [102  70],[32.73214286 19.26785714] ; [108.26785714  63.73214286],0
a5,1,0.040723,4.18751,[32 20] ; [78 94],[25.53571429 26.46428571] ; [84.46428571 87.53571429],0
p3,1,0.041254,4.165567,[25 27] ; [ 56 116],[18.80357143 33.19642857] ; [ 62.19642857 109.80357143],0
n2,1,0.069377,3.297695,[12  1] ; [39 19],[9.33802817 3.66197183] ; [41.66197183 16.33802817],0
s2,1,0.076034,3.147695,[25 28] ; [ 58 114],[19.55111111 33.44888889] ; [ 63.44888889 108.55111111],0
s3,1,0.094108,2.802655,[29 22] ; [74 96],[23.76923077 27.23076923] ; [79.23076923 90.76923077],0
n5,1,0.103106,2.656828,[39 13] ; [106  63],[34.11764706 17.88235294] ; [110.88235294  58.11764706],0
p5,1,0.103235,2.654844,[ 7 45] ; [ 11 160],[ 4.19730942 47.80269058] ; [ 13.80269058 157.19730942],0
p4,1,0.143301,2.142154,[26 24] ; [ 69 102],[21.49321267 28.50678733] ; [73.50678733 97.49321267],0
b5,1,0.179073,1.805303,[24 29] ; [96 76],[28.26666667 24.73333333] ; [91.73333333 80.26666667],0
r3,1,0.212926,1.551422,[48  5] ; [143  28],[45.19196429  7.80803571] ; [145.80803571  25.19196429],0
p11,1,0.23345,1.41972,[33 20] ; [122  50],[36.51111111 16.48888889] ; [118.48888889  53.51111111],0
s6,1,0.239266,1.384914,[31 21] ; [85 84],[27.29411765 24.70588235] ; [88.70588235 80.29411765],0
a8,1,0.244073,1.356916,[ 3 45] ; [ 20 144],[ 5.20754717 42.79245283] ; [ 17.79245283 146.20754717],0
a4,1,0.257937,1.279795,[ 8 44] ; [ 39 133],[10.91071429 41.08928571] ; [ 36.08928571 135.91071429],0
a1,1,0.301415,1.067922,[ 1 52] ; [  9 163],[ 2.35555556 50.64444444] ; [  7.64444444 164.35555556],0
b1,1,0.303623,1.058213,[21 32] ; [82 90],[24.26222222 28.73777778] ; [78.73777778 93.26222222],0
s8,1,0.31535,1.008134,[15 38] ; [ 37 134],[12.30357143 40.69642857] ; [ 39.69642857 131.30357143],0
v4,1,0.332767,0.938099,[48  5] ; [146  25],[45.90178571  7.09821429] ; [148.09821429  22.90178571],0
b4,1,0.339489,0.912362,[32 21] ; [91 81],[28.97333333 24.02666667] ; [94.02666667 77.97333333],0
p10,1,0.345125,0.8913,[35 15] ; [106  63],[32.19178082 17.80821918] ; [108.80821918  60.19178082],0
b2,1,0.373457,0.792129,[10 19] ; [22 63],[ 8.14035088 20.85964912] ; [23.85964912 61.14035088],0
b3,1,0.373457,0.792129,[10 19] ; [22 63],[ 8.14035088 20.85964912] ; [23.85964912 61.14035088],0
s1,1,0.380039,0.770575,[ 1 51] ; [  8 164],[ 2.08928571 49.91071429] ; [  6.91071429 165.08928571],0
s5,1,0.409571,0.680046,[15 37] ; [ 39 129],[12.76363636 39.23636364] ; [ 41.23636364 126.76363636],0
p12,1,0.445495,0.582088,[ 3 48] ; [  6 166],[ 2.05829596 48.94170404] ; [  6.94170404 165.05829596],0
s4,1,0.457108,0.552967,[ 8 44] ; [ 34 136],[ 9.83783784 42.16216216] ; [ 32.16216216 137.83783784],0
