Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,106.041671,[  5 105] ; [181 111],[50.89552239 59.10447761] ; [135.10447761 156.89552239],1
d3,1,0.0,83.243586,[27 81] ; [219  73],[66.42 41.58] ; [179.58 112.42],1
d5,1,0.0,65.597627,[48 61] ; [246  46],[79.91521197 29.08478803] ; [214.08478803  77.91521197],1
r1,1,0.0,30.804172,[53 56] ; [225  66],[75.755 33.245] ; [202.245  88.755],1
a7,1,1e-06,23.227396,[58 51] ; [227  65],[77.46882793 31.53117207] ; [207.53117207  84.46882793],1
a3,1,3e-06,22.08965,[47 61] ; [202  90],[67.23 40.77] ; [181.77 110.23],1
a5,1,3e-06,21.753432,[50 60] ; [206  86],[70.04975124 39.95024876] ; [185.95024876 106.04975124],1
u1,1,7.5e-05,15.681732,[  2 108] ; [ 48 244],[13.68159204 96.31840796] ; [ 36.31840796 255.68159204],1
d2,1,0.000113,14.903347,[27 83] ; [133 158],[43.89027431 66.10972569] ; [116.10972569 174.89027431],1
a4,1,0.000355,12.752838,[25 83] ; [124 167],[40.33082707 67.66917293] ; [108.66917293 182.33082707],1
r4,1,0.000655,11.612541,[73 37] ; [240  52],[85.64676617 24.35323383] ; [227.35323383  64.64676617],1
r2,1,0.00261,9.061697,[86 23] ; [259  28],[94.96212121 14.03787879] ; [250.03787879  36.96212121],0
r3,1,0.002885,8.87878,[88 21] ; [266  25],[96.465 12.535] ; [257.535  33.465],0
a6,1,0.003423,8.566905,[61 49] ; [207  85],[73.33333333 36.66666667] ; [194.66666667  97.33333333],0
a2,1,0.005678,7.649668,[ 10 100] ; [ 61 231],[19.4278607 90.5721393] ; [ 51.5721393 240.4278607],0
b2,1,0.007926,7.050122,[13 53] ; [ 61 100],[21.5154185 44.4845815] ; [ 52.4845815 108.5154185],0
b3,1,0.007926,7.050122,[13 53] ; [ 61 100],[21.5154185 44.4845815] ; [ 52.4845815 108.5154185],0
n4,1,0.008399,6.946419,[64 46] ; [210  82],[74.97512438 35.02487562] ; [199.02487562  92.97512438],0
b4,1,0.009887,6.655156,[49 61] ; [172 120],[60.47263682 49.52736318] ; [160.52736318 131.47263682],0
s6,1,0.015029,5.913007,[44 66] ; [156 135],[54.86284289 55.13715711] ; [145.13715711 145.86284289],0
p4,1,0.015029,5.913007,[44 66] ; [156 135],[54.86284289 55.13715711] ; [145.13715711 145.86284289],0
u2,1,0.015769,5.828504,[25 38] ; [53 36],[32.32894737 30.67105263] ; [45.67105263 43.32894737],0
u3,1,0.018648,5.534212,[25 38] ; [52 36],[32.12582781 30.87417219] ; [44.87417219 43.12582781],0
v4,1,0.027322,4.870343,[89 19] ; [264  28],[95.31 12.69] ; [257.69  34.31],0
p9,1,0.044191,4.04924,[71 36] ; [220  68],[78.8278481 28.1721519] ; [212.1721519  75.8278481],0
p11,1,0.056328,3.642326,[72 38] ; [219  73],[79.62686567 30.37313433] ; [211.37313433  80.62686567],0
p10,1,0.064336,3.421912,[66 41] ; [207  83],[73.57934509 33.42065491] ; [199.42065491  90.57934509],0
