Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.385221,[27 23] ; [72  9],[37.78625954 12.21374046] ; [61.21374046 19.78625954],1
a5,1,0.000459,12.27567,[17 33] ; [53 28],[26.71755725 23.28244275] ; [43.28244275 37.71755725],1
n4,1,0.018311,5.566185,[12 38] ; [36 45],[18.32061069 31.67938931] ; [29.67938931 51.32061069],0
r2,1,0.025115,5.015923,[36 13] ; [71  9],[40.64341085  8.35658915] ; [66.35658915 13.64341085],0
a6,1,0.044968,4.019826,[20 30] ; [47 34],[25.57251908 24.42748092] ; [41.42748092 39.57251908],0
n3,1,0.050304,3.831293,[8 8] ; [22  6],[10.90909091  5.09090909] ; [19.09090909  8.90909091],0
r3,1,0.055585,3.66444,[39 11] ; [73  8],[42.7480916  7.2519084] ; [69.2519084 11.7480916],0
a4,1,0.067926,3.33245,[12 38] ; [32 49],[16.79389313 33.20610687] ; [27.20610687 53.79389313],0
p11,1,0.068762,3.312325,[26 24] ; [55 26],[30.91603053 19.08396947] ; [50.08396947 30.91603053],0
a3,1,0.083473,2.995941,[22 27] ; [49 32],[26.76153846 22.23846154] ; [44.23846154 36.76153846],0
d1,1,0.099527,2.713113,[15 35] ; [36 45],[19.46564885 30.53435115] ; [31.53435115 49.46564885],0
b4,1,0.108772,2.571979,[25 25] ; [52 29],[29.38931298 20.61068702] ; [47.61068702 33.38931298],0
d4,1,0.112993,2.511854,[34 16] ; [65 16],[37.78625954 12.21374046] ; [61.21374046 19.78625954],0
u1,1,0.123006,2.378624,[ 1 49] ; [ 7 74],[ 3.05343511 46.94656489] ; [ 4.94656489 76.05343511],0
d5,1,0.124466,2.360203,[28 21] ; [57 24],[32.03846154 16.96153846] ; [52.96153846 28.03846154],0
p1,1,0.140174,2.176052,[ 5 44] ; [ 3 77],[ 3.03875969 45.96124031] ; [ 4.96124031 75.03875969],0
a1,1,0.141279,2.163969,[ 4 46] ; [ 2 79],[ 2.29007634 47.70992366] ; [ 3.70992366 77.29007634],0
s3,1,0.15848,1.988671,[17 31] ; [39 42],[20.8372093 27.1627907] ; [35.1627907 45.8372093],0
p2,1,0.165272,1.925314,[32 17] ; [62 19],[35.43076923 13.56923077] ; [58.56923077 22.43076923],0
u3,1,0.167634,1.903977,[15 13] ; [22  9],[17.55932203 10.44067797] ; [19.44067797 11.55932203],0
a2,1,0.172493,1.86114,[ 3 47] ; [11 70],[ 5.34351145 44.65648855] ; [ 8.65648855 72.34351145],0
b5,1,0.236724,1.399995,[33 17] ; [45 36],[29.77099237 20.22900763] ; [48.22900763 32.77099237],0
d3,1,0.240702,1.37648,[27 22] ; [53 28],[30.15384615 18.84615385] ; [49.84615385 31.15384615],0
s2,1,0.240702,1.37648,[22 28] ; [27 53],[18.84615385 31.15384615] ; [30.15384615 49.84615385],0
s6,1,0.272936,1.201931,[21 29] ; [41 38],[24.03100775 25.96899225] ; [37.96899225 41.03100775],0
v4,1,0.290035,1.11946,[41  8] ; [72  8],[42.92248062  6.07751938] ; [70.07751938  9.92248062],0
p5,1,0.293863,1.101839,[ 3 46] ; [ 2 79],[ 1.88461538 47.11538462] ; [ 3.11538462 77.88461538],0
s7,1,0.302508,1.063103,[12 36] ; [25 49],[14.55737705 33.44262295] ; [22.44262295 51.55737705],0
s1,1,0.307545,1.041189,[ 2 48] ; [ 7 74],[ 3.4351145 46.5648855] ; [ 5.5648855 75.4351145],0
b1,1,0.309924,1.031001,[23 27] ; [30 51],[20.22900763 29.77099237] ; [32.77099237 48.22900763],0
n6,1,0.317464,0.999365,[31 19] ; [43 38],[28.24427481 21.75572519] ; [45.75572519 35.24427481],0
v1,1,0.498283,0.458591,[12 37] ; [24 56],[13.6744186 35.3255814] ; [22.3255814 57.6744186],0
a7,1,0.547041,0.362644,[32 17] ; [57 24],[33.54615385 15.45384615] ; [55.45384615 25.54615385],0
s8,1,0.658657,0.195159,[12 38] ; [22 58],[13.07692308 36.92307692] ; [20.92307692 59.07692308],0
n2,1,0.702899,0.145474,[9 7] ; [18 11],[9.6 6.4] ; [17.4 11.6],0
a8,1,0.716192,0.132171,[ 3 45] ; [ 6 69],[ 3.51219512 44.48780488] ; [ 5.48780488 69.51219512],0
v3,1,0.732315,0.116997,[ 8 41] ; [11 67],[ 7.33070866 41.66929134] ; [11.66929134 66.33070866],0
s4,1,0.757434,0.09539,[11 39] ; [16 65],[10.30534351 39.69465649] ; [16.69465649 64.30534351],0
b3,1,0.775952,0.080996,[ 9 22] ; [12 34],[ 8.45454545 22.54545455] ; [12.54545455 33.45454545],0
b2,1,0.775952,0.080996,[ 9 22] ; [12 34],[ 8.45454545 22.54545455] ; [12.54545455 33.45454545],0
p10,1,0.808932,0.058469,[28 20] ; [49 32],[28.65116279 19.34883721] ; [48.34883721 32.65116279],0
d2,1,0.833697,0.044084,[17 33] ; [29 52],[17.55725191 32.44274809] ; [28.44274809 52.55725191],0
s5,1,0.834938,0.043419,[14 36] ; [20 56],[13.49206349 36.50793651] ; [20.50793651 55.49206349],0
u2,1,0.83609,0.042806,[17 11] ; [18 13],[16.61016949 11.38983051] ; [18.38983051 12.61016949],0
n1,1,0.851038,0.035266,[ 4 12] ; [ 8 21],[ 4.26666667 11.73333333] ; [ 7.73333333 21.26666667],0
p6,1,0.866056,0.02845,[12 38] ; [20 59],[12.40310078 37.59689922] ; [19.59689922 59.40310078],0
p4,1,0.886887,0.020234,[21 29] ; [33 48],[20.61068702 29.38931298] ; [33.38931298 47.61068702],0
p3,1,0.911891,0.012244,[19 31] ; [30 51],[18.70229008 31.29770992] ; [30.29770992 50.70229008],0
p8,1,0.955246,0.00315,[20 30] ; [32 49],[19.84732824 30.15267176] ; [32.15267176 48.84732824],0
p7,1,0.963554,0.002088,[25 23] ; [42 38],[25.125 22.875] ; [41.875 38.125],0
p9,1,0.96473,0.001955,[31 17] ; [52 29],[30.88372093 17.11627907] ; [52.11627907 28.88372093],0
