Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-05,19.526375,[26 39] ; [69 23],[39.33121019 25.66878981] ; [55.66878981 36.33121019],1
v1,1,3.6e-05,17.072344,[13 50] ; [49 42],[25.36363636 37.63636364] ; [36.63636364 54.36363636],1
a6,1,5.6e-05,16.245199,[27 39] ; [67 25],[39.26582278 26.73417722] ; [54.73417722 37.26582278],1
a4,1,6.8e-05,15.85904,[ 8 58] ; [38 54],[19.21518987 46.78481013] ; [26.78481013 65.21518987],1
d1,1,0.000156,14.293118,[18 48] ; [53 39],[29.65822785 36.34177215] ; [41.34177215 50.65822785],1
d2,1,0.003082,8.758053,[15 51] ; [42 50],[23.81012658 42.18987342] ; [33.18987342 58.81012658],0
d4,1,0.004057,8.258302,[43 23] ; [78 14],[50.5443038 15.4556962] ; [70.4556962 21.5443038],0
p9,1,0.005079,7.85098,[42 21] ; [78 13],[49.09090909 13.90909091] ; [70.90909091 20.09090909],0
u1,1,0.005924,7.573425,[ 1 65] ; [13 79],[ 5.84810127 60.15189873] ; [ 8.15189873 83.84810127],0
s6,1,0.005935,7.569876,[30 35] ; [62 29],[38.33333333 26.66666667] ; [53.66666667 37.33333333],0
p8,1,0.00913,6.797165,[20 46] ; [47 45],[27.98734177 38.01265823] ; [39.01265823 52.98734177],0
p10,1,0.009851,6.661602,[38 25] ; [73 19],[45.11612903 17.88387097] ; [65.88387097 26.11612903],0
d3,1,0.010106,6.616097,[36 29] ; [69 23],[43.47133758 21.52866242] ; [61.52866242 30.47133758],0
p7,1,0.010812,6.495961,[28 36] ; [58 32],[35.74025974 28.25974026] ; [50.25974026 39.74025974],0
d5,1,0.01328,6.131446,[39 26] ; [72 20],[45.95541401 19.04458599] ; [65.04458599 26.95541401],0
p3,1,0.018186,5.57813,[16 50] ; [39 53],[22.97468354 43.02531646] ; [32.02531646 59.97468354],0
v2,1,0.057305,3.613715,[25 40] ; [47 40],[30.78947368 34.21052632] ; [41.21052632 45.78947368],0
p4,1,0.058253,3.586426,[23 43] ; [46 46],[28.82278481 37.17721519] ; [40.17721519 51.82278481],0
b3,1,0.085887,2.949818,[ 5 22] ; [17 28],[ 8.25 18.75] ; [13.75 31.25],0
b2,1,0.085887,2.949818,[ 5 22] ; [17 28],[ 8.25 18.75] ; [13.75 31.25],0
s4,1,0.097049,2.753385,[13 53] ; [29 63],[17.5443038 48.4556962] ; [24.4556962 67.5443038],0
r1,1,0.105173,2.625301,[40 26] ; [67 25],[44.69620253 21.30379747] ; [62.30379747 29.69620253],0
r4,1,0.105375,2.622252,[50 16] ; [79 13],[53.88607595 12.11392405] ; [75.11392405 16.88607595],0
n2,1,0.126957,2.32933,[14  9] ; [30  8],[16.59016393  6.40983607] ; [27.40983607 10.59016393],0
s5,1,0.152728,2.044787,[17 48] ; [33 56],[21.1038961 43.8961039] ; [28.8961039 60.1038961],0
s8,1,0.161331,1.961706,[15 51] ; [30 61],[18.91719745 47.08280255] ; [26.08280255 64.91719745],0
p12,1,0.203628,1.61616,[ 1 65] ; [ 5 87],[ 2.50632911 63.49367089] ; [ 3.49367089 88.50632911],0
s7,1,0.219339,1.508689,[17 47] ; [32 57],[20.49673203 43.50326797] ; [28.50326797 60.49673203],0
s2,1,0.275105,1.191116,[24 42] ; [41 50],[27.32484076 38.67515924] ; [37.67515924 53.32484076],0
a7,1,0.315288,1.008394,[44 21] ; [69 23],[46.78343949 18.21656051] ; [66.21656051 25.78343949],0
p6,1,0.33228,0.939992,[12 53] ; [23 69],[14.49044586 50.50955414] ; [20.50955414 71.49044586],0
p5,1,0.333653,0.934666,[ 2 63] ; [ 6 86],[ 3.31210191 61.68789809] ; [ 4.68789809 87.31210191],0
b1,1,0.352856,0.86316,[17 49] ; [30 62],[19.63291139 46.36708861] ; [27.36708861 64.63291139],0
s3,1,0.365456,0.819057,[26 40] ; [42 48],[28.76923077 37.23076923] ; [39.23076923 50.76923077],0
n1,1,0.376098,0.783417,[ 4 20] ; [10 28],[ 5.41935484 18.58064516] ; [ 8.58064516 29.41935484],0
v4,1,0.38395,0.758017,[60  5] ; [87  4],[61.25  3.75] ; [85.75  5.25],0
p2,1,0.412372,0.671951,[47 18] ; [71 20],[49.16666667 15.83333333] ; [68.83333333 22.16666667],0
p1,1,0.47209,0.51708,[ 2 63] ; [ 5 86],[ 2.91666667 62.08333333] ; [ 4.08333333 86.91666667],0
a1,1,0.490864,0.474631,[ 1 65] ; [ 3 89],[ 1.67088608 64.32911392] ; [ 2.32911392 89.67088608],0
b4,1,0.568781,0.324727,[41 25] ; [53 39],[39.26582278 26.73417722] ; [54.73417722 37.26582278],0
b5,1,0.614756,0.253306,[39 27] ; [58 34],[40.51898734 25.48101266] ; [56.48101266 35.51898734],0
n5,1,0.664503,0.1881,[25 41] ; [38 54],[26.3164557 39.6835443] ; [36.6835443 55.3164557],0
u2,1,0.689576,0.159545,[19 20] ; [10 13],[18.24193548 20.75806452] ; [10.75806452 12.24193548],0
r2,1,0.702572,0.14581,[59  7] ; [83  8],[59.69426752  6.30573248] ; [82.30573248  8.69426752],0
