Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000153,14.33475,[55  3] ; [1 2],[53.24590164  4.75409836] ; [2.75409836 0.24590164],1
d4,1,0.001891,9.65233,[54  5] ; [1 2],[52.33870968  6.66129032] ; [2.66129032 0.33870968],0
a5,1,0.061187,3.50491,[47 12] ; [1 2],[45.67741935 13.32258065] ; [2.32258065 0.67741935],0
a7,1,0.118271,2.440072,[44 15] ; [1 2],[42.82258065 16.17741935] ; [2.17741935 0.82258065],0
p4,1,0.155414,2.018294,[54  5] ; [2 1],[53.29032258  5.70967742] ; [2.70967742 0.29032258],0
p2,1,0.155414,2.018294,[54  5] ; [2 1],[53.29032258  5.70967742] ; [2.70967742 0.29032258],0
p7,1,0.158568,1.98783,[50  8] ; [1 1],[49.3  8.7] ; [1.7 0.3],0
s1,1,0.2162,1.529415,[ 6 53] ; [1 2],[ 6.66129032 52.33870968] ; [0.33870968 2.66129032],0
d1,1,0.218557,1.513822,[40 19] ; [1 2],[39.01612903 19.98387097] ; [1.98387097 1.01612903],0
p8,1,0.279226,1.170852,[52  7] ; [2 1],[51.38709677  7.61290323] ; [2.61290323 0.38709677],0
d5,1,0.406237,0.689787,[50  9] ; [2 1],[49.48387097  9.51612903] ; [2.51612903 0.48387097],0
p11,1,0.406237,0.689787,[50  9] ; [2 1],[49.48387097  9.51612903] ; [2.51612903 0.48387097],0
a3,1,0.406237,0.689787,[50  9] ; [2 1],[49.48387097  9.51612903] ; [2.51612903 0.48387097],0
b1,1,0.407745,0.685368,[25 34] ; [2 1],[25.69354839 33.30645161] ; [1.30645161 1.69354839],0
a4,1,0.442918,0.58871,[26 33] ; [2 1],[26.64516129 32.35483871] ; [1.35483871 1.64516129],0
a8,1,0.514479,0.424946,[10 45] ; [1 2],[10.43103448 44.56896552] ; [0.56896552 2.43103448],0
d2,1,0.516041,0.421798,[31 28] ; [1 2],[30.4516129 28.5483871] ; [1.5483871 1.4516129],0
p3,1,0.529864,0.394652,[48 11] ; [2 1],[47.58064516 11.41935484] ; [2.41935484 0.58064516],0
p6,1,0.611069,0.258621,[39 19] ; [1 1],[38.66666667 19.33333333] ; [1.33333333 0.66666667],0
a6,1,0.756925,0.095804,[34 25] ; [2 1],[34.25806452 24.74193548] ; [1.74193548 1.25806452],0
d3,1,0.760046,0.093282,[44 15] ; [2 1],[43.77419355 15.22580645] ; [2.22580645 0.77419355],0
b5,1,0.800286,0.063998,[24 35] ; [1 2],[23.79032258 35.20967742] ; [1.20967742 1.79032258],0
v2,1,0.808915,0.05848,[34 23] ; [2 1],[34.2 22.8] ; [1.8 1.2],0
