Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,73.533486,[104   3] ; [ 6 17],[90.53846154 16.46153846] ; [19.46153846  3.53846154],1
r3,1,0.000205,13.788505,[104   2] ; [19  5],[100.29230769   5.70769231] ; [22.70769231  1.29230769],1
d1,1,0.001045,10.74588,[74 33] ; [ 8 16],[66.97709924 40.02290076] ; [15.02290076  8.97709924],0
r4,1,0.002562,9.095727,[99  8] ; [17  7],[94.7480916 12.2519084] ; [21.2519084  2.7480916],0
a5,1,0.002654,9.031558,[82 25] ; [11 13],[75.96183206 31.03816794] ; [17.03816794  6.96183206],0
p11,1,0.002946,8.840345,[85 22] ; [12 12],[79.22900763 27.77099237] ; [17.77099237  6.22900763],0
p7,1,0.003136,8.726694,[76 28] ; [10 14],[69.875 34.125] ; [16.125  7.875],0
p2,1,0.010778,6.501519,[88 19] ; [14 10],[83.3129771 23.6870229] ; [18.6870229  5.3129771],0
p8,1,0.011666,6.360932,[60 44] ; [ 7 17],[54.4375 49.5625] ; [12.5625 11.4375],0
p6,1,0.014808,5.939166,[51 55] ; [ 5 19],[45.66153846 60.33846154] ; [10.33846154 13.66153846],0
r2,1,0.016828,5.714225,[103   4] ; [20  4],[100.46564885   6.53435115] ; [22.53435115  1.46564885],0
b1,1,0.01905,5.496904,[35 72] ; [14 10],[40.02290076 66.97709924] ; [ 8.97709924 15.02290076],0
a6,1,0.01905,5.496904,[72 35] ; [10 14],[66.97709924 40.02290076] ; [15.02290076  8.97709924],0
d3,1,0.019193,5.483855,[83 24] ; [13 11],[78.41221374 28.58778626] ; [17.58778626  6.41221374],0
s8,1,0.023204,5.153169,[63 44] ; [ 8 16],[57.99236641 49.00763359] ; [13.00763359 10.99236641],0
v1,1,0.032287,4.583198,[52 54] ; [ 6 18],[47.29230769 58.70769231] ; [10.70769231 13.29230769],0
v4,1,0.040019,4.217098,[104   3] ; [21  3],[102.09923664   4.90076336] ; [22.90076336  1.09923664],0
a3,1,0.044449,4.039439,[80 27] ; [13 11],[75.96183206 31.03816794] ; [17.03816794  6.96183206],0
r1,1,0.044878,4.023207,[87 20] ; [15  9],[83.3129771 23.6870229] ; [18.6870229  5.3129771],0
n4,1,0.090947,2.857533,[73 34] ; [12 12],[69.42748092 37.57251908] ; [15.57251908  8.42748092],0
a1,1,0.096219,2.767125,[  2 105] ; [ 2 22],[  3.26717557 103.73282443] ; [ 0.73282443 23.26717557],0
n6,1,0.110746,2.543547,[93 13] ; [18  6],[90.50769231 15.49230769] ; [20.49230769  3.50769231],0
d4,1,0.164277,1.934412,[89 18] ; [17  7],[86.58015267 20.41984733] ; [19.41984733  4.58015267],0
b4,1,0.164643,1.931059,[64 43] ; [18  6],[66.97709924 40.02290076] ; [15.02290076  8.97709924],0
a2,1,0.208286,1.583301,[26 81] ; [ 3 21],[23.6870229 83.3129771] ; [ 5.3129771 18.6870229],0
s5,1,0.293714,1.102519,[61 41] ; [11 12],[58.752 43.248] ; [13.248  9.752],0
p4,1,0.301074,1.069431,[70 37] ; [13 11],[67.79389313 39.20610687] ; [15.20610687  8.79389313],0
d2,1,0.304023,1.056462,[57 50] ; [10 14],[54.72519084 52.27480916] ; [12.27480916 11.72519084],0
u1,1,0.318014,0.997097,[23 84] ; [ 3 21],[21.23664122 85.76335878] ; [ 4.76335878 19.23664122],0
v3,1,0.343658,0.896736,[33 71] ; [ 5 18],[31.11811024 72.88188976] ; [ 6.88188976 16.11811024],0
d5,1,0.349291,0.876032,[89 18] ; [18  6],[87.39694656 19.60305344] ; [19.60305344  4.39694656],0
b5,1,0.356083,0.851659,[65 42] ; [17  7],[66.97709924 40.02290076] ; [15.02290076  8.97709924],0
n5,1,0.359531,0.83953,[77 30] ; [15  9],[75.14503817 31.85496183] ; [16.85496183  7.14503817],0
a4,1,0.366431,0.815732,[51 56] ; [ 9 15],[49.00763359 57.99236641] ; [10.99236641 13.00763359],0
u2,1,0.385831,0.752039,[14 13] ; [4 7],[12.78947368 14.21052632] ; [5.21052632 5.78947368],0
p3,1,0.408759,0.682408,[59 48] ; [11 13],[57.17557252 49.82442748] ; [12.82442748 11.17557252],0
s2,1,0.427816,0.628746,[82 24] ; [16  7],[80.52713178 25.47286822] ; [17.47286822  5.52713178],0
n1,1,0.477916,0.503616,[ 7 21] ; [4 7],[ 7.8974359 20.1025641] ; [3.1025641 7.8974359],0
s1,1,0.478473,0.502341,[  5 101] ; [ 2 22],[  5.70769231 100.29230769] ; [ 1.29230769 22.70769231],0
a7,1,0.527579,0.399052,[74 33] ; [15  9],[72.69465649 34.30534351] ; [16.30534351  7.69465649],0
u3,1,0.565021,0.331085,[17 10] ; [8 3],[17.76315789  9.23684211] ; [7.23684211 3.76315789],0
