Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.011033,6.459997,[ 7 31] ; [8 7],[10.75471698 27.24528302] ; [ 4.24528302 10.75471698],0
a5,1,0.011438,6.396003,[11 27] ; [10  5],[15.05660377 22.94339623] ; [5.94339623 9.05660377],0
p7,1,0.015241,5.888349,[13 23] ; [11  4],[16.94117647 19.05882353] ; [7.05882353 7.94117647],0
p3,1,0.021111,5.317591,[ 8 30] ; [8 7],[11.47169811 26.52830189] ; [ 4.52830189 10.47169811],0
s8,1,0.046368,3.968191,[ 4 34] ; [ 5 10],[ 6.45283019 31.54716981] ; [ 2.54716981 12.45283019],0
s6,1,0.056703,3.631297,[12 26] ; [9 6],[15.05660377 22.94339623] ; [5.94339623 9.05660377],0
b1,1,0.060296,3.529216,[17 21] ; [11  4],[20.0754717 17.9245283] ; [7.9245283 7.0754717],0
b5,1,0.060296,3.529216,[17 21] ; [11  4],[20.0754717 17.9245283] ; [7.9245283 7.0754717],0
r3,1,0.066271,3.373045,[23 15] ; [13  2],[25.81132075 12.18867925] ; [10.18867925  4.81132075],0
s3,1,0.122605,2.38372,[19 19] ; [11  4],[21.50943396 16.49056604] ; [8.49056604 6.50943396],0
p2,1,0.122605,2.38372,[19 19] ; [11  4],[21.50943396 16.49056604] ; [8.49056604 6.50943396],0
a2,1,0.128827,2.306585,[ 1 37] ; [ 2 13],[ 2.1509434 35.8490566] ; [ 0.8490566 14.1509434],0
p9,1,0.146059,2.112935,[19 18] ; [11  4],[21.34615385 15.65384615] ; [8.65384615 6.34615385],0
a3,1,0.175455,1.835702,[17 20] ; [10  5],[19.21153846 17.78846154] ; [7.78846154 7.21153846],0
p8,1,0.175855,1.832311,[ 9 29] ; [6 8],[10.96153846 27.03846154] ; [4.03846154 9.96153846],0
s5,1,0.187634,1.7361,[ 3 34] ; [ 3 11],[ 4.35294118 32.64705882] ; [ 1.64705882 12.35294118],0
u2,1,0.191785,1.703855,[10 11] ; [4 1],[11.30769231  9.69230769] ; [2.69230769 2.30769231],0
r4,1,0.204876,1.607268,[18 20] ; [10  5],[20.0754717 17.9245283] ; [7.9245283 7.0754717],0
s2,1,0.219815,1.505578,[11 27] ; [7 8],[12.90566038 25.09433962] ; [5.09433962 9.90566038],0
b4,1,0.239763,1.381985,[16 22] ; [9 6],[17.9245283 20.0754717] ; [7.0754717 7.9245283],0
p6,1,0.256018,1.290165,[ 5 32] ; [ 4 11],[ 6.40384615 30.59615385] ; [ 2.59615385 12.40384615],0
s4,1,0.281582,1.15944,[ 7 31] ; [ 1 14],[ 5.73584906 32.26415094] ; [ 2.26415094 12.73584906],0
a8,1,0.290607,1.116809,[ 4 32] ; [ 3 10],[ 5.14285714 30.85714286] ; [ 1.85714286 11.14285714],0
v1,1,0.30218,1.064548,[12 26] ; [7 8],[13.62264151 24.37735849] ; [5.37735849 9.62264151],0
s1,1,0.316385,1.003831,[ 2 36] ; [ 2 13],[ 2.86792453 35.13207547] ; [ 1.13207547 13.86792453],0
b3,1,0.387094,0.748052,[ 8 12] ; [3 9],[ 6.875 13.125] ; [4.125 7.875],0
b2,1,0.387094,0.748052,[ 8 12] ; [3 9],[ 6.875 13.125] ; [4.125 7.875],0
s7,1,0.401577,0.7036,[ 7 29] ; [4 9],[ 8.08163265 27.91836735] ; [ 2.91836735 10.08163265],0
p11,1,0.40731,0.68664,[18 20] ; [9 6],[19.35849057 18.64150943] ; [7.64150943 7.35849057],0
a7,1,0.447874,0.576028,[17 21] ; [ 5 10],[15.77358491 22.22641509] ; [6.22641509 8.77358491],0
n1,1,0.457438,0.552157,[ 7 10] ; [3 2],[7.72727273 9.27272727] ; [2.27272727 2.72727273],0
