Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,30.602354,[  9 313] ; [15 62],[ 19.36842105 302.63157895] ; [ 4.63157895 72.36842105],1
s6,1,0.0,26.284585,[118 204] ; [53 24],[138. 184.] ; [33. 44.],1
s2,1,0.00049,12.153142,[ 66 256] ; [31 48],[ 77.89027431 244.10972569] ; [19.10972569 59.89027431],1
d4,1,0.001424,10.174039,[235  89] ; [70  8],[245.82089552  78.17910448] ; [59.17910448 18.82089552],0
n6,1,0.00337,8.595455,[233  88] ; [69  9],[242.96240602  78.03759398] ; [59.03759398 18.96240602],0
p12,1,0.00338,8.590155,[  9 313] ; [ 8 70],[ 13.685 308.315] ; [ 3.315 74.685],0
b5,1,0.005241,7.794495,[211 113] ; [38 41],[200.18858561 123.81141439] ; [48.81141439 30.18858561],0
p3,1,0.018604,5.538331,[ 99 222] ; [35 43],[107.80451128 213.19548872] ; [26.19548872 51.80451128],0
a4,1,0.01949,5.456985,[109 212] ; [38 41],[117.9675 203.0325] ; [29.0325 49.9675],0
u1,1,0.023047,5.164994,[ 26 298] ; [13 66],[ 31.35483871 292.64516129] ; [ 7.64516129 71.35483871],0
p11,1,0.024947,5.02758,[221 103] ; [64 15],[229.13151365  94.86848635] ; [55.86848635 23.13151365],0
d2,1,0.029128,4.760059,[112 211] ; [37 40],[120.3175 202.6825] ; [28.6825 48.3175],0
p1,1,0.030742,4.667324,[ 19 304] ; [10 67],[ 23.4175 299.5825] ; [ 5.5825 71.4175],0
p10,1,0.031959,4.600688,[206 112] ; [59 17],[213.88324873 104.11675127] ; [51.11675127 24.88324873],0
d1,1,0.035815,4.405883,[142 182] ; [45 34],[150.34243176 173.65756824] ; [36.65756824 42.34243176],0
r1,1,0.044647,4.03191,[214 108] ; [61 17],[221.375 100.625] ; [53.625 24.375],0
r4,1,0.057637,3.604094,[247  77] ; [68 11],[253.25062035  70.74937965] ; [61.74937965 17.25062035],0
s3,1,0.071908,3.23893,[ 98 220] ; [32 45],[104.65822785 213.34177215] ; [25.34177215 51.65822785],0
a5,1,0.090031,2.873813,[192 132] ; [55 24],[198.58064516 125.41935484] ; [48.41935484 30.58064516],0
p4,1,0.093097,2.819984,[132 187] ; [40 37],[138.55555556 180.44444444] ; [33.44444444 43.55555556],0
v1,1,0.103441,2.651668,[133 186] ; [40 37],[139.36111111 179.63888889] ; [33.63888889 43.36111111],0
p2,1,0.110698,2.544226,[229  91] ; [62 15],[234.55919395  85.44080605] ; [56.44080605 20.55919395],0
s4,1,0.116364,2.465589,[ 34 286] ; [13 63],[ 37.97979798 282.02020202] ; [ 9.02020202 66.97979798],0
p7,1,0.119158,2.42835,[157 158] ; [46 31],[163.125 151.875] ; [39.875 37.125],0
r2,1,0.140428,2.173258,[279  39] ; [73  5],[282.66666667  35.33333333] ; [69.33333333  8.66666667],0
v4,1,0.141577,2.160733,[283  40] ; [72  5],[286.6625  36.3375] ; [68.3375  8.6625],0
d5,1,0.17658,1.826175,[229  94] ; [62 17],[233.81343284  89.18656716] ; [57.18656716 21.81343284],0
a7,1,0.205232,1.604744,[230  92] ; [50 28],[225.4  96.6] ; [54.6 23.4],0
a6,1,0.207546,1.588464,[221 103] ; [48 31],[216.26799007 107.73200993] ; [52.73200993 26.26799007],0
p9,1,0.215995,1.530782,[225  94] ; [59 17],[229.35696203  89.64303797] ; [54.64303797 21.35696203],0
p8,1,0.22826,1.451669,[127 191] ; [37 41],[131.6969697 186.3030303] ; [32.3030303 45.6969697],0
a1,1,0.229587,1.443418,[ 14 310] ; [ 6 73],[ 16.07940447 307.92059553] ; [ 3.92059553 75.07940447],0
p6,1,0.247484,1.337452,[ 64 252] ; [20 56],[ 67.71428571 248.28571429] ; [16.28571429 59.71428571],0
n2,1,0.358795,0.842105,[65 33] ; [11  3],[66.5 31.5] ; [9.5 4.5],0
a2,1,0.359852,0.838409,[ 48 276] ; [15 64],[ 50.65012407 273.34987593] ; [12.34987593 66.65012407],0
b1,1,0.404293,0.695521,[123 201] ; [26 53],[119.79156328 204.20843672] ; [29.20843672 49.79156328],0
s1,1,0.427105,0.630682,[  9 309] ; [ 1 78],[  8.01007557 309.98992443] ; [ 1.98992443 77.01007557],0
v2,1,0.444241,0.585304,[145 163] ; [40 37],[148. 160.] ; [37. 40.],0
b4,1,0.455401,0.557174,[186 138] ; [49 30],[188.93300248 135.06699752] ; [46.06699752 32.93300248],0
u2,1,0.467048,0.528951,[64 70] ; [13 19],[62.15662651 71.84337349] ; [14.84337349 17.15662651],0
r3,1,0.549479,0.358251,[281  41] ; [70  8],[282.555  39.445] ; [68.445  9.555],0
u3,1,0.560466,0.338898,[61 72] ; [17 16],[62.4939759 70.5060241] ; [15.5060241 17.4939759],0
n1,1,0.567108,0.327546,[30 68] ; [5 8],[30.9009009 67.0990991] ; [4.0990991 8.9009009],0
v3,1,0.766251,0.088377,[ 87 226] ; [23 55],[ 88.05626598 224.94373402] ; [21.94373402 56.05626598],0
n4,1,0.797963,0.065528,[207 115] ; [52 27],[207.97506234 114.02493766] ; [51.02493766 27.97506234],0
d3,1,0.80677,0.059827,[199 123] ; [50 29],[199.94513716 122.05486284] ; [49.05486284 29.94513716],0
n5,1,0.884906,0.020953,[212 108] ; [51 27],[211.45728643 108.54271357] ; [51.54271357 26.45728643],0
a8,1,0.921682,0.009666,[ 27 270] ; [ 7 67],[ 27.21832884 269.78167116] ; [ 6.78167116 67.21832884],0
a3,1,0.9245,0.008981,[188 134] ; [46 32],[188.37 133.63] ; [45.63 32.37],0
n3,1,0.937557,0.006137,[69 29] ; [10  4],[69.125 28.875] ; [9.875 4.125],0
b2,1,0.998612,3e-06,[ 51 113] ; [14 31],[ 51.00478469 112.99521531] ; [13.99521531 31.00478469],0
b3,1,0.998612,3e-06,[ 51 113] ; [14 31],[ 51.00478469 112.99521531] ; [13.99521531 31.00478469],0
