Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,55.823067,[276 108] ; [138 176],[227.75931232 156.24068768] ; [186.24068768 127.75931232],1
v3,1,0.0,38.019709,[196 185] ; [ 90 227],[156.11174785 224.88825215] ; [129.88825215 187.11174785],1
n5,1,0.0,29.715168,[318  76] ; [201 121],[285.59497207 108.40502793] ; [233.40502793  88.59497207],1
s8,1,7e-06,20.271877,[207 186] ; [117 209],[177.09596662 215.90403338] ; [146.90403338 179.09596662],1
p3,1,1e-05,19.548286,[223 170] ; [131 195],[193.49374131 199.50625869] ; [160.50625869 165.49374131],1
p6,1,1.1e-05,19.410582,[172 211] ; [ 93 230],[143.76062323 239.23937677] ; [121.23937677 201.76062323],1
p4,1,2.9e-05,17.504608,[262 131] ; [165 157],[234.7006993 158.2993007] ; [192.2993007 129.7006993],1
p8,1,2.9e-05,17.494295,[231 157] ; [141 181],[203.29014085 184.70985915] ; [168.70985915 153.29014085],1
s5,1,4.1e-05,16.830044,[161 219] ; [ 86 228],[135.24495677 244.75504323] ; [111.75504323 202.24495677],1
p9,1,9.9e-05,15.162021,[347  43] ; [252  70],[328.10393258  61.89606742] ; [270.89606742  51.10393258],1
p2,1,0.000174,14.095572,[346  47] ; [252  73],[327.31754875  65.68245125] ; [270.68245125  54.31754875],1
p7,1,0.00022,13.648392,[269 116] ; [180 139],[245.546875 139.453125] ; [203.453125 115.546875],1
v4,1,0.000837,11.157414,[385  10] ; [300  26],[375.27739251  19.72260749] ; [309.72260749  16.27739251],1
p5,1,0.000893,11.036645,[ 57 335] ; [ 22 304],[ 43.13091922 348.86908078] ; [ 35.86908078 290.13091922],1
s6,1,0.001559,10.007052,[283 104] ; [199 122],[263.46610169 123.53389831] ; [218.53389831 102.46610169],0
p10,1,0.002341,9.261159,[331  59] ; [245  78],[315.0631136  74.9368864] ; [260.9368864  62.0631136],0
s2,1,0.002812,8.92579,[226 166] ; [151 174],[206.11436541 185.88563459] ; [170.88563459 154.11436541],0
n4,1,0.003008,8.80256,[321  75] ; [233  92],[304.27739251  91.72260749] ; [249.72260749  75.27739251],0
p12,1,0.003601,8.474611,[ 41 349] ; [ 15 309],[ 30.58823529 359.41176471] ; [ 25.41176471 298.58823529],0
s7,1,0.007124,7.241546,[204 172] ; [139 177],[186.3699422 189.6300578] ; [156.6300578 159.3699422],0
r1,1,0.012768,6.200966,[338  57] ; [255  70],[325.32638889  69.67361111] ; [267.67361111  57.32638889],0
n6,1,0.021011,5.325841,[340  52] ; [262  64],[328.66852368  63.33147632] ; [273.33147632  52.66852368],0
b2,1,0.021443,5.290426,[114 140] ; [ 61 119],[102.41935484 151.58064516] ; [ 72.58064516 107.41935484],0
b3,1,0.021443,5.290426,[114 140] ; [ 61 119],[102.41935484 151.58064516] ; [ 72.58064516 107.41935484],0
p11,1,0.022247,5.226326,[326  71] ; [245  81],[313.53665284  83.46334716] ; [257.46334716  68.53665284],0
u4,1,0.032254,4.584962,[ 13 384] ; [  3 323],[  8.78561549 388.21438451] ; [  7.21438451 318.78561549],0
a4,1,0.0421,4.131178,[205 191] ; [144 182],[191.41828255 204.58171745] ; [157.58171745 168.41828255],0
a5,1,0.043561,4.073478,[313  84] ; [236  90],[301.45643154  95.54356846] ; [247.54356846  78.45643154],0
d1,1,0.043932,4.059166,[287 110] ; [213 113],[274.55048409 122.44951591] ; [225.44951591 100.55048409],0
b5,1,0.044825,4.025196,[252 145] ; [183 143],[238.85892116 158.14107884] ; [196.14107884 129.85892116],0
u1,1,0.046789,3.952975,[ 92 305] ; [ 56 270],[ 81.26694329 315.73305671] ; [ 66.73305671 259.26694329],0
r2,1,0.047751,3.918717,[379  14] ; [301  22],[373.24022346  19.75977654] ; [306.75977654  16.24022346],0
r4,1,0.080644,3.051878,[372  25] ; [294  32],[365.70124481  31.29875519] ; [300.29875519  25.70124481],0
d5,1,0.093016,2.82138,[355  42] ; [278  48],[347.58091286  49.41908714] ; [285.41908714  40.58091286],0
a3,1,0.09652,2.76212,[306  89] ; [235  91],[296.38696255  98.61303745] ; [244.61303745  81.38696255],0
a8,1,0.10352,2.650459,[ 56 298] ; [ 35 271],[ 48.80909091 305.19090909] ; [ 42.19090909 263.80909091],0
u3,1,0.119445,2.42458,[60 31] ; [48 40],[54.90502793 36.09497207] ; [53.09497207 34.90502793],0
a2,1,0.162053,1.954963,[112 285] ; [ 77 249],[103.78008299 293.21991701] ; [ 85.21991701 240.78008299],0
s4,1,0.174245,1.846036,[ 58 333] ; [ 60 262],[ 64.70967742 326.29032258] ; [ 53.29032258 268.70967742],0
n1,1,0.176512,1.826751,[31 40] ; [31 62],[26.84146341 44.15853659] ; [35.15853659 57.84146341],0
p1,1,0.24498,1.351708,[ 32 363] ; [ 19 305],[ 28.01808067 366.98191933] ; [ 22.98191933 301.01808067],0
s3,1,0.274634,1.193456,[226 164] ; [174 149],[218.79382889 171.20617111] ; [181.20617111 141.79382889],0
d2,1,0.319132,0.992501,[217 179] ; [166 159],[210.35783634 185.64216366] ; [172.64216366 152.35783634],0
n2,1,0.348496,0.878927,[54 17] ; [66 29],[51.3253012 19.6746988] ; [68.6746988 26.3253012],0
s1,1,0.369679,0.804742,[ 10 382] ; [ 12 311],[ 12.06153846 379.93846154] ; [  9.93846154 313.06153846],0
