Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,4e-06,21.509375,[238  40] ; [40 26],[224.6627907  53.3372093] ; [53.3372093 12.6627907],1
p10,1,0.000779,11.289997,[208  68] ; [36 30],[196.9122807  79.0877193] ; [47.0877193 18.9122807],1
s6,1,0.004003,8.282599,[183  94] ; [31 35],[172.82215743 104.17784257] ; [41.17784257 24.82215743],0
p9,1,0.006286,7.46637,[215  61] ; [40 25],[206.39296188  69.60703812] ; [48.60703812 16.39296188],0
v3,1,0.010068,6.622796,[107 160] ; [14 48],[ 98.19756839 168.80243161] ; [22.80243161 39.19756839],0
n1,1,0.029243,4.753276,[39 38] ; [ 3 12],[35.15217391 41.84782609] ; [6.84782609 8.15217391],0
d4,1,0.048952,3.877002,[213  64] ; [58  8],[218.85422741  58.14577259] ; [52.14577259 13.85422741],0
s5,1,0.051061,3.806263,[ 78 191] ; [10 50],[ 71.95136778 197.04863222] ; [16.04863222 43.95136778],0
p4,1,0.063683,3.43877,[132 146] ; [23 43],[125.26162791 152.73837209] ; [29.73837209 36.26162791],0
s2,1,0.115204,2.481338,[138 137] ; [26 40],[132.25806452 142.74193548] ; [31.74193548 34.25806452],0
n2,1,0.118925,2.431428,[58 21] ; [8 7],[55.46808511 23.53191489] ; [10.53191489  4.46808511],0
u1,1,0.150654,2.065616,[ 60 219] ; [ 9 57],[ 55.8 223.2] ; [13.2 52.8],0
u2,1,0.178416,1.810766,[40 38] ; [13  6],[42.6185567 35.3814433] ; [10.3814433  8.6185567],0
a2,1,0.188631,1.728281,[ 77 202] ; [13 53],[ 72.7826087 206.2173913] ; [17.2173913 48.7826087],0
s3,1,0.196012,1.671842,[155 119] ; [31 34],[150.33628319 123.66371681] ; [35.66371681 29.33628319],0
s7,1,0.214132,1.543266,[129 139] ; [24 37],[124.63221884 143.36778116] ; [28.36778116 32.63221884],0
p12,1,0.224677,1.474247,[ 20 259] ; [ 2 63],[ 17.84302326 261.15697674] ; [ 4.15697674 60.84302326],0
